roll_no,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time
S101216,0.4994,3.78,0.08,26.18,2024-03-23
S101217,72.49,1.99,2.84,17.44,20/04/2024
S101218,91.37,2.77,3.27,15.62,24/05/2024
S101219,89%,5.34,6.06,21.73,2024-01-22
S101220,78%,3.04,5.37,14.51,24/02/2024
S101221,75.15,0.0,1.91,0.0,2024-04-21
S101222,64.0%,1.76,1.05,13.19,2024-02-03
S101223,76.12,4.6,1.85,4.46,2024-03-10
S101224,0.8403,0.41,2.19,12.28,07/04/2024
S101225,80.61,2.08,3.55,11.18,2024-05-10
S101226,69.54,2.21,0.01,11.23,2024-01-22
S101227,89.26,3.13,0.25,7.64,12/01/2024
S101228,55.32,0.0,1.54,6.61,2024/05/25 02:11:06
S101229,0.6464,3.52,0.93,10.47,24/02/2024
S101230,58.41,1.82,0.55,12.4,2024-03-11
S101231,83.12,5.94,0.3,12.91,2024-04-03
S101232,100.0,1.26,3.01,16.81,07/05/2024
S101233,79.49,5.94,5.91,19.94,12/04/2024
S101234,0.7692,2.74,0.38,7.93,21/05/2024
S101235,69.24,3.66,0.04,8.88,05-03-2024
S101236,62%,3.08,0.59,26.65,21/03/2024
S101237,92.53,4.23,1.66,20.3,09/02/2024
S101238,92.4,3.49,0.66,9.57,2024-04-14
S101239,76%,4.05,0.05,6.23,2024-02-22
S101240,80.27,2.55,1.1,11.51,2024-03-25
S101241,62.95,0.51,1.15,13.23,12/05/2024
S101242,84.25,2.72,0.79,19.77,09/04/2024
S101243,60.06,5.94,4.43,0.0,2024-04-23
S101244,65%,2.08,0.67,8.25,2024-03-30
S101245,70.64,0.88,3.05,27.6,12/01/2024
S101246,79.9,4.91,0.44,15.11,2024-05-14
S101247,82.87,0.46,2.33,15.44,2024-04-17
S101248,73.56,4.25,0.76,11.05,2024-02-19
S101249,54.5%,3.71,0.61,20.52,05-15-2024
S101250,81.25,1.4,0.44,2.37,2024-01-26
S101251,84.7,5.52,3.44,12.03,2024-04-02
S101252,46.35,1.66,4.38,0.43,02/05/2024
S101253,86.6,0.41,,14.86,2024-04-08
S101254,91.8%,3.09,2.36,11.88,2024-03-24
S101255,96.52,0.0,1.23,3.59,07/02/2024
S101256,57.12,4.32,0.09,22.07,2024/03/09 11:31:16
S101257,90.04,4.53,1.11,19.83,2024-04-29
S101258,90.23,1.46,0.91,22.21,2024-03-17
S101259,88.58,0.65,0.87,4.45,2024-03-07
S101260,79.73,2.29,3.98,7.97,2024-02-29
S101261,86.08,3.26,,23.41,2024-04-16
S101262,0.523,1.83,2.31,20.67,2024-05-09
S101263,79.41,1.37,0.03,24.82,2024-05-15
S101264,86.44,2.85,0.38,13.32,01-23-2024
S101265,0.6637,3.77,1.02,14.23,2024-03-09
S101266,83.5%,3.1,0.56,19.31,13/05/2024
S101267,86.17,1.18,7.4,5.54,2024-01-14
S101268,86.62,5.58,0.38,16.37,17/01/2024
S101269,59%,2.24,0.61,32.75,2024-04-18
S101270,47.59,1.69,1.36,12.5,2024-02-19
S101271,100.0,1.54,,3.78,03-10-2024
S101272,72.42,2.66,2.85,17.88,07/02/2024
S101273,68.95,0.0,0.29,8.69,2024-05-09
S101274,100.0,1.02,0.42,14.25,28/03/2024
S101275,68.58,4.61,1.31,22.61,2024/03/10 18:15:39
S101276,80.56,4.96,2.41,18.91,2024-01-25
S101277,67.93,2.08,,11.58,2024-05-19
S101278,77%,3.63,1.01,20.87,15/02/2024
S101279,56.9%,0.92,1.45,3.32,2024-04-17
S101280,73.82,6.03,1.49,16.38,2024-01-26
S101281,69.01,2.88,0.95,12.31,2024-02-10
S101282,95%,4.11,0.24,0.0,09/02/2024
S101283,90%,4.47,1.67,6.53,14/02/2024
S101284,80.84,3.92,2.56,14.9,03-15-2024
S101285,71.15,3.51,3.01,20.23,2024-03-06
S101286,79.01,6.58,3.03,15.15,2024-05-01
S101287,87.42,1.53,2.27,12.93,2024-05-07
S101288,93.96,1.57,0.5,20.67,2024/04/26 21:33:58
S101289,60.94,0.0,0.35,16.92,2024-01-16
S101290,86.94,5.67,1.51,21.98,2024-03-16
S101291,70.43,3.12,1.16,19.02,12/05/2024
S101292,68.66,3.34,0.23,10.02,05/03/2024
S101293,88.06,1.14,3.5,19.7,24/04/2024
S101294,76.43,2.44,4.52,21.73,2024-05-06
S101295,80.64,2.86,0.23,24.8,2024-04-10
S101296,67.93,4.07,0.87,11.31,20/03/2024
S101297,55.82,3.27,4.33,12.46,2024-05-14
S101298,41.82,4.17,5.63,21.16,2024-03-29
S101299,93.92,1.07,0.26,20.89,2024-05-07
S101300,69.96,1.46,0.14,11.43,2024-01-30
S101301,92.21,5.22,2.93,10.29,2024-02-19
S101302,73.63,1.49,0.04,11.97,01-20-2024
S101303,91.5,1.04,3.17,15.55,2024-02-17
S101304,76.88,1.55,0.45,8.79,2024-01-24
S101305,70.15,2.51,5.73,17.94,2024-04-06
S101306,0.7063,0.99,2.63,2.91,2024/01/11 23:49:36
S101307,83.74,1.45,2.82,9.18,04-08-2024
S101308,73.35,6.59,2.82,16.29,02/03/2024
S101309,68.25,3.86,0.12,8.56,2024-05-11
S101310,67.25,0.54,0.48,12.07,2024-02-15
S101311,66.3%,3.64,8.0,14.11,2024-01-30
S101312,58.58,0.45,1.62,29.85,2024-05-07
S101313,95.42,4.19,5.31,5.86,2024-03-04
S101314,75.6%,6.2,0.73,16.65,2024-05-19
S101315,66.7,3.29,1.03,7.83,2024/04/26 17:23:12
S101316,70.71,3.79,0.82,7.56,07/05/2024
S101317,75.77,1.92,6.72,8.87,2024-03-05
S101318,63.84,4.53,4.93,13.9,28/02/2024
S101319,90.92,3.1,0.91,25.04,2024-04-04
S101320,61.59,1.09,0.88,23.22,27/01/2024
S101321,95.65,3.19,0.88,11.79,05/02/2024
S101322,84%,2.05,0.02,13.13,2024-04-28
S101323,73.26,2.61,1.33,19.14,2024-02-23
S101324,88%,1.28,0.37,15.4,2024-02-10
S101325,81%,4.68,0.49,10.54,2024-01-13
S101326,67.6,1.17,1.13,19.63,2024-03-07
S101327,88.77,2.86,3.55,26.35,2024-04-30
S101328,83.86,4.13,0.99,22.41,21/02/2024
S101329,72.0%,2.31,0.1,24.5,2024-04-11
S101330,34.03,0.83,0.83,14.02,20/05/2024
S101331,100.0,2.49,3.18,7.42,2024-05-28
S101332,54.84,2.91,7.37,1.0,03-09-2024
S101333,53.47,3.92,1.22,0.5,2024-01-12
S101334,72.93,5.5,0.54,13.58,2024-02-15
S101335,82%,3.17,2.45,18.55,2024-03-05
S101336,76.48,2.97,0.08,20.9,2024-03-24
S101337,71.57,1.31,1.3,16.7,2024-02-18
S101338,66.29,2.77,0.53,9.95,26/04/2024
S101339,77.07,1.38,2.0,19.58,2024-02-19
S101340,92.06,2.55,0.45,6.61,2024-04-25
S101341,73.95,3.27,0.33,7.27,2024-04-15
S101342,74.8,2.18,5.02,19.29,2024-03-15
S101343,85.43,1.1,6.82,6.37,2024-04-14
S101344,78.11,2.83,3.42,9.64,2024-03-17
S101345,59.38,0.25,0.24,8.16,2024-04-08
S101346,69.97,3.86,0.59,16.18,04-29-2024
S101347,94.62,1.3,3.14,19.12,2024-04-15
S101348,54.04,6.23,2.04,19.3,2024-02-19
S101349,86.81,2.56,2.14,10.94,2024-03-04
S101350,92.15,2.0,2.8,13.83,2024/03/20 09:35:03
S101351,81.77,3.57,0.02,20.15,2024-02-27
S101352,71.3%,1.9,1.53,11.29,2024-02-29
S101353,55.21,1.69,2.98,8.61,2024-03-24
S101354,69.98,3.85,0.71,10.51,2024-03-12
S101355,82.24,3.42,1.69,10.74,2024-02-14
S101356,66.97,2.34,5.74,15.21,31/01/2024
S101357,65.7%,0.06,1.13,14.81,2024-03-20
S101358,73.4%,0.88,0.14,13.83,29/02/2024
S101359,66.72,2.29,0.57,9.4,2024-04-02
S101360,76.8,1.08,0.58,8.47,2024-01-20
S101361,91.49,2.46,0.16,19.54,2024/03/19 05:43:34
S101362,65.75,2.87,1.12,17.4,2024-01-13
S101363,68.06,3.07,0.14,11.96,2024-01-19
S101364,81%,2.45,0.36,14.6,2024-03-06
S101365,89.31,3.22,0.45,23.48,2024-03-07
S101366,61.99,2.5,0.68,14.5,15/04/2024
S101367,87.4%,6.46,1.15,14.96,2024-02-26
S101368,69.81,5.23,0.45,25.69,25/05/2024
S101369,72.0,5.03,0.63,22.49,2024-04-14
S101370,69.08,1.41,3.31,10.51,2024-04-03
S101371,70.51,2.08,1.75,22.49,2024-01-13
S101372,84.1,4.59,2.45,13.81,05-13-2024
S101373,67.27,4.01,7.85,7.65,2024/01/25 18:46:28
S101374,74.12,1.98,5.63,24.13,2024-04-29
S101375,62.98,3.46,0.23,10.03,2024-03-10
S101376,0.7623,5.19,0.49,11.43,04-23-2024
S101377,87.02,2.39,0.39,12.33,2024-01-19
S101378,75.47,2.28,5.74,29.26,2024-05-14
S101379,52.58,2.29,4.34,8.34,09/02/2024
S101380,37.13,2.21,0.58,10.78,2024/04/12 23:42:45
S101381,83.0%,5.93,1.06,12.6,2024-04-19
S101382,81.83,1.89,0.92,18.69,2024-04-11
S101383,0.698,4.65,,14.51,14/03/2024
S101384,94.25,1.41,1.0,10.33,2024-05-22
S101385,76.75,2.32,0.97,19.37,2024-01-14
S101386,56.89,0.87,0.81,24.5,2024-03-14
S101387,82.84,2.77,4.06,3.64,04-06-2024
S101388,0.7607,1.93,0.15,10.23,2024-04-12
S101389,87.71,3.07,0.03,18.58,2024-03-25
S101390,88.1%,6.95,0.7,6.37,2024-01-27
S101391,65.17,3.83,1.3,13.92,30/04/2024
S101392,69.1%,4.14,2.31,23.9,18/01/2024
S101393,71.79,3.2,0.31,19.36,14/02/2024
S101394,60%,3.81,0.16,18.65,08/05/2024
S101395,61.78,5.75,0.42,20.23,2024-04-30
S101396,70.8,1.38,1.34,17.27,2024-03-20
S101397,94.53,4.09,1.61,12.64,20/01/2024
S101398,77.06,1.6,1.04,21.75,01/05/2024
S101399,90.24,3.97,,11.67,27/03/2024
S101400,70.49,1.22,0.87,13.87,17/04/2024
S101401,53.03,2.69,1.6,3.41,2024-05-13
S101402,87.96,5.3,5.28,11.66,2024-05-11
S101403,98.69,3.32,0.06,15.55,2024-03-16
S101404,64.34,4.5,0.78,15.18,2024-05-09
S101405,77%,1.96,3.19,21.47,2024-01-26
S101406,76.66,5.02,1.16,11.93,25/02/2024
S101407,93.23,0.0,1.08,12.22,07/03/2024
S101408,84.6%,0.97,1.25,11.21,04/05/2024
S101409,79.44,2.09,1.48,16.69,21/05/2024
S101410,88.72,2.79,3.12,25.82,2024-04-06
S101411,56.67,3.16,0.18,0.0,2024-02-08
S101412,70.5%,0.0,0.6,11.59,2024-05-05
S101413,100.0,2.78,2.73,12.54,17/02/2024
S101414,72.62,1.21,2.15,0.08,2024-05-26
S101415,64.91,1.07,0.38,14.13,13/04/2024
S101416,100.0,0.53,1.86,12.53,2024-01-20
S101417,82.6%,4.97,0.13,11.93,2024-05-12
S101418,85.11,0.65,1.33,7.28,02/05/2024
S101419,74.13,2.28,1.51,14.39,16/04/2024
S101420,84.7,1.9,1.34,6.83,2024-02-13
S101421,81.79,1.51,0.34,9.11,27/01/2024
S101422,67.98,5.07,2.94,13.6,11/03/2024
S101423,50.87,0.15,1.22,22.15,17/05/2024
S101424,56.42,3.8,0.64,17.87,2024-02-02
S101425,75.14,6.25,0.09,19.3,2024-01-10
S101426,82%,1.77,1.28,28.73,13/03/2024
S101427,90.98,0.0,0.69,18.08,2024-05-27
S101428,100.0,1.94,1.21,7.67,04-29-2024
S101429,75%,0.33,0.42,11.06,2024-01-19
S101430,69.35,3.3,1.55,9.0,2024/03/07 18:09:13
S101431,92.89,4.99,0.76,14.05,2024-02-02
S101432,99.87,4.74,3.94,12.12,2024-05-04
S101433,69.79,3.68,3.46,8.4,2024-05-29
S101434,96.98,0.22,1.17,21.47,2024/02/28 15:13:09
S101435,60.19,3.01,0.48,21.97,2024-02-23
S101436,64.43,2.57,1.23,16.26,2024-01-19
S101437,77.8%,2.9,2.26,7.99,2024-05-17
S101438,69.95,4.25,2.25,15.85,2024-01-10
S101439,70.46,0.8,0.16,10.72,08/04/2024
S101440,65.79,4.42,0.86,24.0,03-19-2024
S101441,78.2%,4.48,4.48,6.63,2024-03-27
S101442,87.02,3.66,0.88,19.6,2024-04-19
S101443,66.95,3.62,6.84,19.46,2024-01-13
S101444,99.31,0.12,0.65,21.28,2024-05-09
S101445,82.74,2.05,0.85,16.37,05-26-2024
S101446,44.08,4.65,0.55,12.69,2024-05-02
S101447,71.92,3.43,0.03,31.75,2024/02/18 09:18:06
S101448,70%,4.04,1.15,8.86,2024-04-06
S101449,85.63,2.04,0.45,20.03,2024-03-30
S101450,91.46,1.69,1.87,15.13,2024-05-26
S101451,0.8587,2.24,0.05,17.4,09/05/2024
S101452,78.65,3.87,1.21,17.36,2024-01-22
S101453,65.56,3.96,0.59,7.42,2024-02-11
S101454,78%,1.58,3.2,5.6,14/03/2024
S101455,94.18,3.15,2.56,6.06,2024-05-14
S101456,77%,6.09,1.64,11.88,06/05/2024
S101457,95.19,4.73,3.32,16.74,2024-05-05
S101458,74.94,2.63,0.63,10.19,2024-01-15
S101459,78.27,3.05,0.98,4.95,02-03-2024
S101460,91.11,3.3,0.86,21.43,2024-01-31
S101461,73.12,4.16,3.18,4.23,26/01/2024
S101462,70.37,1.88,1.07,18.36,2024-05-28
S101463,59.2%,2.62,0.25,9.74,06/02/2024
S101464,85.08,3.64,0.35,23.52,2024-04-07
S101465,90.68,2.44,6.54,11.32,2024-01-27
S101466,79.86,3.61,0.05,2.68,22/02/2024
S101467,65.95,4.2,0.16,14.72,2024-05-27
S101468,80.99,2.98,0.23,9.12,2024-02-09
S101469,69.24,3.34,1.61,20.68,2024-05-21
S101470,44.22,3.87,0.22,17.31,2024-02-15
S101471,83.8%,1.81,2.17,10.6,2024-03-07
S101472,60.34,3.63,0.81,7.98,2024-05-25
S101473,85.29,4.26,0.08,7.32,2024-03-18
S101474,89.99,3.24,,10.9,03-06-2024
S101475,80.71,4.46,,24.55,2024-04-05
S101476,78.3,0.72,0.94,13.99,2024-01-24
S101477,71.97,5.62,0.42,21.63,02-27-2024
S101478,60%,1.99,2.31,4.63,2024-05-15
S101479,94.24,2.48,0.32,1.55,07/03/2024
S101480,100.0,1.9,2.44,8.38,2024-02-25
S101481,69.02,4.36,5.67,19.6,20/04/2024
S101482,64.14,4.08,1.35,12.98,2024-03-20
S101483,62.69,1.51,1.78,21.23,2024-05-16
S101484,81.07,1.56,0.61,23.85,29/02/2024
S101485,76.4,1.25,3.98,8.3,03-16-2024
S101486,82.46,5.6,1.4,20.84,2024-02-12
S101487,60.6,2.81,2.77,24.72,2024-01-14
S101488,0.7519,5.98,1.04,22.23,2024-04-08
S101489,91.2,3.02,0.29,3.84,02-19-2024
S101490,78.8,6.39,1.24,2.02,03-13-2024
S101491,76.7,3.15,0.39,11.86,2024-04-22
S101492,71.76,0.8,1.79,12.12,2024-02-22
S101493,40.52,1.15,1.31,20.9,2024-04-10
S101494,76.59,5.4,4.48,8.23,2024-05-28
S101495,93.34,4.15,5.18,17.91,2024-03-29
S101496,63.65,4.41,0.55,7.42,2024-02-21
S101497,73.52,1.13,2.61,17.42,2024-03-02
S101498,74.17,4.15,,11.8,2024-03-19
S101499,100.0,3.7,0.21,17.51,10/04/2024
S101500,59.94,4.67,0.49,12.45,10/05/2024
S101501,59.37,5.57,0.58,0.0,11/03/2024
S101502,100.0,3.43,0.15,18.56,21/02/2024
S101503,65.44,3.67,0.94,23.19,2024/03/11 11:46:32
S101504,100.0,0.55,3.77,9.15,2024-01-20
S101505,59.1%,3.22,0.24,20.67,2024-04-16
S101506,97.96,3.54,0.58,10.71,2024-02-15
S101507,93.26,5.14,0.4,5.55,2024-02-07
S101508,68.97,1.49,0.91,10.72,02/02/2024
S101509,78.02,4.94,1.44,13.71,2024-03-27
S101510,70.94,2.14,1.14,5.76,2024-05-17
S101511,79.45,1.52,1.41,24.45,20/05/2024
S101512,94.06,0.2,2.72,4.28,18/01/2024
S101513,75%,3.01,2.75,11.21,19/03/2024
S101514,80.65,3.04,0.05,8.54,2024-05-13
S101515,71.09,4.77,1.47,24.48,16/05/2024
S101516,86.86,2.92,0.73,4.45,2024-02-03
S101517,70.18,5.37,0.9,20.78,2024-05-10
S101518,60.15,5.33,2.39,16.38,2024-04-01
S101519,83.59,4.35,0.86,6.27,2024-02-07
S101520,87.87,2.65,4.54,12.54,2024-02-07
S101521,71.62,4.95,2.62,13.72,2024-05-19
S101522,0.7616,5.94,,19.09,2024-04-27
S101523,55.34,1.65,2.02,10.49,2024-05-17
S101524,97.34,3.17,1.14,19.42,2024/05/11 08:43:43
S101525,0.7142,0.0,2.13,15.34,2024-01-27
S101526,84.38,0.65,4.26,18.16,2024-04-29
S101527,86.56,4.09,0.6,8.83,2024-05-23
S101528,61.17,1.82,5.86,13.31,2024-04-01
S101529,71.16,5.12,0.36,15.77,2024-01-12
S101530,78.59,2.6,1.73,15.57,18/02/2024
S101531,100.0,1.13,2.33,14.72,11/03/2024
S101532,50%,4.18,8.0,29.65,2024/05/17 01:30:17
S101533,0.5915,2.53,2.41,19.02,2024-05-10
S101534,77.38,2.72,2.38,20.09,2024-04-03
S101535,100.0,3.98,0.34,16.73,20/03/2024
S101536,79.82,0.89,0.31,18.73,2024-04-28
S101537,75.81,2.33,2.15,16.39,21/01/2024
S101538,66.32,2.69,0.94,27.72,2024-05-02
S101539,59.05,2.51,1.87,14.58,2024-02-08
S101540,66.61,3.88,0.11,20.82,05-22-2024
S101541,71.19,2.48,1.66,29.6,2024-03-23
S101542,88.82,1.94,2.84,19.57,2024-01-13
S101543,0.7685,6.03,2.3,13.01,2024-05-18
S101544,80.19,2.57,5.09,9.86,2024-05-15
S101545,68.12,1.85,3.25,11.53,2024/04/26 02:38:57
S101546,59%,5.11,1.47,17.74,2024-04-30
S101547,0.6003,3.75,1.13,27.49,2024-05-01
S101548,93.25,1.6,4.14,19.23,2024-01-15
S101549,76.95,3.85,0.37,12.29,2024-05-05
S101550,61.34,1.5,4.01,12.87,2024-04-05
S101551,84.6,2.54,0.07,13.95,19/04/2024
S101552,54%,3.16,0.09,5.62,2024-03-09
S101553,89.88,4.35,0.6,11.8,2024-01-29
S101554,64.7,1.25,5.35,11.49,30/01/2024
S101555,84.52,3.02,3.57,34.45,2024-04-30
S101556,83.79,0.0,1.27,21.49,16/01/2024
S101557,65.25,3.71,1.86,7.49,01-14-2024
S101558,65.57,2.04,0.34,4.02,2024/05/10 04:25:17
S101559,59.78,5.57,1.46,5.86,2024-02-16
S101560,65.04,4.97,3.95,24.9,2024-05-25
S101561,73.35,3.5,1.42,5.56,2024-04-04
S101562,79.5%,1.92,0.87,26.27,2024-05-24
S101563,88.02,3.03,0.08,16.68,03-22-2024
S101564,48.63,2.99,0.63,13.28,2024-01-16
S101565,68.3,4.56,0.18,6.99,2024-03-18
S101566,53.65,4.81,4.3,23.85,2024-05-26
S101567,75.0,2.35,0.22,18.82,14/01/2024
S101568,84.4,4.2,0.87,21.3,04/02/2024
S101569,35%,3.8,1.91,13.09,04-07-2024
S101570,56.76,4.99,0.76,19.67,2024-03-07
S101571,83.44,0.94,0.56,25.37,07/05/2024
S101572,71.12,2.04,0.05,19.17,2024-05-21
S101573,81.78,2.31,0.6,7.61,20/04/2024
S101574,85.09,3.29,0.19,18.64,2024-01-14
S101575,86.92,2.57,0.04,20.28,2024-02-18
S101576,80.7,1.65,0.48,26.74,2024-05-29
S101577,75.58,2.81,2.77,19.09,01/02/2024
S101578,72.07,3.14,3.52,22.71,2024-05-19
S101579,58.1,3.08,0.29,19.31,2024-01-21
S101580,75.49,2.72,1.25,5.52,04-17-2024
S101581,67.1,3.41,2.11,20.81,2024-03-19
S101582,80.5,5.32,1.38,15.84,2024/02/17 03:09:24
S101583,45.39,5.78,1.95,28.98,2024-02-22
S101584,42.73,4.01,0.6,4.93,2024-05-11
S101585,63.43,2.81,0.08,7.07,16/03/2024
S101586,58.04,3.97,4.01,20.08,2024-02-13
S101587,98%,0.88,0.63,25.58,2024-01-21
S101588,0.7812,2.72,0.62,14.16,24/02/2024
S101589,86.25,0.81,0.15,14.2,2024-03-22
S101590,60.86,3.47,1.54,16.45,30/01/2024
S101591,88.7%,3.06,0.37,11.61,2024-05-28
S101592,93.3,2.55,1.66,21.91,2024-05-07
S101593,81.98,3.32,3.72,11.62,2024-01-18
S101594,87.77,5.68,3.46,19.9,25/02/2024
S101595,69%,3.07,3.04,5.74,16/04/2024
S101596,66.64,1.85,0.98,27.03,2024-03-18
S101597,70.68,4.26,5.52,0.16,2024-03-18
S101598,54.9%,1.29,2.96,7.56,2024-05-27
S101599,69.91,4.56,0.34,30.77,11/05/2024
S101600,75.15,3.35,1.43,15.71,2024-01-26
S101601,83.25,3.6,0.01,10.38,2024-03-10
S101602,67.17,1.02,1.09,6.06,2024/03/12 03:12:10
S101603,82.38,3.42,,11.95,04-13-2024
S101604,95.58,4.05,0.15,17.03,2024-03-08
S101605,78.04,1.44,0.07,18.41,01/02/2024
S101606,78.9,0.0,1.77,17.26,2024-03-15
S101607,61.4,4.79,0.73,2.5,2024-02-15
S101608,74.18,4.59,0.72,15.97,22/03/2024
S101609,86.53,1.37,0.26,17.37,2024-04-23
S101610,90.09,1.2,1.54,17.44,2024-03-08
S101611,80.31,1.27,0.04,15.21,18/05/2024
S101612,100.0,2.45,1.25,6.4,2024-03-02
S101613,66.72,4.55,,8.55,2024-05-05
S101614,60.2,3.11,1.09,23.49,2024-01-25
S101615,90.46,1.02,0.57,9.57,2024-02-03
S101616,79.06,7.06,1.29,9.95,12/03/2024
S101617,78.54,3.56,0.25,12.93,2024-04-15
S101618,80.28,4.31,1.45,6.48,2024-03-18
S101619,55.26,2.49,0.74,19.44,2024-04-01
S101620,79.32,4.68,1.97,6.12,2024-05-17
S101621,78.2%,3.99,3.74,22.59,2024-02-05
S101622,91%,4.57,0.32,5.59,2024-05-27
S101623,65.7%,3.34,2.28,13.04,2024-05-17
S101624,84.0%,1.7,0.08,17.41,15/04/2024
S101625,76.74,3.02,2.38,20.53,02-14-2024
S101626,76.1%,1.63,0.26,13.42,11/04/2024
S101627,62.09,4.15,0.59,10.08,2024-05-08
S101628,78.4%,3.02,0.36,24.93,17/03/2024
S101629,74.18,0.4,1.09,16.27,10/02/2024
S101630,100.0,5.73,0.94,13.81,2024-01-23
S101631,82.8,4.73,0.86,2.27,2024-01-24
S101632,62.38,3.98,0.41,16.34,2024-05-08
S101633,71.84,1.75,4.14,14.97,2024-03-24
S101634,45.41,3.64,3.88,5.51,2024-01-14
S101635,0.9017,2.7,3.54,9.53,2024-03-05
S101636,82.37,4.17,0.21,15.65,2024-02-14
S101637,73.55,1.38,2.04,18.27,10/04/2024
S101638,68.59,4.52,3.51,7.87,2024-04-18
S101639,80.04,2.99,0.21,7.94,2024-05-10
S101640,69.51,3.07,4.39,15.81,08/03/2024
S101641,89.17,1.14,1.38,9.11,2024-04-16
S101642,85.99,4.01,,13.6,2024-03-23
S101643,69.33,4.81,4.38,27.43,2024-01-26
S101644,86%,5.51,1.93,14.7,2024-05-12
S101645,74.46,1.75,2.35,22.16,05/04/2024
S101646,77.65,2.01,1.07,6.28,2024-02-02
S101647,87.49,4.56,0.2,9.63,07/03/2024
S101648,71%,2.25,0.75,9.48,2024-03-15
S101649,96.6%,3.11,3.28,7.27,04-27-2024
S101650,62.71,3.25,0.95,2.62,03-02-2024
S101651,83%,2.96,4.13,16.35,2024-01-24
S101652,99.82,4.21,3.28,17.71,2024-04-07
S101653,79.0,2.78,0.08,8.38,2024-02-02
S101654,0.8342,1.44,2.47,9.78,2024-04-25
S101655,90.5,5.36,1.86,15.55,2024-02-23
S101656,67.19,1.86,0.17,15.15,2024-03-09
S101657,94.44,1.51,1.19,22.23,2024-05-07
S101658,88.29,4.13,1.69,22.94,2024-04-03
S101659,72.8,2.31,4.84,10.32,02/03/2024
S101660,74.51,2.95,5.71,14.53,2024-02-06
S101661,63.3,5.21,0.36,7.99,2024-03-19
S101662,56.63,4.91,0.04,25.52,2024-04-08
S101663,61.41,1.62,1.93,16.86,14/05/2024
S101664,63.71,2.03,2.75,21.96,13/04/2024
S101665,76.27,3.2,0.64,12.46,05/04/2024
S101666,76.82,4.17,3.07,22.15,2024/03/27 21:42:22
S101667,87.19,3.71,1.64,20.21,2024-01-28
S101668,73.67,3.29,3.3,23.95,2024-04-12
S101669,72.46,3.49,3.57,5.59,02-09-2024
S101670,86.45,3.81,1.88,15.52,2024-05-21
S101671,79.71,5.21,0.49,22.68,20/01/2024
S101672,0.9512,2.48,7.3,8.45,2024-02-11
S101673,75.78,2.03,4.66,18.65,2024/03/07 12:10:46
S101674,91.51,1.92,2.33,19.0,2024-03-23
S101675,76.92,4.75,4.86,19.91,2024-04-17
S101676,65.56,3.01,4.27,17.34,2024-04-29
S101677,89.39,2.81,8.0,19.32,2024-02-01
S101678,74.69,0.03,0.86,18.03,01-28-2024
S101679,88.05,1.7,0.75,23.29,2024-02-18
S101680,72.21,0.0,1.21,9.98,24/02/2024
S101681,79.44,2.96,0.94,17.38,10/05/2024
S101682,100%,1.42,0.68,23.53,2024-04-22
S101683,90.64,2.53,1.02,9.51,2024/03/26 08:30:13
S101684,64.21,4.38,2.44,10.16,02-25-2024
S101685,60.57,2.34,0.99,18.67,12/03/2024
S101686,64.86,3.17,0.46,24.67,2024/05/23 16:22:04
S101687,86.92,5.22,2.33,14.06,2024-05-24
S101688,89%,0.66,3.3,15.67,2024-04-08
S101689,87.91,1.93,2.63,17.55,2024-04-15
S101690,76.93,3.25,1.34,11.59,02-29-2024
S101691,80.03,0.97,8.0,30.36,22/02/2024
S101692,84.85,2.54,3.53,8.53,04-11-2024
S101693,83%,3.34,1.08,15.63,2024-05-18
S101694,100.0,3.46,2.48,15.74,2024-01-28
S101695,82.7%,5.79,8.0,0.0,2024-04-04
S101696,85.88,2.89,0.33,9.1,2024-02-02
S101697,79.19,2.49,2.61,5.53,04-16-2024
S101698,69.73,3.57,0.12,20.04,2024-01-29
S101699,73.04,5.3,0.45,3.15,28/01/2024
S101700,66.4%,4.51,0.86,21.59,2024-03-07
S101701,47.6%,5.23,5.47,6.74,2024-03-24
S101702,43%,3.2,3.6,21.73,31/03/2024
S101703,55.01,2.93,3.52,5.22,2024-02-25
S101704,81.65,2.14,1.28,17.97,05-14-2024
S101705,61.8%,1.14,0.02,21.55,2024-01-18
S101706,77%,1.79,0.41,19.01,2024-04-29
S101707,92.11,0.0,3.1,6.45,18/03/2024
S101708,52.88,4.46,0.08,22.91,24/01/2024
S101709,67.99,3.65,0.17,18.82,2024/02/18 23:45:38
S101710,88.05,1.96,0.11,0.0,03-17-2024
S101711,81%,4.6,2.08,15.77,2024-03-18
S101712,87.9%,3.52,4.1,34.84,2024-02-14
S101713,50.02,4.99,0.71,22.82,2024-01-11
S101714,64.33,3.04,1.11,11.51,2024-01-31
S101715,83.31,1.23,0.2,18.81,2024-01-27
S101716,76.79,3.96,,12.25,24/05/2024
S101717,55.0%,4.09,0.58,22.1,05-01-2024
S101718,60.7,4.32,5.21,9.3,2024/03/07 00:14:11
S101719,75.96,2.09,4.43,23.46,2024-02-08
S101720,79.27,4.4,,21.44,2024-01-24
S101721,85.75,0.22,2.08,19.5,19/02/2024
S101722,72.07,2.46,8.0,29.5,2024-03-25
S101723,94.96,0.0,2.61,22.04,2024-02-19
S101724,67.47,1.98,2.06,22.15,2024-04-04
S101725,81.67,2.7,0.26,22.88,02-04-2024
S101726,70.7,4.13,0.22,20.0,18/05/2024
S101727,59.51,1.18,8.0,18.25,16/05/2024
