STUDENT_ID,resume_score,communication_skills,aptitude_score,mock_interview_score,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill
S101117,72.64,71.21,59.86,46.46,0,0,8,5.18,52.22
S101118,37.18,44.45,64.04,46.94,2,1,6,5.85,43.81
S101119,59.81,71.11,42.28,44.44,2,0,2,5.54,38.39
S101120,54.99,53.6,63.36,24.89,2,1,5,4.06,40.44
S101121,32.41,70.54,77.58,73.73,2,0,5,6.26,42.33
S101122,85.55,81.86,79.76,54.5,3,0,5,4.38,39.82
S101123,48.55,58.35,77.06,34.27,3,0,1,0.87,23.05
S101124,50.55,79.35,69.15,61.64,7,2,8,4.73,25.54
S101125,61.13,62.39,40.16,45.84,6,1,4,1.24,56.8
S101126,72.47,56.08,53.07,63.7,3,2,7,10.0,84.4
S101127,71.12,62.58,38.77,50.1,0,0,8,7.62,23.83
S101128,61.67,61.03,72.34,44.82,3,0,5,4.13,66.15
S101129,64.45,32.02,70.11,73.73,5,1,6,5.51,74.21
S101130,63.11,76.65,62.07,100.0,1,2,3,2.87,33.49
S101131,,43.61,71.89,68.88,4,0,7,7.41,63.03
S101132,59.42,76.88,44.86,17.34,0,0,2,7.03,43.12
S101133,28.64,58.24,81.94,39.53,3,2,6,6.27,67.76
S101134,57.18,57.38,84.81,77.12,4,1,4,3.69,38.9
S101135,38.64,78.88,61.26,67.3,1,1,6,7.43,35.59
S101136,51.77,60.2,23.26,,1,0,6,9.52,34.94
S101137,52.95,94.22,77.18,48.68,4,0,4,5.17,51.99
S101138,64.37,54.87,60.65,47.34,5,2,5,5.67,38.49
S101139,37.38,41.87,53.54,55.79,0,2,1,4.78,68.65
S101140,50.19,46.32,45.71,53.76,5,0,3,1.63,24.23
S101141,77.89,79.04,41.59,28.76,1,0,0,3.69,53.49
S101142,33.21,64.86,69.29,57.19,3,1,3,1.0,83.3
S101143,85.31,83.09,76.67,60.71,2,1,3,3.77,81.07
S101144,35.96,62.64,40.95,77.43,2,0,5,4.16,59.11
S101145,77.51,43.61,67.74,61.75,2,1,7,7.97,56.82
S101146,58.68,72.44,100.0,63.77,1,1,2,4.01,44.69
S101147,32.47,29.04,42.14,27.6,3,0,1,4.16,41.79
S101148,71.96,80.26,58.57,66.24,4,0,2,10.0,38.41
S101149,61.67,75.44,63.85,43.77,4,1,9,3.21,33.75
S101150,66.9,42.28,54.06,66.04,1,2,7,6.22,32.12
S101151,41.66,61.92,57.61,71.32,6,1,6,5.92,38.07
S101152,28.49,61.06,63.97,76.83,4,2,3,8.25,66.85
S101153,65.38,73.23,83.03,67.29,0,1,2,6.21,45.03
S101154,79.57,59.73,68.9,50.33,1,0,5,8.84,20.86
S101155,50.6,81.55,65.89,27.74,1,2,4,2.73,19.56
S101156,77.88,21.3,67.51,75.77,2,1,2,10.0,75.14
S101157,,69.68,42.97,77.7,2,1,3,0.0,24.79
S101158,52.01,48.15,75.02,45.39,2,1,2,3.18,82.55
S101159,42.12,33.35,94.37,58.91,3,0,7,6.17,82.85
S101160,58.88,49.94,81.6,20.94,4,1,4,4.53,49.26
S101161,58.41,77.24,76.84,70.93,3,0,8,8.18,21.27
S101162,66.77,62.81,21.89,44.99,3,0,4,2.85,39.51
S101163,65.0,45.26,36.16,33.21,2,2,5,2.75,26.08
S101164,100.0,76.48,21.13,67.77,3,0,4,5.95,62.08
S101165,59.75,45.37,64.16,50.78,2,0,2,3.67,25.35
S101166,73.33,69.27,62.83,,2,0,7,3.02,0.02
S101167,24.45,48.89,58.66,69.12,2,0,7,5.1,64.5
S101168,58.98,63.54,52.47,58.42,1,1,7,8.75,57.31
S101169,37.34,37.1,16.53,45.36,5,0,7,2.32,57.21
S101170,74.06,50.67,68.42,35.61,4,0,6,6.32,24.07
S101171,65.25,12.73,65.93,90.92,3,2,3,3.66,58.56
S101172,71.13,64.13,52.63,58.37,0,0,2,4.58,49.74
S101173,64.46,69.74,70.46,44.92,7,0,5,1.75,56.24
S101174,90.19,40.92,53.0,53.37,1,0,5,8.86,28.13
S101175,79.76,86.42,49.56,56.42,2,2,4,6.79,61.74
S101176,47.37,38.64,40.15,80.16,1,0,5,5.91,71.08
S101177,61.62,54.07,50.98,62.41,1,1,0,5.38,64.04
S101178,56.77,79.49,47.82,69.19,3,0,5,8.65,79.64
S101179,45.7,81.95,69.75,25.42,4,1,7,5.15,43.28
S101180,69.14,83.01,54.37,69.56,1,0,4,4.91,85.03
S101181,48.82,64.19,45.79,13.52,4,0,6,7.6,50.63
S101182,93.18,58.21,30.73,60.91,2,0,8,1.6,67.7
S101183,49.39,67.24,41.62,,4,3,7,7.51,41.49
S101184,64.71,61.16,61.52,,3,1,1,9.48,8.69
S101185,63.01,47.08,77.45,66.52,2,0,2,4.35,87.26
S101186,71.83,73.59,56.57,72.86,2,2,5,3.04,17.89
S101187,77.61,28.97,67.1,74.71,3,1,2,3.14,49.53
S101188,78.48,67.57,52.73,56.86,3,0,8,3.29,7.7
S101189,79.02,62.51,62.6,80.05,0,1,3,9.57,36.87
S101190,100.0,47.44,48.92,47.8,1,1,6,3.13,40.3
S101191,55.41,89.01,70.18,61.11,2,0,7,4.57,69.25
S101192,25.04,71.4,57.73,84.19,0,2,2,3.71,70.46
S101193,58.12,49.34,75.77,54.19,2,1,0,2.45,80.45
S101194,54.76,45.52,48.75,85.83,2,0,4,5.15,69.6
S101195,63.68,65.85,68.49,71.08,3,1,7,3.76,20.08
S101196,53.48,47.15,14.41,50.32,3,0,1,6.02,23.44
S101197,37.95,70.01,54.21,59.67,1,1,4,4.41,59.64
S101198,53.73,91.27,69.4,40.95,3,2,5,5.74,56.31
S101199,61.47,65.1,43.53,35.31,1,0,6,6.7,72.39
S101200,13.26,32.42,61.29,54.39,3,1,3,3.48,35.56
S101201,70.13,71.31,100.0,41.65,3,2,0,3.97,63.88
S101202,34.93,65.41,34.82,68.3,0,1,2,9.38,47.72
S101203,20.23,88.27,45.46,55.03,3,1,2,3.43,48.79
S101204,53.42,38.61,36.03,46.76,1,0,5,4.72,55.49
S101205,60.14,32.68,51.23,49.25,3,1,6,4.52,46.86
S101206,76.15,54.93,64.01,62.18,3,1,3,9.76,43.58
S101207,36.67,72.15,77.38,37.55,0,0,2,4.25,89.24
S101208,78.72,57.15,63.34,64.2,2,0,3,3.83,81.86
S101209,64.98,46.89,50.54,68.87,2,0,5,7.78,61.68
S101210,40.69,52.13,36.59,48.32,3,1,2,6.14,39.49
S101211,59.6,54.77,40.23,57.43,2,1,3,0.65,10.33
S101212,70.58,73.75,9.42,70.39,6,0,2,5.0,53.62
S101213,69.68,66.4,42.28,41.2,0,2,9,10.0,63.93
S101214,26.42,50.08,56.55,87.39,5,3,4,4.59,31.11
S101215,62.24,87.4,50.74,69.45,3,2,3,1.86,42.19
S101216,52.83,84.03,52.99,,2,1,3,6.17,65.2
S101217,61.51,58.32,74.38,76.81,2,0,2,2.07,37.17
S101218,31.65,66.86,69.11,54.47,0,0,3,5.55,33.94
S101219,52.38,80.3,45.07,54.9,2,1,3,8.54,17.26
S101220,22.67,63.41,68.68,17.08,3,0,4,4.43,47.88
S101221,19.32,69.58,56.74,39.72,3,0,4,9.06,58.19
S101222,66.25,33.32,36.44,82.41,1,1,2,6.01,81.58
S101223,65.27,55.59,50.82,71.04,4,0,2,5.83,64.35
S101224,24.67,63.44,48.3,58.92,3,0,1,8.55,66.05
S101225,58.41,55.99,44.28,43.91,4,1,2,7.9,75.06
S101226,39.8,32.16,62.0,69.73,3,1,2,3.0,32.05
S101227,34.1,100.0,48.19,66.23,3,1,4,6.66,74.54
S101228,40.49,85.71,44.04,57.95,3,2,4,5.1,83.6
S101229,82.96,70.58,61.97,46.28,7,2,4,8.35,39.55
S101230,40.11,42.91,64.44,65.37,4,0,1,5.06,51.71
S101231,55.46,44.92,25.43,,0,0,7,5.56,54.13
S101232,60.33,38.56,48.07,79.92,2,0,3,4.1,37.24
S101233,76.04,90.32,53.12,75.17,3,1,8,6.14,61.2
S101234,61.76,60.38,96.62,45.55,0,0,1,4.13,70.79
S101235,64.68,58.41,72.21,63.68,3,0,4,5.7,57.67
S101236,57.31,38.85,37.88,96.04,1,1,2,2.29,58.47
S101237,63.2,46.25,57.75,97.91,1,0,1,9.06,43.86
S101238,62.49,84.23,55.08,21.63,4,0,3,7.13,67.57
S101239,57.44,60.21,50.48,68.93,2,1,3,8.29,52.72
S101240,32.03,39.27,57.45,83.76,3,0,6,2.63,51.45
S101241,61.29,86.63,81.94,61.72,1,1,5,3.87,63.94
S101242,93.8,73.01,85.82,42.43,2,1,5,7.01,64.98
S101243,23.79,89.76,48.71,41.16,1,0,6,0.0,66.82
S101244,59.28,60.75,54.67,86.99,1,1,3,3.56,52.84
S101245,29.4,50.28,72.45,44.1,2,1,5,8.15,0.0
S101246,26.79,87.26,84.04,87.33,2,1,7,6.14,19.76
S101247,37.82,74.19,56.62,64.55,1,0,1,7.9,69.7
S101248,65.5,36.64,69.94,40.67,2,1,3,6.06,61.41
S101249,86.21,74.34,76.66,65.45,0,3,6,6.21,100.0
S101250,45.33,89.59,85.22,43.56,1,0,2,1.93,44.23
S101251,42.37,65.84,60.55,53.07,3,0,4,0.0,69.25
S101252,30.79,86.5,58.17,38.52,1,0,2,7.35,17.49
S101253,64.2,49.81,43.95,48.81,3,0,5,1.88,50.05
S101254,33.09,55.36,64.28,39.81,1,2,6,7.17,79.62
S101255,50.95,73.63,62.99,61.26,0,0,2,6.5,24.97
S101256,54.28,39.08,65.53,56.98,1,0,6,0.24,26.08
S101257,88.92,100.0,63.83,23.98,4,2,0,4.08,8.4
S101258,65.91,40.08,58.66,66.26,1,0,7,1.64,64.25
S101259,36.18,72.62,37.09,29.59,4,0,5,6.37,29.6
S101260,70.55,60.63,62.18,30.4,3,0,4,6.47,0.07
S101261,51.14,51.6,79.19,43.62,1,0,2,4.98,37.7
S101262,63.92,55.37,48.87,64.81,1,1,5,5.07,40.27
S101263,68.41,67.37,57.18,41.84,2,0,3,5.75,47.17
S101264,70.56,40.84,55.34,36.94,0,0,4,7.2,69.89
S101265,24.97,81.23,85.9,52.98,2,0,8,5.01,61.13
S101266,48.64,63.68,46.0,35.93,3,1,6,0.55,20.82
S101267,43.4,62.92,69.27,62.35,4,1,4,0.0,14.03
S101268,26.12,28.39,64.53,51.33,2,0,2,0.83,36.86
S101269,54.3,54.79,72.87,59.13,4,0,4,2.85,60.94
S101270,74.72,61.63,55.85,65.58,2,0,8,2.78,53.35
S101271,46.27,67.9,65.32,36.8,1,0,6,8.23,63.52
S101272,12.48,60.36,59.34,89.56,4,1,5,6.19,9.98
S101273,85.52,98.39,84.06,56.13,1,0,7,7.67,74.36
S101274,43.13,43.64,73.73,94.99,1,3,6,5.16,66.76
S101275,73.2,18.43,62.65,43.14,2,2,1,9.95,54.87
S101276,64.66,50.91,52.63,44.24,4,1,3,0.11,54.66
S101277,50.61,32.82,63.17,71.62,3,1,5,4.72,51.96
S101278,14.49,100.0,53.14,31.67,1,0,5,5.36,88.87
S101279,24.46,66.81,100.0,75.45,2,0,1,2.85,16.13
S101280,67.0,84.39,85.4,33.63,3,0,2,7.65,53.38
S101281,57.5,67.36,81.45,73.5,2,0,2,7.34,46.3
S101282,53.75,48.34,67.58,81.06,1,1,1,6.02,74.95
S101283,65.01,71.57,53.29,21.73,3,0,7,9.07,52.66
S101284,30.82,67.3,59.5,55.62,4,1,1,4.19,51.61
S101285,46.46,41.83,68.94,55.34,1,0,8,6.74,67.33
S101286,44.46,92.07,75.48,48.66,2,2,4,6.61,59.94
S101287,56.49,66.57,13.28,60.23,1,1,1,3.83,43.89
S101288,53.81,73.65,43.92,54.54,4,0,3,7.58,62.18
S101289,41.23,97.41,38.38,70.77,2,1,1,4.99,81.36
S101290,43.83,55.8,13.06,77.03,0,1,10,4.36,61.43
S101291,75.83,43.53,32.66,46.99,3,0,0,6.38,35.84
S101292,42.25,71.85,49.05,77.45,2,0,6,7.88,52.43
S101293,67.06,55.53,34.84,19.74,5,0,10,9.23,62.2
S101294,58.71,65.01,82.14,49.02,4,1,5,2.47,54.68
S101295,57.16,58.31,78.07,51.84,2,2,5,10.0,72.17
S101296,55.72,60.57,63.95,52.77,3,0,6,6.04,39.06
S101297,40.11,87.87,42.04,49.08,5,2,4,10.0,48.52
S101298,71.04,50.34,94.79,63.46,4,0,4,5.18,14.29
S101299,72.74,58.31,63.94,52.72,0,0,5,6.22,21.68
S101300,82.71,70.86,61.89,57.22,3,0,3,5.41,33.98
S101301,22.83,77.94,55.04,47.6,3,1,3,6.62,26.72
S101302,48.73,54.23,56.61,57.67,2,1,4,2.94,61.11
S101303,61.4,39.06,32.47,38.59,5,1,4,7.02,47.72
S101304,89.49,55.89,43.4,41.91,3,1,3,4.01,60.89
S101305,82.36,46.41,49.74,30.97,1,1,5,4.45,29.1
S101306,61.06,64.88,67.83,82.83,0,1,4,4.9,46.57
S101307,56.28,44.99,52.48,44.7,2,0,4,3.19,33.46
S101308,52.24,39.55,67.2,,1,0,2,4.4,62.32
S101309,43.15,64.53,40.88,54.49,1,1,6,2.48,75.4
S101310,50.51,75.92,69.23,15.74,1,2,2,9.5,64.52
S101311,61.59,56.69,77.37,76.82,1,0,7,2.49,37.44
S101312,0.0,79.73,46.79,78.89,3,0,3,6.35,44.71
S101313,28.77,24.17,69.84,67.6,1,0,4,1.73,81.4
S101314,38.81,56.08,62.47,41.14,1,2,6,1.16,21.79
S101315,43.94,69.3,51.42,80.28,1,1,1,0.0,48.23
S101316,29.08,61.76,58.17,66.3,3,2,1,2.01,9.0
S101317,53.95,59.89,50.75,48.24,3,1,6,6.06,61.63
S101318,26.29,69.31,37.67,32.39,1,2,2,2.51,53.2
S101319,61.18,74.91,25.33,59.08,2,1,1,2.78,47.46
S101320,54.08,66.27,81.47,31.28,2,0,5,6.31,24.84
S101321,74.79,45.83,71.51,43.68,0,2,6,7.57,43.78
S101322,75.71,77.0,68.9,48.35,3,0,1,9.87,46.95
S101323,57.15,62.15,55.16,72.06,4,1,7,5.33,58.93
S101324,33.55,53.27,56.46,38.77,3,2,1,3.08,67.7
S101325,50.3,60.39,60.14,42.62,3,0,5,1.98,45.67
S101326,21.82,56.63,59.82,39.24,1,1,5,6.9,25.72
S101327,67.12,28.78,61.95,71.1,3,0,7,0.81,41.97
S101328,57.3,48.78,41.38,13.73,0,0,3,5.01,62.69
S101329,50.66,54.65,36.8,32.62,2,1,4,7.45,34.93
S101330,59.92,56.77,64.45,36.95,3,0,4,4.63,64.51
S101331,81.73,59.72,62.27,85.22,2,0,4,6.63,16.49
S101332,52.13,82.26,51.41,70.04,6,0,5,8.45,38.94
S101333,52.69,100.0,67.69,52.62,1,1,0,5.42,90.68
S101334,41.92,64.59,64.16,42.5,1,0,1,4.91,43.7
S101335,14.6,90.96,45.71,37.17,4,2,3,2.29,61.29
S101336,36.26,68.2,78.6,32.06,4,1,4,8.11,62.12
S101337,,88.36,51.67,63.72,5,0,5,6.62,60.63
S101338,23.48,84.66,66.77,27.23,4,1,3,8.05,15.42
S101339,79.67,49.45,49.09,74.12,3,2,2,5.04,96.49
S101340,44.05,58.34,63.57,69.38,7,1,5,10.0,23.24
S101341,50.31,39.5,58.32,69.97,3,0,3,3.81,11.69
S101342,78.87,62.0,49.46,70.57,6,0,3,7.97,40.39
S101343,63.2,60.59,47.69,50.07,2,0,2,6.49,71.3
S101344,15.92,50.58,31.03,76.07,1,2,6,2.73,44.35
S101345,60.7,81.88,72.47,59.46,3,0,10,4.44,44.4
S101346,26.43,66.41,89.53,63.43,1,2,3,5.22,64.2
S101347,77.5,58.95,65.66,63.18,4,0,3,1.22,42.19
S101348,68.39,53.19,76.61,33.73,0,0,4,7.75,46.51
S101349,82.67,65.28,71.54,60.72,1,0,4,1.96,27.02
S101350,67.48,18.4,46.76,37.79,3,0,4,7.68,44.55
S101351,51.61,79.68,66.86,31.06,1,1,7,6.19,79.39
S101352,76.57,51.31,46.96,45.16,2,2,4,2.94,24.0
S101353,36.3,64.52,46.27,58.61,2,0,4,6.77,33.18
S101354,62.17,86.78,75.85,70.43,2,0,3,6.34,80.96
S101355,43.43,71.65,34.31,64.09,4,0,5,5.84,23.2
S101356,50.49,77.54,71.8,38.89,4,1,3,5.18,88.05
S101357,49.27,56.77,59.28,,0,1,2,3.78,45.34
S101358,70.74,74.23,78.45,44.25,3,1,1,8.79,36.39
S101359,49.45,75.03,64.43,55.39,0,1,4,6.77,49.87
S101360,52.09,62.36,60.46,41.17,2,0,6,3.45,62.27
S101361,74.03,72.08,54.31,42.1,0,0,7,4.03,69.56
S101362,58.9 ,53.06,66.43,50.23,3,0,4,2.87,74.13
S101363,69.13,45.01,47.09,67.57,3,0,3,2.71,73.86
S101364,63.12,59.85,41.29,,5,1,5,4.6,44.6
S101365,39.01,47.71,36.84,57.88,3,0,3,6.47,88.78
S101366,62.7,45.37,69.12,37.05,4,1,5,7.56,45.95
S101367,58.88,97.3,53.14,52.03,1,0,2,2.51,20.04
S101368,66.64,43.65,57.4,86.11,2,1,2,6.76,28.94
S101369,74.23,53.41,85.75,76.31,0,0,2,4.14,70.24
S101370,88.65,39.9,70.31,47.89,4,0,8,0.79,31.55
S101371,31.93,81.99,66.49,,2,0,6,6.44,82.05
S101372,63.7,97.03,51.44,47.44,1,0,5,3.84,53.38
S101373,55.75,77.41,34.16,72.34,2,2,0,4.07,48.88
S101374,39.77,37.78,62.85,55.35,2,0,4,8.38,78.75
S101375,53.53,41.19,85.29,49.42,3,1,4,5.37,69.33
S101376,57.76,60.77,48.89,64.84,3,0,3,4.45,79.08
S101377,48.55,54.64,51.94,88.92,3,1,6,8.94,40.07
S101378,37.85,78.87,40.15,42.66,4,1,4,9.47,42.51
S101379,100.0,86.97,67.76,67.58,2,0,0,5.47,51.69
S101380,73.93,58.31,52.63,67.27,4,0,5,10.0,12.59
S101381,37.3,71.68,37.36,73.98,1,1,6,2.53,33.95
S101382,82.76,60.87,57.05,23.68,1,0,6,6.92,32.02
S101383,54.0 ,74.58,92.47,42.93,0,1,4,1.72,32.96
S101384,13.38,54.73,74.82,68.62,1,1,4,4.11,47.48
S101385,19.02,48.87,84.07,44.76,1,0,5,9.27,39.41
S101386,,66.48,100.0,75.23,0,0,8,5.85,94.22
S101387,60.47,73.65,36.13,79.12,3,1,5,4.72,44.55
S101388,28.26,74.55,60.72,71.07,4,1,5,2.89,56.27
S101389,54.54,40.56,56.06,37.96,1,2,4,8.07,40.01
S101390,50.53,68.18,81.41,51.65,1,1,5,3.45,54.47
S101391,66.8,33.39,65.7,58.17,3,0,1,5.99,28.03
S101392,58.38,50.31,60.3,39.47,3,1,5,10.0,57.27
S101393,54.3,73.46,63.48,30.43,1,0,7,7.52,72.57
S101394,29.51,44.9,54.13,100.0,3,4,9,10.0,89.41
S101395,51.85,81.75,46.11,40.4,6,0,5,9.69,44.04
S101396,,36.94,61.41,79.1,5,0,3,4.76,56.27
S101397,86.01,61.66,86.88,43.9,1,0,5,7.35,36.77
S101398,55.58,39.49,48.8,70.78,2,1,8,5.92,62.01
S101399,51.91,63.94,36.67,56.39,3,1,5,8.0,62.45
S101400,66.4,35.84,59.4,,3,1,4,6.89,19.58
S101401,64.29,65.84,57.08,45.99,2,0,4,5.94,34.23
S101402,64.45,79.41,73.7,57.1,2,1,4,8.59,80.73
S101403,64.92,20.25,60.81,13.01,4,1,7,2.34,17.56
S101404,58.93,49.33,79.3,76.41,2,0,3,5.09,38.36
S101405,33.03,84.06,54.96,46.96,1,1,3,9.45,65.76
S101406,48.57,77.42,44.0,46.8,1,1,7,4.83,46.99
S101407,55.37,62.33,37.93,65.27,1,1,5,6.28,39.55
S101408,37.7,22.23,41.43,99.45,3,0,7,2.87,69.01
S101409,63.77,36.73,73.36,59.64,3,0,4,8.79,46.61
S101410,58.66,52.07,63.51,47.66,1,0,6,5.06,41.88
S101411,65.69,35.26,35.94,34.79,1,1,2,1.5,49.25
S101412,56.87,47.16,37.33,68.32,1,0,2,6.61,67.08
S101413,72.97,71.06,65.96,92.08,5,0,7,3.71,58.11
S101414,60.84,74.2,36.72,68.22,3,0,3,5.46,58.72
S101415,34.67,30.98,29.08,52.67,3,1,1,3.27,28.61
S101416,31.64,49.64,48.76,54.74,1,0,2,6.0,35.75
S101417,74.16,77.34,55.2,72.05,4,1,6,3.54,46.98
S101418,45.79,64.65,58.36,49.09,3,1,2,4.16,29.46
S101419,67.3,45.06,72.71,74.42,3,2,1,9.55,74.91
S101420,,54.18,86.45,38.27,4,0,5,3.65,25.27
S101421,64.2,52.81,64.59,65.64,5,0,3,4.03,88.85
S101422,53.36,62.8,46.82,33.86,1,0,6,7.85,48.06
S101423,95.08,84.97,65.6,34.2,4,0,8,1.52,64.76
S101424,90.49,70.32,59.54,75.31,4,0,3,6.74,61.97
S101425,74.87,46.33,45.79,72.1,3,2,2,5.41,76.19
S101426,43.42,71.22,70.95,25.55,2,0,4,3.25,27.7
S101427,50.94,54.43,64.2,76.18,1,2,4,3.36,55.06
S101428,21.62,53.23,81.21,82.79,2,0,5,0.0,46.46
S101429,46.0 ,41.78,67.94,92.52,5,1,3,8.34,44.17
S101430,32.12,58.09,63.77,54.61,2,1,3,3.28,35.0
S101431,39.07,96.04,45.92,67.06,4,2,1,7.53,19.29
S101432,45.61,37.55,46.61,64.35,1,0,3,0.0,38.9
S101433,74.46,55.22,73.37,64.33,3,0,3,3.16,32.02
S101434,59.37,52.28,74.68,62.89,1,0,5,5.89,32.59
S101435,63.22,53.83,52.06,42.59,2,0,2,2.04,75.61
S101436,52.11,81.02,40.89,51.34,3,0,8,7.13,65.56
S101437,48.29,67.92,66.82,76.86,6,0,5,6.37,36.02
S101438,24.11,64.41,52.08,48.21,3,0,3,10.0,42.27
S101439,,82.02,86.25,57.54,2,1,4,4.76,69.11
S101440,62.3,46.95,61.76,28.35,5,2,7,7.28,36.66
S101441,31.56,51.21,62.03,61.97,3,0,8,9.77,49.91
S101442,40.15,46.42,85.73,52.19,3,2,8,4.61,73.43
S101443,72.09,79.83,43.13,100.0,2,0,3,3.51,58.33
S101444,33.4,77.47,76.65,64.26,3,0,6,7.35,21.71
S101445,55.53,56.54,63.15,76.97,2,0,2,3.92,55.75
S101446,35.94,61.84,59.57,57.28,2,0,2,5.58,18.03
S101447,57.75,45.24,20.75,62.9,5,0,6,6.06,43.76
S101448,56.77,49.55,50.66,39.93,2,0,2,3.71,84.54
S101449,50.65,74.33,54.95,83.51,3,1,1,6.27,67.21
S101450,84.75,67.98,57.08,46.55,2,1,3,3.09,23.87
S101451,36.4,65.62,70.18,54.52,3,0,5,5.45,59.31
S101452,45.19,60.6,64.02,67.43,2,0,2,6.23,69.71
S101453,,42.27,54.52,67.66,2,1,3,4.53,59.83
S101454,77.38,83.5,56.11,64.82,2,0,2,2.72,53.68
S101455,63.12,30.88,48.21,66.18,4,0,6,5.61,94.82
S101456,78.36,100.0,73.62,2.37,2,2,7,3.77,50.7
S101457,46.47,61.95,36.0,29.47,2,1,1,5.3,30.65
S101458,48.48,77.49,67.28,45.36,1,0,2,5.84,61.86
S101459,83.09,51.8,76.64,51.77,0,1,4,4.55,57.3
S101460,31.59,39.7,62.34,54.98,2,2,1,5.7,68.79
S101461,64.85,44.18,41.44,43.06,4,1,1,9.57,66.29
S101462,32.37,76.19,60.62,50.57,3,3,5,8.0,32.82
S101463,73.15,38.42,72.42,29.49,1,2,5,7.29,65.21
S101464,51.91,61.03,87.74,45.71,4,1,6,4.87,59.8
S101465,56.64,59.89,55.99,29.47,4,0,3,10.0,28.09
S101466,85.11,58.14,55.35,59.0,2,0,1,4.15,88.49
S101467,48.35,59.65,80.98,83.89,1,1,5,8.56,61.82
S101468,80.7,54.72,68.71,68.75,1,3,4,8.53,60.75
S101469,43.97,50.92,65.41,19.64,2,2,2,6.84,72.07
S101470,83.19,45.35,76.43,33.31,3,0,3,4.32,41.76
S101471,30.83,51.48,95.88,8.57,3,0,6,6.92,64.85
S101472,32.83,59.4,48.47,68.25,0,1,8,4.43,31.19
S101473,99.29,73.52,71.7,74.88,3,0,0,2.76,63.53
S101474,30.87,32.44,45.15,54.73,1,0,5,7.14,47.24
S101475,96.09,57.37,35.85,55.23,1,0,8,1.84,60.53
S101476,57.48,40.39,45.18,60.43,7,0,5,7.99,38.82
S101477,,78.61,45.51,28.98,4,1,4,5.91,44.34
S101478,41.31,67.41,89.21,57.93,4,1,7,6.05,57.2
S101479,62.53,45.72,64.36,62.09,3,1,6,0.83,40.94
S101480,69.31,66.06,39.23,,2,3,2,7.28,33.38
S101481,88.4,77.24,40.14,36.17,1,1,3,8.89,45.57
S101482,64.01,66.83,59.39,37.76,5,1,3,8.92,23.93
S101483,76.97,48.01,59.75,53.99,2,1,9,3.93,23.08
S101484,59.46,33.94,74.23,25.14,0,2,4,5.67,30.29
S101485,68.04,51.22,54.68,,2,1,2,3.36,78.54
S101486,45.15,51.6,45.81,62.64,1,2,6,5.58,23.23
S101487,21.63,49.86,57.29,33.38,0,0,2,4.67,46.25
S101488,84.0,66.56,73.3,,3,0,4,8.99,56.94
S101489,35.69,34.87,40.66,59.99,1,1,2,6.9,56.32
S101490,73.49,74.75,47.67,45.5,3,0,4,7.27,37.81
S101491,50.52,76.69,87.15,54.86,1,0,9,6.07,62.59
S101492,24.08,36.29,67.83,80.2,1,1,4,4.23,70.17
S101493,61.15,71.41,37.1,35.92,2,2,4,5.02,77.61
S101494,48.5,40.53,51.74,93.01,0,1,5,3.99,35.36
S101495,49.45,76.57,56.25,64.27,1,3,6,0.98,36.98
S101496,72.47,73.05,59.8,69.27,1,1,3,5.13,43.66
S101497,38.8,46.89,78.3,45.43,2,0,5,5.26,68.5
S101498,71.79,62.05,51.66,50.61,4,0,5,6.3,42.3
S101499,,48.57,41.84,74.66,2,2,6,5.74,47.62
S101500,63.59,58.05,21.7,42.29,3,0,4,5.24,52.08
S101501,38.32,72.32,50.37,36.4,3,1,6,2.56,73.96
S101502,65.56,64.29,54.76,55.72,3,1,7,7.13,60.53
S101503,44.56,56.69,63.43,44.24,2,0,2,3.46,0.0
S101504,55.9,66.53,48.25,72.93,1,0,3,10.0,34.02
S101505,51.75,83.59,55.6,53.99,3,1,1,8.3,53.34
S101506,40.82,62.48,64.41,71.06,3,0,0,4.77,51.65
S101507,41.04,59.04,45.57,78.05,2,2,6,6.09,62.65
S101508,62.7,82.09,57.55,40.48,2,0,2,7.99,50.02
S101509,88.61,88.11,45.43,47.92,0,1,7,4.46,48.2
S101510,40.95,64.73,88.41,38.32,0,1,4,3.05,71.63
S101511,33.46,82.32,47.96,75.62,1,1,4,8.98,0.0
S101512,62.71,67.87,40.02,60.77,2,1,4,7.71,60.64
S101513,54.3,59.38,65.9,36.64,0,2,3,2.7,51.49
S101514,59.29,53.46,57.73,56.62,3,0,5,2.32,55.5
S101515,48.19,33.88,63.71,78.87,1,1,4,4.8,28.95
S101516,49.3,42.46,35.89,79.86,2,0,8,6.94,14.84
S101517,57.36,66.44,46.06,41.47,2,0,4,4.18,17.85
S101518,75.96,21.89,64.6,53.97,5,1,3,4.05,28.62
S101519,40.87,84.24,54.03,37.69,3,1,3,4.07,38.58
S101520,70.07,76.82,74.96,37.93,2,1,2,1.07,30.33
S101521,50.05,48.56,60.02,85.54,2,2,2,7.3,60.1
S101522,91.68,55.71,49.16,62.77,1,0,5,0.0,62.51
S101523,44.89,65.32,63.88,65.88,3,1,0,8.15,4.85
S101524,90.77,38.14,53.96,,2,2,0,3.05,54.22
S101525,44.51,46.62,69.83,70.21,2,0,2,2.64,40.28
S101526,42.28,69.05,49.51,58.23,3,1,3,6.05,61.69
S101527,29.94,69.03,50.62,66.12,1,2,5,4.78,50.0
