roll_number,hackathons_participated,preferred_domain,career_goal,submitted_at
S101187,1,Core Engineering,Job,2024-02-12
S101188,3,Web Development,Higher Studies,27/02/2024
S101189,2,Data Science,Job,04/12/2023
S101190,0,Data Science,Job,12/04/2024
S101191,2,Data Science,Higher Studies,25/12/2023
S101192,2,Data Science,Higher Studies,2024-01-14
S101193,1,Product/Management,Startup/Entrepreneurship,22/12/2023
S101194,2,Cybersecurity,Job,2023-11-17
S101195,2,Product/Management,Job,13/03/2024
S101196,3,Web Development,Higher Studies,2024-03-19
S101197,2,Web Development,Job,2023-12-20
S101198,1,Core Engineering,Startup/Entrepreneurship,2024-01-28
S101199,1,Core Engineering,,14/11/2023
S101200,0,Core Engineering,Startup/Entrepreneurship,2023-12-31
S101201,1,Core Engineering,Job,24/02/2024
S101202,0,Cybersecurity,Job,08/04/2024
S101203,1,Web Development,higher studies,2024/02/10 10:37:29
S101204,0,Product/Management,Job,2023-11-20
S101205,0,Web Development,Higher Studies,2024-03-26
S101206,2,Core Engineering,Job,2023-12-27
S101207,0,Web Development,Job,2024/01/06 03:39:52
S101208,0,Core Engineering,Startup/Entrepreneurship,12-20-2023
S101209,2,Product/Management,Job,2024-01-13
S101210,1,,Startup/Entrepreneurship,2024-02-09
S101211,3,Product/Management,Job,06/02/2024
S101212,1,Data Science,Startup/Entrepreneurship,2024/03/11 14:38:23
S101213,1,Product/Management,job,24/12/2023
S101214,0,Product/Management,Job,2024-04-13
S101215,0,Core Engineering,Job,09/02/2024
S101216,2,Core Engineering,Job,2024-03-20
S101217,1,Web Development,Higher Studies,26/02/2024
S101218,1,Cybersecurity,Job,2023/12/10 03:02:32
S101219,0,AI/ML,Higher Studies,2023-12-02
S101220,1,AI/ML,Job,2024/02/02 11:30:32
S101221,2,Data Science,Startup/Entrepreneurship,20/03/2024
S101222,3,Core Engineering,Higher Studies,16/11/2023
S101223,1,Cybersecurity,Higher Studies,2023-11-29
S101224,0,Web Development,Higher Studies,2024-01-25
S101225,3,AI/ML,Higher Studies,2024/03/08 03:34:33
S101226,2,Product/Management,Job,11/12/2023
S101227,0,Data Science,Higher Studies,2023/12/10 13:03:06
S101228,2,Cybersecurity,Higher Studies,17/03/2024
S101229,1,Data Science,Job,2024-04-07
S101230,1,AI/ML,Job,2024/01/11 11:35:10
S101231,1,Product/Management,Job,21/01/2024
S101232,4,Product/Management,Higher Studies,2023-12-06
S101233,1,Data Science,Job,2024/02/16 09:55:21
S101234,1,AI/ML,Higher Studies,2024/01/03 20:00:59
S101235,0,Web Development,Job,24/01/2024
S101236,2,Data Science,Job,2023-11-16
S101237,0,Web Development,Job,2024-03-22
S101238,0,AI/ML,Higher Studies,2024-03-10
S101239,2,AI/ML,Job,2023-11-12
S101240,4,Core Engineering,Job,04-04-2024
S101241,0,Web Development,Startup/Entrepreneurship,2024-01-07
S101242,4,Cybersecurity,Job,2023-11-16
S101243,1,Product/Management,Startup/Entrepreneurship,2024-01-15
S101244,0,Cybersecurity,Higher Studies,2024-01-13
S101245,2,Cybersecurity,Job,01-30-2024
S101246,2,AI/ML,Job,2024-01-08
S101247,3,AI/ML,Job,2024/02/02 06:02:10
S101248,3,Core Engineering,,2023-12-08
S101249,1,Web Development,Startup/Entrepreneurship,12-04-2023
S101250,0,Data Science,Job,26/03/2024
S101251,1,Data Science,Job,01-27-2024
S101252,2,Web Development,Higher Studies,2023-11-25
S101253,0,AI/ML,Higher Studies,04-10-2024
S101254,3,Product/Management,Higher Studies,2023-12-19
S101255,2,Cybersecurity,Higher Studies,2024-01-02
S101256,0,Data Science,Higher Studies,2024-03-08
S101257,1,Cybersecurity,Higher Studies,03-04-2024
S101258,3,Data Science,Job,2023-11-24
S101259,2,Web Development,Higher Studies,01/04/2024
S101260,2,Web Development,Startup/Entrepreneurship,2023-11-18
S101261,2,AI/ML,Job,2023-12-30
S101262,0,Product/Management,Job,2023-12-07
S101263,0,Product/Management,Job,2023-11-19
S101264,0,Core Engineering,Job,2024-03-13
S101265,1,Web Development,Job,2024-02-29
S101266,1,Web Development,Job,2024-01-11
S101267,3,AI/ML,Higher Studies,2024-01-12
S101268,1,Data Science,Job,2024-04-02
S101269,0,AI/ML,Higher Studies,2023-12-30
S101270,0,Product/Management,Higher Studies,01-20-2024
S101271,2,Product/Management,Job,17/03/2024
S101272,0,Core Engineering,Job,2024-02-16
S101273,0,AI/ML,,01/04/2024
S101274,0,Core Engineering,Higher Studies,2023-12-12
S101275,1,Cybersecurity,Job,2024-01-14
S101276,2,Core Engineering,Startup/Entrepreneurship,2024-04-11
S101277,4,AI/ML,Job,2023-12-06
S101278,1,Product/Management,Higher Studies,2024-03-11
S101279,1,AI/ML,Job,05/04/2024
S101280,1,Product/Management,Job,30/12/2023
S101281,1,Data Science,Job,2023-11-20
S101282,0,Web Development,Job,2023-11-03
S101283,2,Web Development,Job,2023-11-21
S101284,2,Cybersecurity,Higher Studies,2023-12-18
S101285,1,Data Science,Job,2024-04-08
S101286,1,Data Science,Job,2024-03-02
S101287,0,,Higher Studies,2023-11-29
S101288,2,Core Engineering,Higher Studies,2024-03-13
S101289,0,Data Science,Job,2024/02/11 01:41:14
S101290,1,Cybersecurity,Startup/Entrepreneurship,2024-03-07
S101291,0,AI/ML,Startup/Entrepreneurship,08/03/2024
S101292,2,Data Science,Job,2024-01-28
S101293,2,Cybersecurity,Job,2024-03-24
S101294,1,Cybersecurity,Job,2024-01-07
S101295,1,Data Science,Job,2024-03-05
S101296,3,Web Development,Higher Studies,06/11/2023
S101297,0,Product/Management,Job,11-18-2023
S101298,1,Web Development,Job,2023/11/14 13:41:28
S101299,2,Cybersecurity,STARTUP/ENTREPRENEURSHIP,11-09-2023
S101300,1,Web Development,Job,2023-12-14
S101301,0,Core Engineering,Job,14/04/2024
S101302,1,Data Science,Higher Studies,2023-12-29
S101303,0,Core Engineering,Job,01-19-2024
S101304,2,Core Engineering,Job,2024/01/03 21:19:40
S101305,0,Web Development,Higher Studies,2023-11-05
S101306,0,Cybersecurity,Higher Studies,14/11/2023
S101307,1,Cybersecurity,Higher Studies,25/01/2024
S101308,0,Product/Management,Job,26/01/2024
S101309,0,Cybersecurity,Higher Studies,2023-11-02
S101310,0,AI/ML,Job,2024-01-08
S101311,3,Web Development,,2024-02-24
S101312,2,Web Development,Higher Studies,2024-01-30
S101313,0,Data Science,Startup/Entrepreneurship,2024-01-23
S101314,0,Data Science,Job,05/03/2024
S101315,1,Core Engineering,Job,2024-01-10
S101316,0,Web Development,Higher Studies,2023-12-13
S101317,0,Cybersecurity,startup/entrepreneurship,2023-11-28
S101318,1,AI/ML,Job,01/11/2023
S101319,0,Cybersecurity,Job,2024-01-06
S101320,2,AI/ML,Higher Studies,2023-12-03
S101321,4,AI/ML,Job,10/04/2024
S101322,1,Data Science,Job,2023-12-07
S101323,0,AI/ML,higher studies,2024-04-04
S101324,0,Product/Management,Job,17/01/2024
S101325,0,Data Science,Higher Studies,2024-02-11
S101326,0,Core Engineering,Job,2024-01-16
S101327,1,AI/ML,Job,2024-02-18
S101328,3,Cybersecurity,Job,08/02/2024
S101329,1,Web Development,Job,2024-01-17
S101330,1,Data Science,Job,2024-01-18
S101331,1,Web Development,Higher Studies,2023-11-17
S101332,2,Data Science,Higher Studies,2024/03/23 07:22:56
S101333,0,Product/Management,Job,2024-03-11
S101334,1,Core Engineering,Job,2024-02-03
S101335,1,Web Development,Job,2024-01-14
S101336,4,Cybersecurity,Job,2024-02-19
S101337,1,Cybersecurity,Job,2024-01-10
S101338,1,Cybersecurity,Job,2024-04-06
S101339,1,Core Engineering,Higher Studies,31/03/2024
S101340,1,Core Engineering,Higher Studies,09/01/2024
S101341,2,,Higher Studies,02-23-2024
S101342,0,Core Engineering,Job,2023-12-21
S101343,0,Core Engineering,Higher Studies,2023-11-02
S101344,4,Web Development,Job,2024-02-19
S101345,0,Data Science,Higher Studies,2023-12-04
S101346,0,Cybersecurity,Job,2023-11-20
S101347,0,Web Development,Startup/Entrepreneurship,2024/01/03 14:08:10
S101348,1,Web Development,Job,23/02/2024
S101349,0,Product/Management,Job,2023/11/17 07:41:53
S101350,0,Product/Management,Higher Studies,2024-04-12
S101351,1,Core Engineering,Job,2024-01-02
S101352,1,Product/Management,Higher Studies,2023-12-26
S101353,0,Web Development,Higher Studies,24/03/2024
S101354,2,Core Engineering,Job,12-26-2023
S101355,2,Core Engineering,Job,2024-01-21
S101356,2,Web Development,Job,03-01-2024
S101357,2,Core Engineering,Job,2023/11/26 03:38:56
S101358,1,Core Engineering,Job,12/01/2024
S101359,3,Cybersecurity,Job,2024-04-09
S101360,0,Web Development,Higher Studies,18/12/2023
S101361,0,AI/ML,Higher Studies,2024-03-08
S101362,3,Web Development,Job,2024-04-07
S101363,0,Core Engineering,Higher Studies,11-15-2023
S101364,1,Data Science,Job,2024-01-15
S101365,4,Data Science,Job,2024/03/14 02:50:00
S101366,0,Core Engineering,Job,2023-11-06
S101367,2,Cybersecurity,Job,05/12/2023
S101368,1,Cybersecurity,Job,12-17-2023
S101369,3,AI/ML,,2024-01-14
S101370,2,Web Development,Higher Studies,02-15-2024
S101371,1,Web Development,Job,29/11/2023
S101372,1,AI/ML,Startup/Entrepreneurship,2023/12/28 07:54:39
S101373,0,Cybersecurity,Job,2023-11-20
S101374,0,Data Science,Job,2024-03-03
S101375,0,Data Science,Job,2024-02-11
S101376,1,Core Engineering,Job,2024-01-15
S101377,2,Product/Management,Job,02-03-2024
S101378,0,Product/Management,Job,2024-02-10
S101379,0,AI/ML,Job,04-12-2024
S101380,1,Data Science,Job,28/02/2024
S101381,0,Cybersecurity,Job,2024-03-23
S101382,2,Web Development,Higher Studies,2023-12-11
S101383,0,Cybersecurity,Job,2024-01-05
S101384,1,AI/ML,Job,2024-01-09
S101385,1,Core Engineering,Job,09/03/2024
S101386,0,Product/Management,Job,2024-02-17
S101387,2,Cybersecurity,Job,2023-11-04
S101388,0,Cybersecurity,Job,2024-04-04
S101389,2,,Higher Studies,2024-02-29
S101390,0,AI/ML,Job,2024-01-04
S101391,1,Core Engineering,Higher Studies,28/02/2024
S101392,1,Web Development,Higher Studies,2024-02-06
S101393,0,Product/Management,Startup/Entrepreneurship,12-19-2023
S101394,1,Data Science,Job,19/12/2023
S101395,2,Web Development,Startup/Entrepreneurship,2024-02-12
S101396,3,Cybersecurity,Job,2024-04-06
S101397,0,Data Science,Job,2023-11-20
S101398,1,Cybersecurity,Job,11/11/2023
S101399,1,AI/ML,Job,03-11-2024
S101400,1,Data Science,Job,2024-04-04
S101401,2,Web Development,Higher Studies,05/01/2024
S101402,0,AI/ML,Job,13/01/2024
S101403,2,Data Science,STARTUP/ENTREPRENEURSHIP,31/01/2024
S101404,0,AI/ML,Job,27/12/2023
S101405,0,Web Development,Job,26/11/2023
S101406,2,Cybersecurity,Higher Studies,2024-02-28
S101407,0,Cybersecurity,Job,2024-02-23
S101408,1,AI/ML,Job,2024-01-05
S101409,1,AI/ML,Higher Studies,2023-12-11
S101410,2,Core Engineering,Job,2024-01-08
S101411,0,Cybersecurity,Higher Studies,2024-03-29
S101412,0,Data Science,Higher Studies,2024-01-12
S101413,1,Web Development,Job,2023-11-11
S101414,5,Cybersecurity,Startup/Entrepreneurship,2023-11-16
S101415,2,Data Science,job,2024-02-11
S101416,1,AI/ML,Job,01/04/2024
S101417,0,Cybersecurity,Higher Studies,2024-04-04
S101418,3,Web Development,Startup/Entrepreneurship,2024-03-27
S101419,2,Product/Management,Higher Studies,2023-11-18
S101420,0,,Job,2024-03-22
S101421,1,AI/ML,Higher Studies,07/11/2023
S101422,1,Web Development,Job,12-10-2023
S101423,1,Product/Management,Job,2024-01-22
S101424,2,,Job,2024-01-13
S101425,1,Core Engineering,Job,2024-01-10
S101426,2,Cybersecurity,Job,2024-03-15
S101427,1,Product/Management,Higher Studies,24/01/2024
S101428,1,AI/ML,Job,2024-04-07
S101429,3,Cybersecurity,Startup/Entrepreneurship,03-24-2024
S101430,0,Web Development,Job,02/01/2024
S101431,1,Web Development,Higher Studies,03/12/2023
S101432,0,Product/Management,Higher Studies,2024-03-02
S101433,1,Data Science,Higher Studies,2023-12-11
S101434,1,AI/ML,Job,2024-02-11
S101435,0,Web Development,Higher Studies,2024-02-04
S101436,0,Core Engineering,Job,06/12/2023
S101437,3,Product/Management,Startup/Entrepreneurship,2023-12-30
S101438,1,AI/ML,Higher Studies,2024-03-04
S101439,0,Web Development,Higher Studies,2024-02-06
S101440,0,Cybersecurity,Higher Studies,2024/02/18 06:28:16
S101441,1,Cybersecurity,Job,2023-11-19
S101442,1,Web Development,Job,2024-03-03
S101443,0,Cybersecurity,Higher Studies,16/11/2023
S101444,4,Cybersecurity,Higher Studies,09/03/2024
S101445,1,Product/Management,JOB,19/03/2024
S101446,1,Web Development,Startup/Entrepreneurship,29/12/2023
S101447,0,Web Development,Job,2023-11-04
S101448,0,Cybersecurity,Higher Studies,2024-03-18
S101449,2,Web Development,Job,2023-11-27
S101450,1,Core Engineering,Job,2023-12-04
S101451,2,Data Science,Job,2023-12-13
S101452,0,Web Development,Job,28/02/2024
S101453,4,Data Science,Startup/Entrepreneurship,2024-02-19
S101454,0,Cybersecurity,Startup/Entrepreneurship,05/03/2024
S101455,4,Web Development,Higher Studies,2023-12-05
S101456,1,AI/ML,Job,2024-02-05
S101457,2,Core Engineering,Job,31/01/2024
S101458,0,AI/ML,Startup/Entrepreneurship,2023-12-24
S101459,2,Cybersecurity,Job,2023-11-11
S101460,1,AI/ML,Higher Studies,2024-01-22
S101461,1,,Job,2024-04-13
S101462,1,AI/ML,Startup/Entrepreneurship,16/03/2024
S101463,0,Data Science,Higher Studies,2024-04-04
S101464,1,Data Science,Job,2023-11-09
S101465,0,AI/ML,Job,2023-12-27
S101466,0,Product/Management,Job,2024-02-09
S101467,1,Cybersecurity,Job,2024-01-10
S101468,1,Product/Management,Job,2024-01-19
S101469,1,Core Engineering,Job,2024-02-24
S101470,0,Cybersecurity,Higher Studies,04/12/2023
S101471,4,AI/ML,Higher Studies,2023-11-10
S101472,1,Cybersecurity,Job,2023-12-22
S101473,1,Cybersecurity,Startup/Entrepreneurship,2024/02/13 13:02:58
S101474,1,Core Engineering,Job,2024-02-21
S101475,1,Data Science,Higher Studies,27/02/2024
S101476,1,Data Science,Startup/Entrepreneurship,2023-12-01
S101477,1,AI/ML,Job,2024-04-13
S101478,1,Core Engineering,Higher Studies,2024-01-22
S101479,0,AI/ML,Job,2023-11-06
S101480,1,Cybersecurity,Job,2024-03-02
S101481,0,Core Engineering,Startup/Entrepreneurship,2024-02-28
S101482,4,Product/Management,Higher Studies,09/04/2024
S101483,0,Cybersecurity,Job,19/02/2024
S101484,2,Data Science,Job,2024-02-11
S101485,0,AI/ML,Job,04/04/2024
S101486,2,Product/Management,Higher Studies,2023-11-02
S101487,3,Cybersecurity,Job,2024-03-26
S101488,3,Cybersecurity,Job,09/03/2024
S101489,0,Data Science,Job,2024-01-07
S101490,0,Cybersecurity,Job,2024-01-31
S101491,2,Data Science,Startup/Entrepreneurship,25/12/2023
S101492,1,Data Science,,2024-01-30
S101493,0,Cybersecurity,Startup/Entrepreneurship,04/04/2024
S101494,1,Web Development,Job,2024-03-15
S101495,2,AI/ML,Job,23/11/2023
S101496,3,Product/Management,Job,2024/02/29 07:31:04
S101497,0,AI/ML,Job,10/01/2024
S101498,2,Core Engineering,Job,25/03/2024
S101499,3,Cybersecurity,Job,2023-12-06
S101500,3,Cybersecurity,Higher Studies,28/01/2024
S101501,1,Web Development,Job,2024-02-08
S101502,1,Core Engineering,Job,2023-11-12
S101503,0,Data Science,Higher Studies,2024-04-05
S101504,0,Data Science,Job,2023-12-25
S101505,2,Data Science,Higher Studies,2024-04-10
S101506,0,Cybersecurity,,2024-03-07
S101507,2,Core Engineering,Job,2023-11-22
S101508,1,Cybersecurity,Job,2023-12-15
S101509,1,Product/Management,job,2024/02/23 14:06:44
S101510,1,AI/ML,Job,13/12/2023
S101511,1,AI/ML,Job,2024-01-25
S101512,0,Product/Management,Higher Studies,2023-11-18
S101513,1,Data Science,Job,2024-03-16
S101514,0,Cybersecurity,Higher Studies,28/01/2024
S101515,1,Cybersecurity,Job,2023-12-03
S101516,0,Data Science,Job,03-21-2024
S101517,0,Data Science,Startup/Entrepreneurship,2024-04-08
S101518,1,Product/Management,Higher Studies,2023-11-14
S101519,1,Data Science,Job,01-19-2024
S101520,0,,Job,12-05-2023
S101521,2,,Job,2024-01-19
S101522,2,Data Science,Job,2023-11-20
S101523,0,Data Science,Higher Studies,14/11/2023
S101524,0,Product/Management,Job,2024/02/29 19:26:59
S101525,3,AI/ML,Startup/Entrepreneurship,2024-03-19
S101526,2,Core Engineering,Job,05/01/2024
S101527,1,Data Science,Job,2024-04-10
S101528,2,Data Science,Job,2024-01-31
S101529,2,Cybersecurity,Higher Studies,14/03/2024
S101530,1,Cybersecurity,Job,03-14-2024
S101531,1,,Startup/Entrepreneurship,2024-02-20
S101532,4,Product/Management,Higher Studies,12/01/2024
S101533,2,Web Development,Job,12-28-2023
S101534,3,Web Development,Startup/Entrepreneurship,2023-12-10
S101535,1,Data Science,Higher Studies,2023-12-26
S101536,2,AI/ML,Job,2024-04-06
S101537,0,AI/ML,Job,03-12-2024
S101538,1,Cybersecurity,Job,2023-11-08
S101539,2,Core Engineering,Higher Studies,2024-01-15
S101540,1,Data Science,Higher Studies,2024-01-13
S101541,1,Cybersecurity,Startup/Entrepreneurship,2024-01-29
S101542,3,Web Development,Startup/Entrepreneurship,20/03/2024
S101543,1,Product/Management,Job,20/01/2024
S101544,2,Core Engineering,Higher Studies,02-05-2024
S101545,1,Cybersecurity,Startup/Entrepreneurship,2024-02-27
S101546,0,Web Development,Higher Studies,2023-12-10
S101547,2,Product/Management,Higher Studies,2023-12-18
S101548,1,Data Science,Higher Studies,2024-01-06
S101549,1,AI/ML,Startup/Entrepreneurship,2023-12-13
S101550,0,Product/Management,Job,2024-01-30
S101551,1,Data Science,Job,06/01/2024
S101552,1,Core Engineering,Higher Studies,2024-02-05
S101553,1,Product/Management,Job,2024-02-14
S101554,2,Data Science,Job,20/02/2024
S101555,3,Data Science,Job,2024-03-12
S101556,0,Product/Management,Job,02-11-2024
S101557,0,AI/ML,Job,2023-11-24
S101558,1,Data Science,Job,2023-11-03
S101559,2,Product/Management,Job,2024-03-20
S101560,2,Product/Management,Startup/Entrepreneurship,2023-12-08
S101561,4,AI/ML,Job,01/04/2024
S101562,1,Data Science,Higher Studies,29/03/2024
S101563,1,Cybersecurity,Higher Studies,24/03/2024
S101564,1,Web Development,Higher Studies,2024/01/05 21:33:05
S101565,1,Cybersecurity,Job,21/01/2024
S101566,2,Data Science,Job,2023-11-16
S101567,0,AI/ML,Job,2023-11-06
S101568,0,Product/Management,Startup/Entrepreneurship,23/11/2023
S101569,1,Cybersecurity,Job,2023-11-14
S101570,1,Core Engineering,Job,06/12/2023
S101571,0,Core Engineering,Job,2024-03-04
S101572,1,Core Engineering,Higher Studies,10/03/2024
S101573,2,Product/Management,Higher Studies,2023-11-20
S101574,2,Web Development,Job,2024-03-30
S101575,1,Data Science,Startup/Entrepreneurship,29/01/2024
S101576,2,Web Development,JOB,22/12/2023
S101577,4,Web Development,Startup/Entrepreneurship,2023-11-04
S101578,0,AI/ML,Higher Studies,31/01/2024
S101579,1,Web Development,Job,12-10-2023
S101580,1,Cybersecurity,Higher Studies,29/03/2024
S101581,1,AI/ML,Higher Studies,2023-11-21
S101582,0,AI/ML,Job,2023-11-07
S101583,0,AI/ML,,2024-01-11
S101584,0,Core Engineering,Job,2024-03-18
S101585,4,Cybersecurity,Higher Studies,2024-04-02
S101586,0,Product/Management,Job,2024-03-09
S101587,3,Core Engineering,Job,2024-02-14
S101588,1,Web Development,Startup/Entrepreneurship,11-22-2023
S101589,1,Data Science,Higher Studies,2024-03-18
S101590,1,AI/ML,Job,2023-12-18
S101591,1,Core Engineering,Higher Studies,14/04/2024
S101592,1,Product/Management,Job,2023-12-27
S101593,2,AI/ML,Job,2023-11-04
S101594,2,Web Development,Higher Studies,21/01/2024
S101595,2,Product/Management,JOB,2023-11-23
S101596,1,AI/ML,Higher Studies,11-23-2023
S101597,1,Web Development,Job,2023-12-09
S101598,3,Core Engineering,Higher Studies,12-29-2023
S101599,0,AI/ML,Job,2024-04-08
S101600,1,,Job,2024-04-10
S101601,1,Product/Management,Job,02/01/2024
S101602,1,Web Development,Job,2024-02-25
S101603,1,Cybersecurity,Job,08/02/2024
S101604,2,Data Science,Job,2024-02-09
S101605,1,Cybersecurity,Higher Studies,2024-01-19
S101606,0,Product/Management,Higher Studies,02/04/2024
S101607,1,Product/Management,Job,2024-04-01
S101608,0,Data Science,Job,2024-02-24
S101609,5,Web Development,Startup/Entrepreneurship,2024-02-12
S101610,1,Cybersecurity,Job,2024-02-07
S101611,1,Cybersecurity,Job,03-05-2024
S101612,1,Cybersecurity,Job,11-19-2023
S101613,2,Core Engineering,Job,2024-01-12
S101614,1,Cybersecurity,Higher Studies,22/11/2023
S101615,1,Web Development,Job,2023-11-26
S101616,0,AI/ML,Job,2023-12-10
S101617,1,Cybersecurity,Higher Studies,2024-04-04
S101618,1,AI/ML,Job,2023-11-21
S101619,0,AI/ML,Job,2023-11-13
S101620,0,Data Science,Job,2023-11-06
S101621,1,Data Science,Job,2024-03-27
S101622,0,Product/Management,Job,2023-12-05
S101623,0,AI/ML,Job,2024-01-15
S101624,2,Data Science,Higher Studies,2024-01-01
S101625,0,,Job,2023-12-08
S101626,1,Core Engineering,Job,2024-01-27
S101627,2,Core Engineering,Job,04/11/2023
S101628,2,Web Development,Higher Studies,18/02/2024
S101629,1,Product/Management,Higher Studies,15/01/2024
S101630,0,Data Science,Job,12/11/2023
S101631,0,Web Development,Job,2023-11-25
S101632,2,Core Engineering,Job,2023-12-31
S101633,1,,Job,12-08-2023
S101634,0,Data Science,Higher Studies,11/03/2024
S101635,1,Web Development,Higher Studies,2024-01-06
S101636,1,Core Engineering,Higher Studies,2024-02-13
S101637,2,AI/ML,Job,2024-03-10
S101638,1,Cybersecurity,Job,2024-03-19
S101639,1,Cybersecurity,Job,02/02/2024
S101640,1,Data Science,Startup/Entrepreneurship,25/03/2024
S101641,2,Data Science,Job,2024-04-12
S101642,0,AI/ML,Job,2024-01-27
S101643,3,Web Development,Startup/Entrepreneurship,12-19-2023
S101644,1,Cybersecurity,Job,2024-01-20
S101645,1,Core Engineering,Job,2024/04/08 03:31:30
S101646,1,Core Engineering,Job,2024/03/30 07:44:34
S101647,1,Product/Management,Higher Studies,23/11/2023
S101648,4,Product/Management,,2023-12-15
S101649,1,Data Science,Higher Studies,30/12/2023
S101650,1,Product/Management,Job,2024-01-01
S101651,0,Cybersecurity,Higher Studies,2023/12/23 11:36:58
S101652,1,Web Development,Higher Studies,2024-03-15
S101653,0,Data Science,Higher Studies,2024-03-19
S101654,0,,Job,29/01/2024
S101655,2,Data Science,Startup/Entrepreneurship,2023-12-01
S101656,1,Cybersecurity,Higher Studies,2023-11-26
S101657,1,Core Engineering,Higher Studies,2023-12-27
S101658,0,Data Science,Job,07/11/2023
S101659,1,Core Engineering,HIGHER STUDIES,2023-11-16
S101660,3,Web Development,Job,27/02/2024
S101661,2,Cybersecurity,Job,09/01/2024
S101662,1,Data Science,Higher Studies,02-16-2024
S101663,2,Data Science,Job,2023-11-22
S101664,2,Core Engineering,Higher Studies,2023-11-09
S101665,0,Product/Management,Job,11-09-2023
S101666,1,Web Development,Higher Studies,2023-12-22
S101667,1,Web Development,Job,18/11/2023
S101668,1,AI/ML,Job,12-05-2023
S101669,1,Core Engineering,Higher Studies,2023-11-26
S101670,1,Web Development,Job,2024-01-24
S101671,2,Product/Management,Startup/Entrepreneurship,2023-11-16
S101672,1,Product/Management,Job,08/11/2023
S101673,1,AI/ML,Higher Studies,07/01/2024
S101674,0,Cybersecurity,Job,2024-01-30
S101675,3,Web Development,Job,03-14-2024
S101676,2,Cybersecurity,Job,2023-11-30
S101677,2,Cybersecurity,Job,2023-11-07
S101678,0,Core Engineering,Higher Studies,2024-04-04
S101679,0,AI/ML,Job,2024/04/12 08:07:24
S101680,3,Product/Management,Job,2023-12-26
S101681,0,Core Engineering,Job,13/11/2023
S101682,1,Cybersecurity,Higher Studies,03-27-2024
S101683,0,Product/Management,Higher Studies,13/02/2024
S101684,1,Web Development,Job,2023-11-05
S101685,4,Product/Management,Job,2024-03-01
S101686,2,Core Engineering,Higher Studies,05/02/2024
S101687,1,Web Development,Job,11-30-2023
S101688,1,Core Engineering,Higher Studies,2023-12-20
S101689,1,AI/ML,Startup/Entrepreneurship,20/01/2024
S101690,0,AI/ML,Job,29/03/2024
S101691,3,Product/Management,Startup/Entrepreneurship,2023-11-03
S101692,0,Core Engineering,Higher Studies,16/02/2024
S101693,1,Core Engineering,Job,01-01-2024
S101694,1,Web Development,Startup/Entrepreneurship,2023-11-08
S101695,0,Cybersecurity,Job,2024-04-06
S101696,1,Core Engineering,Higher Studies,2024-02-03
S101697,1,Core Engineering,Job,2024-04-02
S101698,0,Cybersecurity,Higher Studies,2024-03-30
S101699,1,Product/Management,Job,2024-01-01
S101700,1,Data Science,Higher Studies,2023-12-06
S101701,0,AI/ML,Job,17/02/2024
S101702,3,Cybersecurity,Job,01/11/2023
S101703,3,Data Science,Job,2024-01-14
S101704,0,Core Engineering,Job,10/12/2023
S101705,1,Data Science,Job,2024-04-08
S101706,3,Data Science,Job,2024-03-20
S101707,1,AI/ML,Higher Studies,2024-03-24
S101708,1,AI/ML,Job,22/01/2024
S101709,1,Product/Management,Higher Studies,2024-03-26
S101710,1,Web Development,Job,17/01/2024
S101711,1,Data Science,Startup/Entrepreneurship,2023-12-11
S101712,2,Web Development,JOB,2023-11-22
S101713,2,Web Development,Job,2024-02-15
S101714,1,AI/ML,Higher Studies,2024-03-11
S101715,1,AI/ML,Job,27/02/2024
S101716,2,Data Science,,15/03/2024
S101717,0,Core Engineering,Job,2024-02-19
S101718,0,Web Development,Higher Studies,2023-12-05
S101719,1,Core Engineering,Job,2024-02-13
S101720,1,Data Science,Job,2024-01-23
S101721,1,Core Engineering,Job,2024-02-26
S101722,0,Web Development,Higher Studies,17/03/2024
S101723,1,Data Science,Job,04/01/2024
S101724,1,Core Engineering,,23/03/2024
S101725,1,Web Development,Higher Studies,2024-04-05
S101726,2,AI/ML,Higher Studies,2023-11-20
S101727,1,Core Engineering,Job,31/01/2024
S101728,1,Data Science,Job,2024-03-07
S101729,1,Cybersecurity,Higher Studies,2024-02-09
S101730,2,Core Engineering,Job,28/12/2023
S101731,1,Data Science,Job,2024-01-04
S101732,0,Cybersecurity,Job,19/02/2024
S101733,2,Web Development,Job,2024-04-11
S101734,0,Product/Management,Higher Studies,19/02/2024
S101735,1,AI/ML,Job,12-21-2023
S101736,1,Cybersecurity,Higher Studies,2023-11-19
S101737,2,Core Engineering,Job,26/02/2024
S101738,1,Web Development,Job,2024-04-11
S101739,0,Web Development,Job,2024-02-13
S101740,1,Data Science,Job,2024-01-28
S101741,0,Data Science,Higher Studies,22/01/2024
S101742,0,Data Science,Higher Studies,2024-03-18
S101743,0,Web Development,Higher Studies,2023-12-18
S101744,1,Cybersecurity,Higher Studies,2024-02-17
S101745,0,AI/ML,Higher Studies,09/12/2023
S101746,1,Core Engineering,Higher Studies,2024-03-11
S101747,3,AI/ML,Job,30/11/2023
S101748,3,AI/ML,Job,08/11/2023
S101749,0,Product/Management,Job,2024/02/15 11:05:59
S101750,2,AI/ML,Job,2024-04-08
S101751,3,Product/Management,Job,2024-02-15
S101752,4,Cybersecurity,Job,2024-01-23
S101753,2,Core Engineering,Higher Studies,2023-11-11
S101754,2,Core Engineering,Startup/Entrepreneurship,01-10-2024
