student_id,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,study_hours_daily,self_learning_hours,motivation_level,adaptability_score,gym_frequency,family_income_lpa,resume_score,communication_skills,aptitude_score,mock_interview_score,hackathons_participated,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,wellness_score,screen_to_study_ratio,backlog_history,attendance_percentage,cgpa,at_risk_flag
S201247,5.63,8.54,1.22,8.04,43.72,0.46,2.33,7.81,42.85,0,1.0,37.82,74.19,56.62,64.55,3,1,0,1,7.9,69.7,46.26,18.73,0,82.87,6.59,1
S201248,5.68,10.14,0.85,4.87,60.31,4.25,0.76,4.58,93.3,3,2.6,65.5,36.64,69.94,40.67,3,2,1,3,6.06,61.41,46.47,2.39,0,73.56,5.8,1
S201249,8.91,6.02,1.9,7.7,46.49,3.71,0.61,6.14,58.63,0,1.1,86.21,74.34,76.66,65.45,1,0,3,6,6.21,100.0,52.61,1.62,0,54.53,7.06,0
S201250,7.53,5.93,2.33,8.09,57.45,1.4,0.44,7.48,48.43,3,1.1,45.33,89.59,85.22,43.56,0,1,0,2,1.93,44.23,43.91,4.24,2,81.25,8.57,1
S201251,5.78,6.41,6.98,7.83,55.5,5.52,3.44,7.32,60.16,2,6.4,42.37,65.84,60.55,53.07,1,3,0,4,0.0,69.25,44.85,1.16,1,84.7,8.61,0
S201252,6.24,5.36,0.27,4.12,56.98,1.66,4.38,4.98,34.95,1,1.4,30.79,86.5,58.17,38.52,2,1,0,2,7.35,17.49,57.18,3.22,0,46.35,7.11,0
S201253,7.01,3.78,0.1,4.61,38.39,0.41,1.01,4.91,50.92,0,30.1,64.2,49.81,43.95,48.81,0,3,0,5,1.88,50.05,63.35,9.22,1,86.6,8.56,1
S201254,7.53,3.85,0.45,5.95,23.59,3.09,2.36,5.59,76.39,1,30.1,33.09,55.36,64.28,39.81,3,1,2,6,7.17,79.62,73.4,1.25,0,91.78,7.29,0
S201255,4.05,9.86,0.49,6.49,40.84,0.0,1.23,8.18,76.93,3,6.1,50.95,73.63,62.99,61.26,2,0,0,2,6.5,24.97,50.09,39.44,1,96.52,8.52,1
S201256,7.57,5.17,0.08,2.37,22.36,4.32,0.09,2.59,67.99,4,10.1,54.28,39.08,65.53,56.98,0,1,0,6,0.24,26.08,73.58,1.2,1,57.12,8.88,0
S201257,5.99,8.47,2.39,7.42,77.13,4.53,1.11,4.6,85.08,2,5.6,88.92,100.0,63.83,23.98,1,4,2,0,4.08,8.4,38.13,1.87,0,90.04,6.38,1
S201258,5.34,2.78,2.36,4.25,34.41,1.46,0.91,8.38,46.74,4,3.8,65.91,40.08,58.66,66.26,3,1,0,7,1.64,64.25,64.49,1.91,0,90.23,7.49,0
S201259,5.75,7.99,1.41,5.23,33.1,0.65,0.87,5.51,64.55,3,1.2,36.18,72.62,37.09,29.59,2,4,0,5,6.37,29.6,62.58,12.23,0,88.58,7.4,1
S201260,7.41,9.69,0.21,7.45,5.39,2.29,3.98,6.4,80.63,2,3.9,70.55,60.63,62.18,30.4,2,3,0,4,6.47,0.07,68.41,4.24,0,79.73,5.8,0
S201261,8.76,5.83,2.97,7.09,57.41,3.26,1.14,6.96,44.98,1,1.0,51.14,51.6,79.19,43.62,2,1,0,2,4.98,37.7,53.35,1.79,0,86.08,8.43,0
S201262,6.51,9.17,0.61,9.88,78.72,1.83,2.31,1.0,67.28,1,5.1,63.92,55.37,48.87,64.81,0,1,1,5,5.07,40.27,30.46,5.02,1,52.3,7.17,1
S201263,7.08,7.37,1.5,6.3,64.65,1.37,0.03,7.18,62.9,3,2.8,68.41,67.37,57.18,41.84,0,2,0,3,5.75,47.17,50.92,5.37,0,79.41,7.26,1
S201264,5.16,12.65,0.09,5.61,24.42,2.85,0.38,10.0,73.09,2,1.4,70.56,40.84,55.34,36.94,0,0,0,4,7.2,69.89,60.47,4.45,2,86.44,5.15,0
S201265,6.99,6.08,3.66,1.78,39.4,3.77,1.02,4.18,22.3,1,6.5,24.97,81.23,85.9,52.98,1,2,0,8,5.01,61.13,68.35,1.61,0,66.37,6.27,1
S201266,7.45,6.07,0.65,3.15,50.84,3.1,0.56,4.97,65.93,2,3.8,48.64,63.68,46.0,35.93,1,3,1,6,0.55,20.82,63.86,1.96,2,83.49,8.55,0
S201267,4.22,4.03,1.17,7.09,41.85,1.18,7.4,8.05,64.44,0,4.3,43.4,62.92,69.27,62.35,3,4,1,4,0.0,14.03,45.55,3.41,1,86.17,6.01,1
S201268,5.58,6.36,0.56,7.45,35.93,5.58,0.38,9.03,42.88,2,8.2,26.12,28.39,64.53,51.33,1,2,0,2,0.83,36.86,50.97,1.14,2,86.62,7.01,0
S201269,7.41,8.45,1.04,7.61,43.59,2.24,0.61,5.04,51.62,2,5.7,54.3,54.79,72.87,59.13,0,4,0,4,2.85,60.94,56.8,3.78,2,58.99,7.65,1
S201270,3.84,4.75,0.57,5.96,46.5,1.69,1.36,6.04,67.5,3,2.6,74.72,61.63,55.85,65.58,0,2,0,8,2.78,53.35,45.23,2.81,2,47.59,9.69,0
S201271,5.78,9.96,5.32,2.85,76.48,1.54,0.5,9.5,44.57,3,15.7,46.27,67.9,65.32,36.8,2,1,0,6,8.23,63.52,42.53,6.46,1,100.0,6.49,1
S201272,7.14,5.26,3.62,1.12,28.08,2.66,2.85,6.7,51.73,6,16.2,12.48,60.36,59.34,89.56,0,4,1,5,6.19,9.98,73.52,1.98,0,72.42,6.92,0
S201273,3.93,7.2,1.81,4.01,55.33,0.0,0.29,5.37,41.14,3,26.5,85.52,98.39,84.06,56.13,0,1,0,7,7.67,74.36,45.05,28.81,0,68.95,4.54,1
S201274,5.74,10.0,4.07,4.82,21.35,1.02,0.42,8.84,64.56,2,1.0,43.13,43.64,73.73,94.99,0,1,3,6,5.16,66.76,59.82,9.81,0,100.0,7.98,0
S201275,6.38,5.21,3.48,6.92,34.38,4.61,1.31,5.23,59.57,4,1.3,73.2,18.43,62.65,43.14,1,2,2,1,9.95,54.87,54.03,1.13,0,68.58,6.17,1
S201276,7.55,7.05,0.88,8.48,54.46,4.96,2.41,5.18,50.7,2,36.8,64.66,50.91,52.63,44.24,2,4,1,3,0.11,54.66,48.44,1.42,0,80.56,7.79,0
S201277,4.51,6.01,2.0,8.4,27.43,2.08,0.69,6.87,87.31,3,9.0,50.61,32.82,63.17,71.62,4,3,1,5,4.72,51.96,43.12,2.89,3,67.93,5.56,1
S201278,7.85,4.74,0.82,2.97,53.23,3.63,1.01,5.97,67.1,0,2.4,14.49,100.0,53.14,31.67,1,1,0,5,5.36,88.87,56.39,1.31,0,77.26,7.04,0
S201279,6.73,8.03,3.67,2.99,48.74,0.92,1.45,3.65,64.37,0,5.9,24.46,66.81,100.0,75.45,1,2,0,1,2.85,16.13,63.46,8.71,1,56.86,4.69,1
S201280,7.98,1.29,0.35,2.88,49.95,6.03,1.49,3.4,39.31,1,2.1,67.0,84.39,85.4,33.63,1,3,0,2,7.65,53.38,68.56,0.21,1,73.82,3.5,0
S201281,7.93,4.05,1.07,6.26,14.87,2.88,0.95,7.02,80.42,2,4.0,57.5,67.36,81.45,73.5,1,2,0,2,7.34,46.3,66.05,1.4,0,69.01,5.2,0
S201282,6.78,6.32,1.25,6.63,80.08,4.11,0.24,5.04,68.03,2,1.0,53.75,48.34,67.58,81.06,0,1,1,1,6.02,74.95,38.29,1.54,1,95.16,7.09,0
S201283,6.98,7.33,0.87,5.37,84.54,4.47,1.67,9.23,70.6,3,1.1,65.01,71.57,53.29,21.73,2,3,0,7,9.07,52.66,36.13,1.64,1,90.31,9.5,0
S201284,3.86,4.5,0.75,6.23,57.01,3.92,2.56,5.41,98.73,4,1.4,30.82,67.3,59.5,55.62,2,4,1,1,4.19,51.61,42.71,1.15,1,80.84,6.75,1
S201285,4.41,3.35,0.2,7.67,28.29,3.51,3.01,2.31,47.75,0,3.5,46.46,41.83,68.94,55.34,1,1,0,8,6.74,67.33,53.4,0.95,1,71.15,5.38,1
S201286,4.89,10.6,0.03,6.0,30.37,6.58,3.03,7.92,12.26,4,1.6,44.46,92.07,75.48,48.66,1,2,2,4,6.61,59.94,61.85,1.61,0,79.01,9.64,0
S201287,5.81,8.08,1.12,8.3,46.55,1.53,2.27,2.78,48.14,1,6.4,56.49,66.57,13.28,60.23,0,1,1,1,3.83,43.89,41.46,5.29,0,87.42,7.2,1
S201288,7.61,8.08,2.85,7.92,56.24,1.57,0.5,6.87,50.22,2,1.0,53.81,73.65,43.92,54.54,2,4,0,3,7.58,62.18,52.44,5.14,1,93.96,5.71,0
S201289,3.8,6.95,1.59,5.68,55.29,0.0,0.35,2.99,74.97,2,3.4,41.23,97.41,38.38,70.77,0,2,1,1,4.99,81.36,41.02,27.82,0,60.94,5.12,1
S201290,5.85,9.46,2.19,7.15,48.32,5.67,1.51,4.97,33.56,1,1.3,43.83,55.8,13.06,77.03,1,0,1,10,4.36,61.43,52.78,1.67,0,86.94,6.34,0
S201291,4.45,7.42,1.5,3.74,66.02,3.12,1.16,1.0,44.48,2,13.3,75.83,43.53,32.66,46.99,0,3,0,0,6.38,35.84,50.87,2.38,0,70.43,9.5,1
S201292,4.12,3.37,1.05,6.61,60.64,3.34,0.23,6.84,67.92,1,6.9,42.25,71.85,49.05,77.45,2,2,0,6,7.88,52.43,45.9,1.01,2,68.66,5.34,1
S201293,8.37,6.62,1.12,4.48,45.42,1.14,3.5,7.2,71.66,2,2.0,67.06,55.53,34.84,19.74,2,5,0,10,9.23,62.2,63.4,5.8,0,88.06,5.8,0
S201294,6.44,9.1,1.86,9.05,78.99,2.44,4.52,4.22,59.52,0,10.5,58.71,65.01,82.14,49.02,1,4,1,5,2.47,54.68,38.86,3.74,0,76.43,6.16,1
S201295,8.59,2.55,2.3,7.76,64.7,2.86,0.23,8.76,57.3,1,1.0,57.16,58.31,78.07,51.84,1,2,2,5,10.0,72.17,47.89,0.89,0,80.64,6.77,0
S201296,7.96,5.14,3.1,1.0,63.66,4.07,0.87,5.74,89.62,0,2.6,55.72,60.57,63.95,52.77,3,3,0,6,6.04,39.06,64.55,1.26,0,67.93,7.74,0
S201297,5.01,6.77,0.78,7.23,47.76,3.27,4.33,3.35,33.2,3,3.6,40.11,87.87,42.04,49.08,0,5,2,4,10.0,48.52,42.06,2.07,2,55.82,10.0,1
S201298,3.7,6.63,0.33,7.21,44.78,4.17,5.63,6.21,85.99,2,1.1,71.04,50.34,94.79,63.46,1,4,0,4,5.18,14.29,36.77,1.59,0,41.82,6.35,1
S201299,9.2,5.07,0.72,7.08,50.18,1.07,0.26,4.91,55.58,1,3.6,72.74,58.31,63.94,52.72,2,0,0,5,6.22,21.68,51.5,4.73,1,93.92,7.06,0
S201300,5.73,7.1,2.05,1.65,70.43,1.46,0.14,3.78,68.9,0,1.9,82.71,70.86,61.89,57.22,1,3,0,3,5.41,33.98,55.04,4.87,0,69.96,7.7,1
S201301,4.7,7.49,0.04,8.15,67.76,5.22,2.93,6.86,52.57,1,14.3,22.83,77.94,55.04,47.6,0,3,1,3,6.62,26.72,31.11,1.44,3,92.21,8.07,0
S201302,7.27,11.19,1.99,7.04,32.83,1.49,0.04,7.77,69.76,3,9.0,48.73,54.23,56.61,57.67,1,2,1,4,2.94,61.11,59.33,7.51,0,73.63,5.22,0
S201303,6.49,4.61,1.36,4.27,24.23,1.04,3.17,7.87,59.85,0,2.0,61.4,39.06,32.47,38.59,0,5,1,4,7.02,47.72,65.43,4.41,3,91.5,9.06,0
S201304,5.36,6.51,1.69,7.99,52.44,1.55,0.45,2.91,63.45,3,2.7,89.49,55.89,43.4,41.91,2,3,1,3,4.01,60.89,39.76,4.19,2,76.88,6.93,1
S201305,5.82,3.92,0.46,6.97,73.64,2.51,5.73,3.36,58.82,3,2.5,82.36,46.41,49.74,30.97,0,1,1,5,4.45,29.1,40.58,1.56,0,70.15,8.5,0
S201306,6.53,9.35,0.01,7.89,52.46,0.99,2.63,6.07,52.86,1,34.2,61.06,64.88,67.83,82.83,0,0,1,4,4.9,46.57,40.07,9.43,1,70.63,7.59,1
S201307,6.4,7.55,0.13,3.5,13.13,1.45,2.82,8.78,71.92,0,11.4,56.28,44.99,52.48,44.7,1,2,0,4,3.19,33.46,75.27,5.22,0,83.74,10.0,0
S201308,7.36,8.05,0.41,3.03,55.53,6.59,2.82,3.61,53.77,2,8.5,52.24,39.55,67.2,59.56,0,1,0,2,4.4,62.32,63.54,1.22,0,73.35,5.98,0
S201309,5.81,7.76,2.39,6.12,38.55,3.86,0.12,4.81,56.65,3,7.5,43.15,64.53,40.88,54.49,0,1,1,6,2.48,75.4,55.18,2.01,0,68.25,7.05,1
S201310,5.82,11.05,0.87,3.74,23.12,0.54,0.48,6.36,33.71,4,4.2,50.51,75.92,69.23,15.74,0,1,2,2,9.5,64.52,65.95,20.32,2,67.25,5.2,1
S201311,7.14,5.76,0.99,5.95,41.24,3.64,8.0,8.16,41.32,2,12.2,61.59,56.69,77.37,76.82,3,1,0,7,2.49,37.44,59.31,1.58,1,66.28,4.31,1
S201312,6.74,7.25,3.05,2.79,48.69,0.45,1.62,4.39,74.74,0,1.1,0.0,79.73,46.79,78.89,2,3,0,3,6.35,44.71,64.09,15.96,1,58.58,10.0,0
S201313,7.83,7.93,0.61,2.01,53.94,4.19,5.31,5.74,59.62,3,1.0,28.77,24.17,69.84,67.6,0,1,0,4,1.73,81.4,60.51,1.89,1,95.42,5.71,0
S201314,5.95,3.9,0.05,6.03,51.97,6.2,0.73,5.39,62.75,1,22.9,38.81,56.08,62.47,41.14,0,1,2,6,1.16,21.79,52.16,0.63,1,75.58,7.39,0
S201315,6.16,2.68,0.56,2.09,25.26,3.29,1.03,1.91,58.88,1,5.3,43.94,69.3,51.42,80.28,1,1,1,1,0.0,48.23,72.39,0.82,2,66.7,7.28,0
S201316,4.68,8.63,1.28,7.06,15.48,3.79,0.82,3.45,88.15,1,12.1,29.08,61.76,58.17,66.3,0,3,2,1,2.01,9.0,56.73,2.28,0,70.71,6.19,1
S201317,8.4,6.87,1.16,5.23,30.16,1.92,6.72,2.23,72.5,0,6.2,53.95,59.89,50.75,48.24,0,3,1,6,6.06,61.63,70.53,3.59,2,75.77,6.82,1
S201318,4.35,8.56,0.35,6.18,69.47,4.53,4.93,8.07,67.43,1,9.9,26.29,69.31,37.67,32.39,1,1,2,2,2.51,53.2,36.6,1.89,0,63.84,9.03,1
S201319,6.58,6.5,2.8,5.61,77.9,3.1,0.91,7.03,55.13,1,15.9,61.18,74.91,25.33,59.08,0,2,1,1,2.78,47.46,41.7,2.1,0,90.92,6.85,1
S201320,5.05,6.05,1.69,8.38,70.93,1.09,0.88,9.76,53.49,0,5.8,54.08,66.27,81.47,31.28,2,2,0,5,6.31,24.84,31.32,5.54,2,61.59,6.61,1
S201321,6.77,6.02,1.72,9.04,42.36,3.19,0.88,5.76,62.38,0,11.6,74.79,45.83,71.51,43.68,4,0,2,6,7.57,43.78,48.82,1.88,0,95.65,8.27,1
S201322,7.34,7.11,1.09,5.24,75.31,2.05,0.02,4.45,69.94,0,5.5,75.71,77.0,68.9,48.35,1,3,0,1,9.87,46.95,47.95,3.48,1,84.41,6.19,0
S201323,4.0,5.72,0.7,6.95,43.14,2.61,1.33,1.82,60.84,2,1.2,57.15,62.15,55.16,72.06,0,4,1,7,5.33,58.93,51.3,2.19,0,73.26,6.67,1
S201324,6.0,5.59,1.58,9.11,66.41,1.28,0.37,6.61,58.9,3,4.2,33.55,53.27,56.46,38.77,0,3,2,1,3.08,67.7,31.04,4.36,0,87.63,6.03,1
S201325,3.84,9.73,0.94,7.69,49.22,4.68,0.49,5.85,60.09,1,2.8,50.3,60.39,60.14,42.62,0,3,0,5,1.98,45.67,38.89,2.08,0,81.16,9.45,0
S201326,8.27,9.2,2.77,4.59,19.09,1.17,1.13,9.17,59.56,0,4.9,21.82,56.63,59.82,39.24,0,1,1,5,6.9,25.72,77.01,7.84,1,67.6,6.59,1
S201327,5.68,6.55,1.62,6.87,70.46,2.86,3.55,3.53,67.43,3,1.0,67.12,28.78,61.95,71.1,1,3,0,7,0.81,41.97,34.02,2.29,2,88.77,6.1,1
S201328,4.09,10.62,0.85,5.52,59.99,4.13,0.99,2.58,41.01,2,3.6,57.3,48.78,41.38,13.73,3,0,0,3,5.01,62.69,42.88,2.57,1,83.86,5.79,1
S201329,5.32,5.37,0.06,3.98,44.15,2.31,0.1,5.45,70.27,3,14.2,50.66,54.65,36.8,32.62,1,2,1,4,7.45,34.93,57.62,2.32,1,71.96,8.9,0
S201330,8.14,8.9,0.96,5.47,50.62,0.83,0.83,3.33,45.79,1,1.0,59.92,56.77,64.45,36.95,1,3,0,4,4.63,64.51,60.15,10.71,0,34.03,5.5,1
S201331,8.38,9.3,0.56,4.7,19.76,2.49,3.18,4.77,75.89,0,3.4,81.73,59.72,62.27,85.22,1,2,0,4,6.63,16.49,70.51,3.74,0,100.0,9.07,0
S201332,8.08,6.0,1.17,4.47,80.99,2.91,7.37,5.09,51.34,5,2.2,52.13,82.26,51.41,70.04,2,6,0,5,8.45,38.94,46.98,2.06,0,54.84,6.43,1
S201333,5.2,10.75,1.59,9.42,32.98,3.92,1.22,5.12,94.31,2,2.3,52.69,100.0,67.69,52.62,0,1,1,0,5.42,90.68,44.68,2.74,1,53.47,7.0,1
S201334,6.09,3.86,0.18,5.23,41.97,5.5,0.54,7.13,69.37,0,6.1,41.92,64.59,64.16,42.5,1,1,0,1,4.91,43.7,59.46,0.7,0,72.93,7.82,0
S201335,8.59,6.53,0.19,4.91,0.0,3.17,2.45,5.41,96.88,0,1.0,14.6,90.96,45.71,37.17,1,4,2,3,2.29,61.29,81.97,2.06,1,82.5,5.91,0
S201336,5.28,5.27,0.32,8.18,28.48,2.97,0.08,4.02,63.83,2,1.0,36.26,68.2,78.6,32.06,4,4,1,4,8.11,62.12,42.16,1.78,0,76.48,5.53,1
S201337,5.83,10.19,0.52,4.28,54.82,1.31,1.3,3.74,44.43,2,5.0,61.14,88.36,51.67,63.72,1,5,0,5,6.62,60.63,52.79,7.8,0,71.57,5.66,1
S201338,4.96,7.49,1.5,6.31,48.66,2.77,0.53,3.07,18.96,2,4.0,23.48,84.66,66.77,27.23,1,4,1,3,8.05,15.42,51.13,2.71,1,66.29,6.01,1
S201339,4.67,4.8,3.13,5.79,62.14,1.38,2.0,2.55,42.95,3,1.5,79.67,49.45,49.09,74.12,1,3,2,2,5.04,96.49,52.63,3.48,1,77.07,7.58,1
S201340,7.99,6.29,0.09,4.18,58.26,2.55,0.45,8.25,76.84,3,3.8,44.05,58.34,63.57,69.38,1,7,1,5,10.0,23.24,63.58,2.47,2,92.06,7.17,0
S201341,7.18,4.84,0.67,6.59,26.44,3.27,0.33,5.58,89.34,1,7.4,50.31,39.5,58.32,69.97,2,3,0,3,3.81,11.69,55.95,1.48,1,73.95,6.75,1
S201342,6.93,9.31,8.0,9.94,24.65,2.18,5.02,4.21,51.99,3,1.3,78.87,62.0,49.46,70.57,0,6,0,3,7.97,40.39,47.93,4.27,0,74.8,4.75,1
S201343,7.11,4.7,1.28,2.02,59.47,1.1,6.82,3.24,68.55,1,1.5,63.2,60.59,47.69,50.07,0,2,0,2,6.49,71.3,56.12,4.29,1,85.43,9.13,0
S201344,7.73,4.71,0.61,4.02,9.92,2.83,3.42,8.0,82.21,0,1.0,15.92,50.58,31.03,76.07,4,1,2,6,2.73,44.35,80.47,1.67,1,78.11,7.63,0
S201345,8.41,7.59,1.33,1.0,61.34,0.25,0.24,4.05,68.16,3,6.3,60.7,81.88,72.47,59.46,0,3,0,10,4.44,44.4,66.86,30.15,0,59.38,7.33,1
S201346,6.29,5.44,0.0,5.26,47.3,3.86,0.59,5.43,73.04,4,1.9,26.43,66.41,89.53,63.43,0,1,2,3,5.22,64.2,54.01,1.41,0,69.97,4.43,0
S201347,5.82,7.2,0.33,1.12,33.58,1.3,3.14,6.28,62.38,1,2.1,77.5,58.95,65.66,63.18,0,4,0,3,1.22,42.19,67.85,5.55,2,94.62,7.69,0
S201348,4.87,6.93,0.41,3.73,71.39,6.23,2.04,5.26,100.0,4,7.6,68.39,53.19,76.61,33.73,1,0,0,4,7.75,46.51,43.69,1.11,2,54.04,7.74,0
S201349,7.82,5.36,0.25,5.85,30.6,2.56,2.14,6.88,78.87,4,5.0,82.67,65.28,71.54,60.72,0,1,0,4,1.96,27.02,65.8,2.09,0,86.81,7.81,0
S201350,5.58,2.92,2.5,10.0,16.93,2.0,2.8,2.26,73.42,2,11.6,67.48,18.4,46.76,37.79,0,3,0,4,7.68,44.55,52.92,1.46,0,92.15,7.99,0
S201351,4.21,1.36,0.6,8.24,53.16,3.57,0.02,5.53,75.64,1,9.8,51.61,79.68,66.86,31.06,1,1,1,7,6.19,79.39,30.03,0.38,0,81.77,7.22,0
S201352,5.92,6.88,0.54,6.97,33.17,1.9,1.53,6.35,77.11,1,4.0,76.57,51.31,46.96,45.16,1,2,2,4,2.94,24.0,49.06,3.63,0,71.29,7.01,1
S201353,6.33,5.78,2.36,7.33,61.37,1.69,2.98,1.0,59.51,5,1.0,36.3,64.52,46.27,58.61,0,2,0,4,6.77,33.18,46.04,3.41,1,55.21,8.13,1
S201354,7.47,7.87,0.51,3.71,60.14,3.85,0.71,7.23,66.53,1,12.2,62.17,86.78,75.85,70.43,2,2,0,3,6.34,80.96,51.9,2.04,1,69.98,5.68,0
S201355,7.71,7.0,3.09,6.86,41.97,3.42,1.69,6.18,30.55,2,1.0,43.43,71.65,34.31,64.09,2,4,0,5,5.84,23.2,54.13,2.05,0,82.24,5.03,1
S201356,5.28,6.37,0.45,7.61,47.23,2.34,5.74,4.43,34.72,5,1.0,50.49,77.54,71.8,38.89,2,4,1,3,5.18,88.05,43.47,2.72,1,66.97,6.96,0
S201357,5.18,5.69,0.34,3.46,52.61,0.06,1.13,4.5,90.76,3,4.7,49.27,56.77,59.28,35.5,2,0,1,2,3.78,45.34,56.46,22.77,0,65.69,8.83,1
S201358,5.84,8.65,1.98,8.39,62.84,0.88,0.14,4.11,59.47,1,16.7,70.74,74.23,78.45,44.25,1,3,1,1,8.79,36.39,37.62,9.79,1,73.43,6.25,1
S201359,4.6,0.0,0.19,3.65,52.32,2.29,0.57,7.77,44.2,6,2.7,49.45,75.03,64.43,55.39,3,0,1,4,6.77,49.87,48.67,0.0,0,66.72,7.28,0
S201360,6.15,2.34,0.22,6.8,63.57,1.08,0.58,6.03,66.49,2,18.0,52.09,62.36,60.46,41.17,0,2,0,6,3.45,62.27,49.33,2.16,1,76.8,6.78,1
S201361,6.95,7.63,0.89,4.46,71.81,2.46,0.16,6.02,65.54,2,1.0,74.03,72.08,54.31,42.1,0,0,0,7,4.03,69.56,49.14,3.11,0,91.49,7.47,0
S201362,6.36,6.18,1.14,1.48,60.69,2.87,1.12,3.58,61.99,1,17.3,58.87,53.06,66.43,50.23,3,3,0,4,2.87,74.13,53.97,2.15,0,65.75,8.66,0
S201363,4.04,4.52,0.52,2.28,40.98,3.07,0.14,6.94,43.22,0,1.0,69.13,45.01,47.09,67.57,0,3,0,3,2.71,73.86,59.76,1.47,0,68.06,6.49,0
S201364,4.63,5.24,0.49,7.6,18.34,2.45,0.36,9.23,86.69,1,5.7,63.12,59.85,41.29,34.02,1,5,1,5,4.6,44.6,55.64,2.13,0,81.19,9.03,1
S201365,8.1,8.46,2.13,6.01,29.05,3.22,0.45,7.35,79.85,5,7.2,39.01,47.71,36.84,57.88,4,3,0,3,6.47,88.78,59.4,2.62,1,89.31,5.99,0
S201366,4.88,7.53,4.41,7.61,31.17,2.5,0.68,7.5,73.72,1,13.0,62.7,45.37,69.12,37.05,0,4,1,5,7.56,45.95,51.58,3.02,1,61.99,7.49,1
S201367,7.33,6.85,5.74,4.81,12.81,6.46,1.15,2.69,55.47,0,1.0,58.88,97.3,53.14,52.03,2,1,0,2,2.51,20.04,71.81,1.06,1,87.41,8.28,0
S201368,7.18,2.25,1.73,5.24,60.21,5.23,0.45,6.58,84.93,2,2.9,66.64,43.65,57.4,86.11,1,2,1,2,6.76,28.94,44.09,0.43,1,69.81,6.07,0
S201369,5.85,8.89,0.01,1.61,58.81,5.03,0.63,5.36,62.89,1,11.3,74.23,53.41,85.75,76.31,3,0,0,2,4.14,70.24,55.92,1.77,1,72.0,6.41,0
S201370,4.9,4.77,2.35,5.4,54.94,1.41,3.31,4.4,69.84,2,2.6,88.65,39.9,70.31,47.89,2,4,0,8,0.79,31.55,41.02,3.4,3,69.08,6.54,1
S201371,6.59,7.93,1.49,3.2,56.07,2.08,1.75,9.5,54.82,1,13.4,31.93,81.99,66.49,62.21,1,2,0,6,6.44,82.05,65.55,3.82,0,70.51,6.35,0
S201372,5.06,7.72,2.53,5.67,68.75,4.59,2.45,5.87,84.75,1,5.2,63.7,97.03,51.44,47.44,1,1,0,5,3.84,53.38,48.11,1.68,0,84.1,6.48,1
S201373,6.05,2.37,0.65,6.25,56.91,4.01,7.85,4.07,35.13,5,1.0,55.75,77.41,34.16,72.34,0,2,2,0,4.07,48.88,40.98,0.59,1,67.27,3.61,1
S201374,6.45,3.12,2.46,4.93,55.42,1.98,5.63,6.22,40.98,1,15.0,39.77,37.78,62.85,55.35,0,2,0,4,8.38,78.75,44.34,1.57,2,74.12,7.29,0
S201375,5.3,2.74,0.1,9.48,63.42,3.46,0.23,6.56,100.0,3,9.8,53.53,41.19,85.29,49.42,0,3,1,4,5.37,69.33,28.71,0.79,0,62.98,7.46,1
S201376,5.98,4.01,0.44,5.97,25.11,5.19,0.49,10.0,52.15,0,18.4,57.76,60.77,48.89,64.84,1,3,0,3,4.45,79.08,51.1,0.77,1,76.23,8.44,0
S201377,5.87,8.06,0.16,4.18,0.0,2.39,0.39,3.27,38.57,2,9.3,48.55,54.64,51.94,88.92,2,3,1,6,8.94,40.07,69.47,3.37,0,87.02,8.1,1
S201378,4.57,9.32,0.57,7.14,14.21,2.28,5.74,8.89,19.75,3,5.8,37.85,78.87,40.15,42.66,0,4,1,4,9.47,42.51,57.6,4.09,0,75.47,4.06,0
S201379,6.03,7.1,0.38,5.81,45.94,2.29,4.34,3.73,61.36,6,21.0,100.0,86.97,67.76,67.58,0,2,0,0,5.47,51.69,59.09,3.09,0,52.58,8.91,0
S201380,5.41,5.99,6.36,4.18,34.07,2.21,0.58,2.23,86.04,2,2.3,73.93,58.31,52.63,67.27,1,4,0,5,10.0,12.59,61.19,2.71,0,37.13,6.86,1
S201381,3.75,4.68,0.44,3.96,55.79,5.93,1.06,8.88,20.62,2,11.6,37.3,71.68,37.36,73.98,0,1,1,6,2.53,33.95,46.07,0.79,0,83.03,7.97,1
S201382,5.83,10.18,1.59,5.86,76.69,1.89,0.92,4.88,58.22,4,4.0,82.76,60.87,57.05,23.68,2,1,0,6,6.92,32.02,39.2,5.4,1,81.83,6.86,1
S201383,5.9,6.44,0.95,2.49,55.86,4.65,0.52,4.57,29.05,1,1.0,54.02,74.58,92.47,42.93,0,0,1,4,1.72,32.96,59.78,1.39,0,69.8,6.52,0
S201384,5.45,4.41,1.29,4.43,35.94,1.41,1.0,2.68,21.57,1,15.1,13.38,54.73,74.82,68.62,1,1,1,4,4.11,47.48,63.68,3.13,0,94.25,8.62,0
S201385,3.41,6.53,0.13,6.26,48.53,2.32,0.97,4.59,75.85,1,12.7,19.02,48.87,84.07,44.76,1,1,0,5,9.27,39.41,44.96,2.82,0,76.75,5.87,0
S201386,7.39,7.86,0.06,8.9,45.92,0.87,0.81,2.21,70.77,0,1.1,84.06,66.48,100.0,75.23,0,0,0,8,5.85,94.22,42.62,9.03,1,56.89,8.93,1
