student_id,previous_cgpa,previous_semester_percentage,previous_internal_marks,previous_assignment_score,previous_midterm_score,attendance_percentage,study_hours_per_week,assignment_completion_rate,practice_questions,previous_subject_avg,weak_subject_count,lowest_subject_score,subject_consistency,sleep_hours,extracurricular_hours,stress_level,backlogs,failed_subjects,next_semester_marks,performance_band
S102138,5.39,47.55,36.23,89.76,85.34,84.84,16.88,84.13,138,60.31,2,49.1,79.33,6.12,18.12,8.41,0,0,47.59,At_Risk
S102139,5.09,52.34,25.4,36.02,88.53,87.9,13.92,51.03,40,90.25,2,75.4,69.88,6.18,3.92,7.64,0,0,33.52,At_Risk
S102140,7.21,63.91,27.83,53.5,60.55,81.0,19.95,79.38,307,99.9,4,94.55,95.65,7.56,4.02,2.13,0,1,75.73,Good
S102141,7.07,62.69,29.17,74.47,86.49,68.16,17.58,49.85,73,85.52,2,69.87,69.86,6.92,17.45,7.21,0,0,55.66,Average
S102142,7.23,70.11,19.84,63.99,50.98,63.68,18.07,73.55,1,69.76,0,43.03,60.07,5.22,4.62,5.35,1,0,41.95,At_Risk
S102143,7.32,75.92,44.02,68.88,50.73,81.52,13.39,87.67,135,65.61,1,31.35,50.93,9.48,3.24,3.9,0,0,65.29,Average
S102144,6.71,62.33,35.88,70.62,82.16,69.31,11.0,75.72,94,46.67,2,41.27,83.98,4.02,4.86,4.76,0,0,49.94,At_Risk
S102145,8.94,87.7,25.92,52.14,40.24,90.65,11.26,97.23,24,72.62,1,64.16,84.54,4.61,12.68,4.99,1,0,60.14,Average
S102146,4.92,51.02,46.65,53.26,64.98,59.89,18.64,83.29,25,73.15,1,52.39,73.14,8.02,0.73,7.38,0,0,52.26,Average
S102147,5.92,59.53,29.39,73.48,84.99,93.81,19.55,63.15,54,53.18,0,44.91,85.28,7.81,4.49,3.42,0,0,63.98,Average
S102148,6.87,63.98,37.0,60.01,86.07,78.61,0.0,93.51,88,69.01,0,62.5,79.26,7.02,0.04,2.91,1,0,55.53,Average
S102149,4.86,41.84,28.4,90.12,58.08,67.75,9.87,90.34,184,82.56,2,64.25,75.39,6.1,6.01,4.13,2,1,26.13,At_Risk
S102150,6.77,55.5,18.85,67.12,81.15,72.58,3.87,99.11,15,64.33,6,37.77,57.87,6.12,7.65,6.94,1,1,21.61,At_Risk
S102151,9.16,85.97,24.08,80.78,47.03,75.56,11.51,90.65,15,72.23,2,57.17,76.47,6.67,2.12,3.23,1,0,57.54,Average
S102152,7.03,71.47,31.41,76.64,54.32,83.8,10.78,87.05,96,41.88,0,30.74,81.79,6.28,2.1,1.57,0,1,57.99,Average
S102153,7.3,64.85,42.19,60.98,68.69,63.3,16.04,65.11,31,91.69,1,76.31,80.78,5.64,0.73,4.6,0,0,57.94,Average
S102154,5.36,53.74,37.77,40.3,71.04,66.49,16.3,92.2,21,59.3,1,50.39,93.65,6.82,0.2,4.43,2,0,39.77,At_Risk
S102155,6.2,55.09,36.12,87.77,48.24,74.11,29.91,77.8,93,64.15,1,48.49,85.51,7.43,0.22,6.22,1,0,57.04,Average
S102156,6.51,62.29,18.92,55.32,94.8,77.63,17.61,92.09,5,71.37,5,51.58,77.23,6.27,6.88,6.86,1,0,32.55,At_Risk
S102157,6.59,65.41,45.16,63.94,34.96,86.6,19.47,100.0,61,65.45,1,58.24,88.2,7.52,2.01,6.05,0,0,56.92,Average
S102158,8.67,79.69,36.79,67.74,65.87,81.23,5.05,98.1,82,80.49,3,59.03,68.76,6.25,6.41,7.58,1,1,41.17,At_Risk
S102159,7.72,74.07,34.04,69.23,68.13,73.33,12.66,84.28,39,63.19,0,42.91,59.78,5.98,1.68,6.39,2,0,44.72,At_Risk
S102160,5.56,51.11,44.06,84.43,37.05,80.84,7.42,81.1,11,60.47,1,43.14,77.5,6.67,0.46,5.76,1,0,45.18,At_Risk
S102161,7.32,72.36,44.98,70.09,86.19,79.99,19.19,73.73,34,80.13,0,56.48,62.08,8.37,9.73,2.86,0,0,81.16,Good
S102162,7.65,73.59,44.24,68.09,53.15,74.98,15.36,45.16,45,32.49,1,0.0,43.71,7.14,1.15,4.21,0,0,51.23,Average
S102163,8.48,80.81,33.02,85.28,66.58,79.4,12.61,80.7,14,51.42,1,36.65,84.58,8.19,0.32,2.66,0,1,61.79,Average
S102164,9.05,92.25,26.97,79.01,70.25,52.18,21.7,72.29,54,71.15,2,62.17,90.14,6.13,0.89,3.19,0,0,71.93,Good
S102165,5.68,56.61,42.91,58.97,41.73,89.2,13.11,84.83,33,78.89,2,51.71,66.89,6.91,8.44,6.22,3,0,26.16,At_Risk
S102166,5.95,53.72,24.08,52.79,47.85,84.58,24.34,72.26,184,79.01,1,66.5,77.99,7.68,12.41,3.92,0,0,48.77,At_Risk
S102167,5.37,50.63,50.0,57.64,90.01,95.98,24.24,83.32,5,32.6,2,5.86,51.42,5.73,6.45,7.78,0,2,25.2,At_Risk
S102168,6.7,63.31,35.22,69.26,63.95,68.27,10.55,98.69,89,61.71,1,48.39,87.27,4.67,1.69,9.92,1,0,41.07,At_Risk
S102169,7.61,72.58,26.51,51.31,21.85,84.86,22.79,82.35,102,79.19,0,70.74,84.05,5.0,3.22,2.96,0,0,60.01,Average
S102170,8.28,88.79,25.15,71.36,60.17,55.14,15.79,63.71,75,54.65,1,19.65,46.94,7.58,2.6,8.46,0,0,53.75,Average
S102171,6.9,67.05,24.78,68.06,64.47,56.81,12.24,67.54,59,64.97,0,44.06,75.95,8.88,0.77,6.03,0,1,43.55,At_Risk
S102172,6.58,54.41,36.12,31.86,68.51,75.16,17.76,90.36,10,73.86,1,46.56,53.31,5.65,6.16,5.73,1,0,40.74,At_Risk
S102173,7.2,66.2,34.95,48.91,33.02,71.06,3.89,91.3,75,68.85,1,52.09,72.73,5.54,6.73,2.89,0,1,53.23,Average
S102174,5.91,48.46,25.11,26.71,64.53,90.57,11.23,66.92,67,74.36,1,42.12,46.78,9.41,0.86,1.67,1,0,25.13,At_Risk
S102175,9.72,90.99,32.15,64.84,51.68,92.14,17.92,79.57,195,65.75,1,35.94,54.99,3.77,5.19,5.08,1,2,58.66,Average
S102176,4.91,38.7,24.06,86.11,68.54,93.4,12.94,93.57,165,75.4,2,45.5,54.43,7.94,2.75,7.84,1,0,38.44,At_Risk
S102177,7.24,65.3,39.71,41.64,73.1,85.17,22.55,100.0,2,75.71,1,46.77,51.67,7.11,0.69,5.09,1,0,48.85,At_Risk
S102178,9.63,85.41,34.56,50.17,71.4,85.69,12.21,82.65,334,79.1,0,56.62,65.18,6.59,5.45,3.24,0,0,93.73,Excellent
S102179,7.01,68.12,31.97,67.54,87.46,62.62,15.85,77.01,67,78.36,2,58.9,73.53,6.66,1.19,5.43,2,0,45.84,At_Risk
S102180,6.75,64.16,24.7,54.04,100.0,94.8,14.16,74.45,198,80.81,3,56.24,66.58,6.74,6.25,7.63,0,0,50.88,Average
S102181,6.54,63.3,32.6,53.97,46.86,93.02,4.3,82.15,13,61.72,4,48.48,81.34,6.66,16.33,6.2,0,0,25.66,At_Risk
S102182,6.77,63.85,31.68,78.12,58.89,61.44,17.75,100.0,95,62.45,0,41.28,69.48,7.07,1.43,5.32,0,0,48.38,At_Risk
S102183,8.78,77.88,37.54,62.58,76.89,83.62,17.22,82.17,49,70.63,2,45.24,54.29,4.36,1.62,6.72,1,0,55.05,Average
S102184,4.12,41.24,36.34,47.7,62.97,71.44,1.47,87.5,12,93.47,1,85.72,94.44,6.78,3.34,5.34,1,0,21.98,At_Risk
S102185,8.99,93.13,41.34,38.68,21.44,100.0,0.0,58.68,2,70.97,1,43.28,59.99,7.5,8.89,8.54,1,1,48.19,At_Risk
S102186,5.15,50.55,31.12,100.0,61.92,66.3,11.83,100.0,19,89.81,2,70.61,77.76,5.26,9.18,5.9,1,0,43.87,At_Risk
S102187,6.65,61.5,20.12,86.92,84.75,79.11,23.61,100.0,1,87.24,0,53.73,52.26,7.43,2.29,4.08,0,1,57.47,Average
S102188,6.44,55.49,42.93,63.23,42.68,80.23,34.03,75.56,73,87.33,2,53.85,54.54,6.73,1.94,7.43,0,0,60.92,Average
S102189,7.77,70.14,27.51,71.32,68.53,77.36,2.25,78.43,29,86.36,2,56.06,49.17,5.6,0.98,1.0,1,0,45.64,At_Risk
S102190,4.92,48.58,26.14,62.67,34.48,100.0,26.38,97.69,246,55.67,0,37.93,88.02,5.31,6.17,6.22,1,0,50.8,Average
S102191,7.6,76.5,34.66,77.66,78.92,98.29,23.13,100.0,80,53.98,2,27.37,61.35,5.19,5.51,4.5,1,0,72.18,Good
S102192,9.63,92.54,37.42,57.19,68.87,58.35,10.92,54.73,115,56.81,2,45.14,87.1,4.92,0.62,3.92,0,1,57.06,Average
S102193,5.23,52.86,30.75,61.85,55.91,83.85,28.18,72.34,45,82.54,2,68.88,82.38,5.03,3.0,3.99,2,0,44.72,At_Risk
S102194,7.25,71.67,30.69,76.83,58.31,77.86,18.27,74.09,25,64.41,1,42.09,62.75,6.29,1.14,3.88,1,0,64.73,Average
S102195,6.14,60.35,31.87,91.81,41.01,88.01,13.41,95.61,117,60.18,2,33.02,55.17,7.2,4.94,4.41,0,0,46.94,At_Risk
S102196,7.55,69.13,46.33,81.12,81.12,80.55,2.54,85.32,50,62.58,0,44.48,73.01,9.19,2.17,3.82,0,1,56.67,Average
S102197,7.02,67.43,34.98,88.51,52.21,68.25,15.71,72.31,500,74.22,2,45.56,52.05,6.63,0.38,5.0,1,0,54.58,Average
S102198,6.17,55.18,27.26,65.31,73.0,65.55,15.29,58.76,72,58.95,3,34.84,72.69,4.56,2.48,5.55,0,0,34.26,At_Risk
S102199,7.63,72.59,27.34,60.65,49.61,73.18,30.67,95.17,149,61.49,1,46.99,80.18,7.49,2.63,3.19,0,0,75.22,Good
S102200,9.35,90.11,32.99,40.92,100.0,76.55,8.38,77.0,27,64.04,1,50.64,86.37,6.89,1.97,3.48,0,0,64.43,Average
S102201,6.75,70.86,36.9,71.08,89.95,80.33,8.8,62.63,45,79.93,3,51.26,60.51,7.13,8.81,4.9,1,0,58.31,Average
S102202,7.94,70.15,38.87,75.69,98.18,71.15,11.43,69.77,22,46.44,0,32.44,74.02,6.96,0.74,6.51,1,0,56.61,Average
S102203,5.32,52.45,35.99,65.5,100.0,98.47,33.59,73.62,119,68.12,2,56.73,85.21,5.7,1.39,2.82,0,2,60.83,Average
S102204,5.76,60.61,28.27,58.35,54.85,84.42,6.95,75.5,113,63.36,2,36.48,64.23,7.17,2.03,3.25,1,0,28.62,At_Risk
S102205,7.61,75.37,31.61,88.65,50.85,88.49,24.16,64.33,72,75.9,2,68.96,89.83,7.23,4.1,6.07,1,0,72.92,Good
S102206,8.93,88.16,40.87,79.48,97.42,76.34,4.1,64.52,105,66.52,2,55.16,78.27,5.22,1.98,4.93,0,1,71.18,Good
S102207,7.46,73.24,25.83,89.69,62.74,65.55,18.02,100.0,36,56.07,0,25.61,52.06,6.75,6.77,3.81,1,0,52.98,Average
S102208,6.59,67.83,31.27,55.7,78.33,88.6,15.69,84.94,168,95.94,0,74.66,69.81,6.46,12.87,3.85,0,0,67.61,Average
S102209,7.0,62.14,39.78,59.38,55.07,66.08,10.1,73.83,204,88.08,2,66.78,72.5,7.23,5.21,3.9,1,0,51.95,Average
S102210,5.37,45.51,42.0,88.05,55.33,53.73,20.02,85.67,87,71.2,0,40.45,47.88,9.37,0.05,3.41,1,0,43.73,At_Risk
S102211,7.79,73.94,33.46,69.29,78.28,84.79,9.4,82.41,37,75.7,1,46.32,52.61,6.32,18.95,7.71,1,1,48.57,At_Risk
S102212,8.15,68.75,31.71,61.46,33.48,68.93,3.69,66.4,148,58.32,2,29.74,61.31,8.12,5.85,4.07,1,0,35.52,At_Risk
S102213,6.41,65.84,24.42,62.51,77.53,73.99,12.82,51.27,315,70.71,0,55.05,70.72,5.04,5.69,4.34,0,0,60.05,Average
S102214,6.39,65.58,39.21,69.83,73.39,86.33,8.58,72.04,69,100.0,1,89.06,83.07,6.92,2.74,7.23,0,1,58.39,Average
S102215,7.35,68.05,45.55,85.04,56.52,66.84,16.81,77.26,86,84.12,2,62.74,67.45,6.67,0.06,3.84,1,1,58.29,Average
S102216,6.43,59.62,50.0,67.59,65.39,58.77,13.0,78.36,152,54.27,4,32.62,71.91,6.6,2.85,8.57,0,0,45.31,At_Risk
S102217,6.91,65.39,38.09,81.86,67.89,92.63,25.95,52.53,89,73.26,2,66.87,91.97,5.0,0.81,5.11,0,0,78.23,Good
S102218,9.73,92.64,34.59,77.01,68.79,77.3,12.77,100.0,18,69.06,2,51.46,73.12,8.4,4.49,8.04,0,0,70.24,Good
S102219,6.68,63.96,27.64,56.82,76.04,93.09,16.93,100.0,44,74.77,0,53.65,68.64,7.3,0.07,5.3,0,1,58.69,Average
S102220,6.53,64.31,19.97,56.81,51.96,85.51,6.86,86.67,76,91.17,2,71.57,71.67,6.51,2.38,7.58,0,0,41.16,At_Risk
S102221,6.16,57.81,36.42,63.25,100.0,85.87,12.01,80.38,50,56.17,1,21.69,49.02,5.73,7.11,8.51,2,1,32.0,At_Risk
S102222,7.97,79.46,50.0,49.95,61.71,79.96,8.62,71.53,91,65.38,2,54.02,88.14,6.98,15.5,6.26,0,1,69.94,Average
S102223,6.76,66.05,45.17,62.29,62.91,79.95,23.29,88.68,26,53.39,0,43.67,89.2,7.63,15.61,4.54,0,0,77.32,Good
S102224,6.16,56.05,43.93,92.7,96.12,91.61,9.7,78.24,14,70.79,2,39.33,53.2,6.17,10.43,4.07,2,0,46.01,At_Risk
S102225,8.72,88.16,36.96,69.53,35.74,87.77,10.45,98.78,2,69.4,1,36.32,55.61,6.52,2.44,6.41,0,0,62.28,Average
S102226,8.85,78.6,37.88,58.5,95.95,70.93,17.09,93.71,3,95.08,1,64.27,65.1,6.81,3.85,5.69,0,0,78.32,Good
S102227,6.22,58.72,15.61,98.74,66.5,83.92,10.0,67.24,35,56.93,0,24.94,56.5,5.28,0.19,4.01,0,0,36.13,At_Risk
S102228,4.57,47.32,41.1,56.04,56.52,70.57,24.87,69.68,2,79.78,1,59.83,68.45,4.58,2.71,7.75,0,1,31.91,At_Risk
S102229,8.31,76.05,30.37,55.57,47.09,74.25,28.7,94.54,25,33.93,0,2.33,45.67,5.57,6.62,5.17,1,1,36.45,At_Risk
S102230,6.11,59.28,29.39,88.44,44.69,84.82,8.72,90.42,58,93.13,1,73.21,67.14,5.28,0.4,2.46,0,2,49.41,At_Risk
S102231,8.03,78.44,32.41,79.92,59.53,70.39,20.92,63.3,109,68.38,1,51.74,75.24,6.65,1.71,5.31,1,0,67.05,Average
S102232,4.44,38.73,32.14,68.05,69.45,79.77,9.09,73.14,71,69.81,2,59.41,95.66,7.71,2.85,5.01,0,1,30.32,At_Risk
S102233,8.16,77.23,29.26,82.48,74.96,82.56,12.5,77.69,61,65.1,0,37.2,56.34,6.57,3.19,6.57,0,1,55.13,Average
S102234,5.43,50.92,35.11,74.51,69.26,73.93,19.83,79.45,22,74.16,1,51.4,73.7,5.59,2.83,1.0,2,0,49.33,At_Risk
S102235,7.95,73.32,30.53,52.21,56.84,86.64,15.98,78.92,1,60.27,3,44.33,77.51,5.58,3.7,2.12,1,0,52.09,Average
S102236,7.02,75.88,35.8,34.04,86.43,72.73,16.16,93.49,11,69.87,0,64.0,88.53,6.03,6.48,8.55,2,0,51.87,Average
S102237,5.76,51.67,23.1,61.49,100.0,89.31,22.69,82.19,321,85.53,2,60.4,57.04,8.17,8.19,5.43,0,1,62.25,Average
S102238,6.47,65.49,33.29,86.27,88.91,79.57,22.64,81.21,210,62.93,2,36.89,60.03,5.19,1.23,5.11,1,0,48.91,At_Risk
S102239,7.89,73.4,26.23,63.57,59.25,80.07,15.36,68.65,30,64.06,2,56.72,85.29,6.5,4.18,6.53,0,0,44.4,At_Risk
S102240,7.14,63.46,29.87,76.9,73.03,67.21,10.56,82.51,31,64.35,1,42.2,62.79,5.95,4.98,3.42,1,0,47.49,At_Risk
S102241,7.76,74.13,36.15,72.77,74.06,75.18,15.01,79.57,178,80.45,1,63.96,68.71,6.87,1.23,4.93,1,0,75.4,Good
S102242,9.57,93.51,22.17,44.6,90.66,80.34,7.94,72.8,7,66.03,1,41.31,60.08,5.98,2.52,5.46,0,0,62.96,Average
S102243,4.97,50.86,28.42,63.9,59.59,90.29,20.5,62.74,15,62.21,2,46.65,72.6,6.5,2.17,3.2,1,0,28.69,At_Risk
S102244,9.1,92.72,39.55,75.38,49.56,74.14,13.68,99.15,10,70.33,0,43.49,58.94,4.63,1.54,4.38,0,0,73.79,Good
S102245,7.14,79.57,23.69,58.19,83.14,90.25,7.26,100.0,164,81.82,1,72.88,86.42,4.86,4.15,1.9,0,0,73.77,Good
S102246,5.83,56.4,49.22,64.56,71.5,68.93,24.39,83.67,1,51.05,2,38.04,76.04,6.2,0.86,7.96,0,1,30.59,At_Risk
S102247,5.27,47.42,44.64,75.88,47.26,82.01,14.9,100.0,1,77.72,1,52.99,60.6,5.98,3.29,3.55,0,0,41.28,At_Risk
S102248,6.75,65.98,31.04,71.09,76.29,71.92,9.76,83.44,134,72.59,1,43.24,55.08,6.35,2.72,3.99,1,0,53.25,Average
S102249,8.2,76.82,28.7,85.7,94.41,96.53,23.0,59.2,81,73.16,2,45.17,60.99,6.45,1.28,7.84,0,0,65.15,Average
S102250,6.83,68.63,36.62,75.76,53.9,94.36,23.8,84.5,66,68.24,0,49.77,76.8,7.23,0.61,5.79,3,0,44.03,At_Risk
S102251,8.96,79.97,23.42,55.66,50.74,81.43,1.79,74.91,205,68.41,0,54.35,77.67,5.74,5.03,5.25,0,0,62.06,Average
S102252,5.11,58.05,18.98,62.84,65.48,71.58,22.75,87.14,53,77.15,3,59.59,73.11,5.47,3.76,4.73,1,0,43.81,At_Risk
S102253,6.98,69.77,31.33,70.3,75.88,59.8,16.1,100.0,50,47.86,2,29.5,67.44,8.32,1.23,5.78,0,0,58.46,Average
S102254,5.37,44.3,33.93,90.08,63.8,82.54,21.8,72.4,44,57.49,4,49.03,86.3,7.54,0.2,2.89,1,1,38.75,At_Risk
S102255,7.47,68.15,35.76,62.9,83.15,80.49,14.52,85.81,84,46.05,1,34.77,77.39,6.92,8.24,9.05,0,1,46.76,At_Risk
S102256,8.15,80.72,30.08,44.01,69.17,88.3,17.65,92.92,31,91.55,0,80.09,85.58,6.55,5.19,3.08,0,0,80.32,Good
S102257,6.45,66.01,45.19,76.61,81.19,60.4,12.87,100.0,88,84.37,2,71.24,74.32,8.49,5.63,5.04,0,0,61.98,Average
S102258,3.61,35.0,23.04,58.67,53.47,79.7,21.95,94.79,97,39.76,0,19.76,71.24,6.42,8.53,2.56,0,0,33.04,At_Risk
S102259,7.26,71.81,25.89,50.72,45.36,83.15,10.3,63.28,19,72.71,2,60.38,78.51,7.26,1.23,8.85,1,0,26.63,At_Risk
S102260,7.57,64.1,38.89,70.28,59.56,67.18,22.18,63.26,72,65.15,1,33.68,64.71,7.58,4.01,2.98,0,0,59.54,Average
S102261,7.53,71.14,25.71,84.59,43.46,79.4,16.25,91.47,104,75.73,2,43.26,54.36,8.42,9.73,3.71,1,1,43.4,At_Risk
S102262,8.61,86.21,25.4,61.39,71.55,69.28,20.3,74.23,260,72.35,4,37.75,50.89,8.21,3.76,7.05,0,1,57.27,Average
S102263,5.61,51.07,35.99,77.45,32.73,68.1,7.94,65.24,224,66.15,1,56.18,84.09,5.65,0.5,4.81,2,0,36.05,At_Risk
S102264,7.88,68.87,26.57,80.23,57.76,71.63,17.96,97.83,18,67.2,2,40.46,65.8,6.41,8.67,1.88,0,0,51.1,Average
S102265,8.55,81.81,33.94,81.88,60.42,74.81,18.73,74.45,69,81.23,4,49.81,53.7,6.16,2.13,5.65,0,0,53.02,Average
S102266,4.69,42.12,29.4,59.02,48.25,92.86,27.98,100.0,51,60.27,3,53.36,86.55,5.41,1.61,6.81,1,0,31.64,At_Risk
S102267,7.42,72.97,28.11,53.18,60.1,74.14,19.88,73.39,34,63.0,3,33.35,59.21,6.17,1.49,5.25,0,0,43.56,At_Risk
S102268,6.34,56.73,18.18,55.23,65.07,67.85,10.88,68.8,34,76.41,1,53.74,65.87,4.89,3.29,3.8,1,1,32.14,At_Risk
S102269,6.89,62.4,36.12,81.86,85.31,87.75,10.59,79.03,283,79.13,1,65.06,71.41,6.65,4.57,4.85,0,1,70.34,Good
S102270,7.45,62.71,25.02,80.01,48.35,90.33,20.33,91.37,3,71.81,1,49.24,61.32,3.22,1.12,6.9,0,0,42.67,At_Risk
S102271,6.37,61.16,33.65,55.64,70.72,87.83,11.22,84.39,153,61.75,5,40.63,74.67,7.21,4.29,9.18,0,0,50.94,Average
S102272,6.12,57.51,30.9,100.0,73.89,94.43,11.36,100.0,48,46.28,1,18.52,56.83,5.18,3.91,4.82,0,2,49.08,At_Risk
S102273,7.04,62.17,33.35,53.85,64.66,80.31,8.99,82.57,67,46.81,0,35.8,87.24,5.09,5.92,5.27,1,0,46.4,At_Risk
S102274,5.59,53.85,33.8,84.99,57.03,79.87,15.93,77.35,108,65.35,2,54.04,76.55,7.47,0.27,7.4,1,0,42.5,At_Risk
S102275,5.59,57.2,36.55,92.79,46.78,69.55,16.53,100.0,49,70.16,1,62.59,93.76,6.27,8.38,6.72,0,1,45.27,At_Risk
S102276,7.88,74.03,29.18,71.65,95.38,94.79,12.72,88.93,349,63.41,1,40.86,56.63,6.02,4.34,7.39,0,2,52.46,Average
S102277,5.51,53.39,44.94,58.45,66.16,76.89,26.87,73.8,162,54.33,3,27.55,51.96,5.33,8.29,4.3,1,1,48.78,At_Risk
S102278,7.87,75.82,20.22,58.78,59.95,74.36,19.0,83.58,19,52.32,1,32.44,62.69,5.6,0.01,4.38,0,1,51.69,Average
S102279,7.6,67.4,33.19,66.07,98.94,73.28,27.31,83.27,89,70.11,0,48.67,69.14,7.95,0.14,3.82,2,0,61.05,Average
S102280,4.76,53.41,41.69,86.21,68.56,85.64,15.92,76.92,52,85.64,3,71.61,80.17,6.79,3.09,3.37,0,0,53.44,Average
S102281,6.12,56.25,38.81,52.0,100.0,79.0,9.87,82.74,36,58.31,0,39.81,67.81,7.34,3.11,4.99,0,0,44.3,At_Risk
S102282,8.55,83.87,27.2,42.42,42.34,80.27,8.04,60.69,35,67.68,2,36.74,44.46,4.69,3.58,5.56,2,1,22.06,At_Risk
S102283,5.72,57.46,28.53,75.43,61.21,74.11,14.14,74.66,14,58.76,2,27.95,59.64,8.2,3.42,1.99,0,0,43.66,At_Risk
S102284,6.4,60.21,26.95,78.72,43.08,75.62,20.27,86.47,49,75.82,1,45.99,56.91,5.97,1.48,5.57,0,0,49.78,At_Risk
S102285,7.6,74.63,39.79,99.52,63.05,76.22,12.92,72.08,72,66.37,0,57.68,89.31,5.06,0.44,3.68,0,0,64.34,Average
S102286,8.02,77.16,29.08,49.27,62.97,95.06,21.0,66.63,128,80.84,0,46.65,49.84,5.96,10.27,6.07,1,0,72.19,Good
S102287,6.67,57.72,37.04,67.98,57.67,56.39,24.82,79.39,27,69.53,1,62.04,81.49,7.48,6.3,6.54,2,1,42.68,At_Risk
S102288,6.22,57.79,37.11,87.43,65.86,83.38,9.35,72.91,119,69.56,2,35.46,47.19,7.43,3.74,4.77,0,1,37.21,At_Risk
S102289,8.85,81.62,50.0,71.81,58.45,91.06,7.3,60.17,65,56.91,2,31.22,58.43,5.22,2.98,6.59,0,0,58.56,Average
S102290,9.26,86.13,37.51,67.07,63.23,55.94,21.64,60.54,24,57.13,0,25.19,47.28,6.42,2.04,3.66,1,0,75.65,Good
S102291,8.27,73.37,28.51,81.85,52.91,77.14,16.88,86.12,124,73.98,1,47.37,55.12,5.91,1.46,5.62,0,0,69.76,Average
S102292,7.11,72.06,23.32,61.01,88.09,89.79,17.28,81.36,74,70.99,1,42.43,57.31,5.6,0.68,3.29,0,0,54.72,Average
S102293,5.95,62.93,32.79,82.77,47.26,68.96,19.88,84.71,248,94.18,0,61.8,54.5,9.39,3.29,6.91,0,2,52.95,Average
S102294,5.92,60.16,34.05,51.2,68.4,81.22,4.32,75.52,27,53.74,3,21.09,50.29,6.03,4.72,4.57,0,0,20.61,At_Risk
S102295,7.68,78.04,17.31,47.21,45.92,66.82,18.09,57.3,289,80.88,3,68.03,83.62,8.17,3.99,4.48,0,0,53.65,Average
S102296,7.54,70.29,29.29,65.9,51.64,78.4,16.26,66.89,65,69.69,0,34.7,53.25,6.56,0.0,3.73,1,0,56.62,Average
S102297,8.82,81.26,37.38,31.55,53.35,93.33,18.23,75.17,49,55.34,2,32.89,69.08,6.22,0.21,9.16,0,0,49.75,At_Risk
S102298,7.85,71.42,30.74,71.27,62.89,98.35,8.32,86.54,166,33.23,5,0.91,56.08,8.24,5.99,3.33,2,0,34.82,At_Risk
S102299,5.05,50.51,42.75,44.01,67.81,81.06,15.56,53.77,14,59.74,1,45.37,72.99,8.45,3.26,4.91,2,0,31.17,At_Risk
S102300,8.37,80.4,22.53,74.24,47.29,62.65,11.61,45.33,50,61.38,1,45.24,73.01,6.21,4.53,4.98,1,0,39.89,At_Risk
S102301,5.7,53.87,40.42,72.78,58.38,74.27,22.31,100.0,11,61.35,1,48.86,73.58,8.06,4.43,3.52,0,0,50.67,Average
S102302,6.5,66.94,42.31,68.98,49.14,56.24,14.39,88.97,76,79.72,1,48.06,50.64,6.31,5.92,2.64,0,1,56.59,Average
S102303,7.33,71.21,42.65,76.55,48.44,74.47,10.8,66.86,3,62.04,1,36.82,50.61,6.55,1.07,4.3,0,0,47.16,At_Risk
S102304,9.59,87.79,22.47,73.06,83.14,89.58,8.06,76.48,314,71.55,0,64.95,93.32,6.92,1.87,6.6,0,0,79.11,Good
S102305,10.0,92.28,37.52,65.6,42.73,61.65,21.11,73.68,1,49.88,2,35.36,81.72,7.6,8.25,7.24,2,0,51.81,Average
S102306,7.79,76.72,29.65,97.47,66.19,75.52,21.87,84.34,215,73.05,1,64.92,82.2,8.6,2.16,6.07,1,0,70.89,Good
S102307,6.76,68.4,23.75,75.9,92.17,68.21,28.46,72.39,83,51.11,0,34.15,75.32,5.5,3.01,2.11,1,1,53.63,Average
S102308,7.69,75.31,31.69,81.58,84.3,99.52,12.75,62.77,138,76.79,0,45.84,57.7,6.75,10.29,5.0,1,0,66.08,Average
S102309,8.15,85.05,27.76,86.1,71.81,82.78,7.91,87.34,35,80.57,1,62.97,75.17,4.69,2.92,9.43,0,0,57.2,Average
S102310,6.58,69.08,42.37,80.02,64.74,88.2,14.12,100.0,22,48.51,2,42.2,84.1,6.02,2.69,5.18,0,0,62.54,Average
S102311,9.33,90.44,39.1,100.0,76.79,81.51,10.12,87.95,15,93.0,2,78.26,77.31,6.77,0.69,3.37,0,0,76.91,Good
S102312,7.3,65.99,25.78,72.49,70.91,87.13,10.6,81.13,61,62.09,1,35.58,64.22,5.98,2.31,4.03,1,0,53.4,Average
S102313,7.65,67.41,29.21,69.9,87.76,90.97,18.32,76.79,25,72.71,2,53.37,63.93,7.61,7.9,4.42,0,1,50.25,Average
S102314,7.87,73.17,31.95,60.26,62.86,78.46,22.64,68.17,170,77.94,0,50.68,54.9,7.59,0.75,6.92,0,0,60.0,Average
S102315,7.55,74.72,34.42,66.16,81.02,71.63,17.89,73.89,2,59.24,3,31.9,60.66,8.46,1.49,4.3,0,0,44.1,At_Risk
S102316,8.09,84.17,43.05,59.03,59.79,66.78,15.79,85.89,7,58.89,2,29.61,58.31,5.35,9.25,7.96,0,1,53.76,Average
S102317,6.2,60.55,40.53,80.16,95.3,99.1,20.74,97.81,19,62.49,0,33.53,56.49,7.84,13.48,4.67,0,0,68.93,Average
S102318,6.27,64.28,35.41,56.32,62.41,87.85,13.41,98.48,7,73.95,1,48.76,62.43,4.31,2.31,5.91,0,0,51.47,Average
