student_id,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,performance_band
S102330,6.62,59.33,72.34,0,84.62,Good
S102331,6.91,66.2,31.43,0,77.79,Average
S102332,5.03,49.78,59.44,2,67.18,At_Risk
S102333,6.54,64.77,80.66,0,81.41,Average
S102334,8.16,68.07,72.3,3,73.1,Average
S102335,7.75,68.35,59.4,1,68.31,Average
S102336,7.65,71.5,66.48,1,84.29,Good
S102337,7.06,69.4,93.73,2,62.52,At_Risk
S102338,7.01,68.54,64.94,1,83.79,At_Risk
S102339,6.14,60.23,69.57,2,67.66,At_Risk
S102340,7.91,73.6,67.91,1,47.73,Average
S102341,7.55,70.39,70.7,0,47.71,Good
S102342,7.64,69.66,83.65,2,76.82,Average
S102343,6.32,63.08,100.0,1,60.83,At_Risk
S102344,4.2,36.22,87.2,0,68.8,At_Risk
S102345,8.43,83.45,71.03,0,87.53,Good
S102346,6.38,61.42,83.51,2,73.03,Average
S102347,5.88,55.66,48.57,2,52.78,At_Risk
S102348,7.9,72.44,67.77,3,70.92,Average
S102349,6.49,56.0,58.9,0,53.01,At_Risk
S102350,8.38,77.0,60.6,1,68.66,Good
S102351,7.8,72.8,80.49,1,71.29,Average
S102352,7.89,65.47,85.76,1,85.85,Good
S102353,5.22,48.84,50.7,3,44.48,At_Risk
S102354,8.58,85.16,65.71,0,84.31,Average
S102355,7.34,72.0,59.53,0,63.25,Average
S102356,6.52,59.95,76.68,2,78.82,At_Risk
S102357,7.19,68.46,82.45,2,84.71,Average
S102358,4.69,42.34,97.46,1,69.03,At_Risk
S102359,7.53,72.14,83.56,1,66.95,At_Risk
S102360,5.66,59.95,82.89,0,88.0,At_Risk
S102361,5.24,53.67,54.98,1,89.76,At_Risk
S102362,5.02,49.78,59.22,0,56.79,At_Risk
S102363,8.45,78.27,68.73,0,66.15,Good
S102364,6.18,61.73,100.0,1,75.55,Average
S102365,8.99,78.69,68.99,2,71.84,Average
S102366,6.3,58.87,86.61,0,71.47,At_Risk
S102367,4.78,47.75,62.55,0,99.74,At_Risk
S102368,5.55,56.0,67.69,1,43.87,At_Risk
S102369,8.61,84.44,67.72,2,77.62,Good
S102370,6.8,65.75,61.59,1,58.8,Average
S102371,6.29,58.95,76.93,1,60.72,At_Risk
S102372,7.21,70.63,51.18,0,81.75,At_Risk
S102373,7.65,68.89,44.24,1,57.63,Average
S102374,8.45,76.92,64.59,2,34.52,Average
S102375,8.88,84.64,75.16,2,51.14,Average
S102376,6.53,62.75,58.12,1,75.83,At_Risk
S102377,5.28,42.82,98.24,2,96.27,At_Risk
S102378,6.46,63.0,67.97,1,43.02,At_Risk
S102379,7.34,72.81,69.0,2,47.77,Average
S102380,5.75,54.29,54.97,1,48.8,At_Risk
S102381,5.76,64.18,76.18,0,52.46,At_Risk
S102382,7.45,68.01,81.33,0,88.1,Average
S102383,6.94,64.0,70.58,3,80.47,At_Risk
S102384,7.04,65.32,72.08,1,69.77,At_Risk
S102385,6.01,56.83,71.16,4,84.75,At_Risk
S102386,6.7,62.34,56.27,0,41.86,At_Risk
S102387,5.8,49.46,86.74,1,64.04,At_Risk
S102388,8.16,75.31,63.95,2,90.96,Good
S102389,8.35,78.89,90.45,1,68.46,Good
S102390,4.6,48.61,52.31,2,82.25,At_Risk
S102391,5.79,63.83,79.79,0,51.34,Average
S102392,5.05,53.36,70.42,0,67.84,Average
S102393,6.15,55.37,69.19,0,64.97,At_Risk
S102394,6.89,62.69,60.32,1,75.19,Average
S102395,5.12,47.96,76.71,0,67.96,At_Risk
S102396,5.8,62.25,74.97,4,80.45,At_Risk
S102397,5.69,53.44,91.23,0,96.91,At_Risk
S102398,7.27,63.75,76.7,1,53.39,Average
S102399,7.09,65.35,62.69,3,91.14,At_Risk
S102400,6.06,60.61,62.4,2,63.68,At_Risk
S102401,7.23,71.44,72.21,3,70.62,Average
S102402,6.29,58.95,87.32,2,76.04,At_Risk
S102403,6.65,65.88,73.04,0,89.04,Average
S102404,9.18,78.07,81.3,2,82.62,Average
S102405,8.74,83.47,71.85,1,86.56,Average
S102406,5.31,54.0,43.59,1,100.0,At_Risk
S102407,8.08,73.42,73.91,1,64.15,Average
S102408,8.05,73.18,65.49,3,53.5,Average
S102409,5.51,44.85,83.98,1,73.83,Average
S102410,8.06,82.97,89.48,2,91.27,Good
S102411,9.0,82.61,91.45,2,66.79,Average
S102412,5.54,53.6,65.76,0,72.31,At_Risk
S102413,5.81,57.58,61.86,2,58.89,At_Risk
S102414,8.32,85.12,63.84,0,88.43,Good
S102415,7.35,69.24,66.48,1,58.05,At_Risk
S102416,7.72,71.15,70.15,4,90.13,Average
S102417,7.44,71.4,56.02,0,65.59,At_Risk
S102418,7.51,76.46,68.27,4,53.76,Average
S102419,5.28,49.44,41.57,2,79.97,At_Risk
S102420,8.36,75.61,95.97,2,93.67,Average
S102421,8.52,74.78,65.01,1,87.61,Good
S102422,6.7,58.78,62.46,2,53.76,At_Risk
S102423,6.94,69.42,75.09,3,91.97,Average
S102424,5.01,46.31,78.9,2,69.86,At_Risk
S102425,7.67,70.42,41.62,2,48.07,At_Risk
S102426,7.74,70.7,59.08,2,75.61,At_Risk
S102427,6.92,66.07,86.48,4,85.11,Average
S102428,8.46,79.43,79.37,3,91.24,Average
S102429,6.57,61.28,52.77,0,41.55,Average
S102430,7.73,78.9,83.43,1,46.26,At_Risk
S102431,5.67,60.06,77.84,3,90.7,At_Risk
S102432,6.97,59.77,57.49,1,65.82,At_Risk
S102433,6.77,65.66,67.94,0,71.25,Average
S102434,7.29,66.18,45.89,1,64.21,Average
S102435,6.52,60.94,78.55,1,93.91,Average
S102436,6.83,66.11,88.03,0,91.29,Good
S102437,8.07,75.85,63.58,0,51.5,At_Risk
S102438,6.43,62.0,67.93,1,70.04,Average
S102439,4.91,49.35,73.49,1,71.31,At_Risk
S102440,9.27,89.29,65.05,5,57.19,At_Risk
S102441,8.8,80.97,41.13,2,63.53,Average
S102442,5.32,48.02,82.01,0,95.96,At_Risk
S102443,7.9,69.26,83.68,1,58.13,At_Risk
S102444,6.35,56.87,76.91,0,54.22,Average
S102445,7.34,77.6,86.16,1,85.85,Average
S102446,7.38,66.97,66.29,1,71.17,Good
S102447,6.7,58.83,73.76,4,82.11,At_Risk
S102448,5.98,58.1,58.89,0,79.94,Average
S102449,6.1,57.53,56.62,1,71.45,At_Risk
S102450,5.81,54.4,51.07,0,88.29,At_Risk
S102451,5.92,61.86,72.48,0,93.43,Average
S102452,6.91,67.87,69.14,1,53.92,At_Risk
S102453,6.07,55.54,82.28,1,75.78,At_Risk
S102454,7.89,73.23,45.37,4,82.33,At_Risk
S102455,8.93,82.86,71.43,1,82.19,Good
S102456,6.25,62.84,90.44,2,72.24,Average
S102457,7.31,68.22,69.53,2,73.45,Average
S102458,7.65,65.5,79.71,0,48.89,Good
S102459,7.61,72.0,98.47,2,49.24,Average
S102460,7.1,61.29,85.74,0,50.58,Average
S102461,7.97,84.41,49.47,2,60.6,Good
S102462,7.63,68.59,63.95,0,51.13,At_Risk
S102463,5.39,51.0,72.68,3,71.16,At_Risk
S102464,8.13,78.3,67.16,3,80.76,Average
S102465,8.15,76.3,85.07,5,69.18,Average
S102466,6.01,55.91,67.74,5,61.05,At_Risk
S102467,7.05,68.66,67.08,3,81.45,Average
S102468,7.89,81.0,82.1,2,93.09,Average
S102469,6.73,66.99,49.69,4,56.14,At_Risk
S102470,8.39,85.67,74.35,3,70.05,Average
S102471,10.0,90.81,59.79,2,60.46,Average
S102472,5.98,58.06,78.08,2,67.74,At_Risk
S102473,5.2,50.07,63.25,3,88.53,At_Risk
S102474,7.39,71.66,74.67,2,67.73,At_Risk
S102475,7.94,80.92,60.9,3,49.16,Average
S102476,6.7,62.77,42.26,3,61.86,At_Risk
S102477,8.89,82.83,72.69,1,80.85,Average
S102478,5.26,52.1,51.12,1,85.65,At_Risk
S102479,7.9,67.94,87.46,1,89.35,Average
S102480,6.21,58.1,75.33,0,63.47,Average
S102481,9.24,87.2,77.43,1,60.84,Average
S102482,9.59,87.4,64.32,2,88.04,At_Risk
S102483,6.0,61.26,67.75,1,48.2,At_Risk
S102484,6.29,55.46,37.24,1,64.02,At_Risk
S102485,8.12,76.57,73.11,3,76.94,At_Risk
S102486,6.5,62.89,53.16,2,81.01,At_Risk
S102487,6.94,71.35,72.11,0,61.94,Average
S102488,7.03,66.77,53.75,2,68.19,At_Risk
S102489,4.5,46.54,76.0,0,78.26,Average
S102490,6.98,69.13,70.37,4,87.4,At_Risk
S102491,6.1,58.0,50.91,1,72.4,At_Risk
S102492,6.36,56.05,85.56,0,66.75,Average
S102493,8.88,78.59,65.45,1,55.61,Average
S102494,5.37,51.41,56.54,0,45.17,At_Risk
S102495,8.06,74.37,81.47,1,68.0,Good
S102496,6.64,66.73,60.85,3,46.85,At_Risk
S102497,6.64,66.03,65.79,2,85.16,Average
S102498,8.03,75.52,87.9,0,72.03,Good
S102499,7.44,66.07,73.17,2,56.39,At_Risk
S102500,7.74,75.59,76.04,1,85.04,Average
S102501,8.26,74.39,66.54,3,64.85,Average
S102502,6.57,59.37,59.39,0,56.62,Average
S102503,6.2,55.02,63.71,3,71.02,At_Risk
S102504,5.59,53.0,37.27,1,53.92,At_Risk
S102505,5.93,60.99,76.73,1,83.06,Average
S102506,10.0,94.98,75.69,1,49.64,Good
S102507,8.62,80.1,48.67,2,95.64,At_Risk
S102508,5.24,43.71,72.93,0,67.35,At_Risk
S102509,5.28,52.38,29.11,2,75.28,At_Risk
S102510,7.63,69.33,95.76,2,91.56,Average
S102511,7.71,73.73,60.57,1,72.97,Average
S102512,7.71,71.86,61.31,1,63.31,Average
S102513,6.67,66.7,77.69,2,48.22,Average
S102514,6.84,64.32,74.07,1,87.55,Average
S102515,7.43,70.0,48.1,2,41.47,Average
S102516,7.11,70.0,68.61,2,80.7,At_Risk
S102517,4.11,47.52,73.55,0,58.71,At_Risk
S102518,6.7,67.22,57.14,0,62.89,Good
S102519,5.89,55.63,78.26,0,65.93,Average
S102520,7.23,68.68,51.44,4,52.97,At_Risk
S102521,10.0,92.9,75.81,1,70.91,Good
S102522,7.48,67.0,48.58,1,90.77,Good
S102523,6.59,60.42,62.48,2,78.03,At_Risk
S102524,8.2,74.8,46.82,0,55.51,Average
S102525,7.63,75.07,78.41,1,61.42,At_Risk
S102526,7.55,67.4,84.25,2,89.44,Good
S102527,7.79,79.3,90.18,1,79.0,Average
S102528,9.67,94.91,62.63,0,65.63,Excellent
S102529,5.53,52.62,57.95,0,84.74,Average
S102530,7.62,72.35,81.18,0,85.44,Average
S102531,5.8,52.83,68.79,3,67.14,At_Risk
S102532,7.72,74.44,59.69,2,44.76,Average
S102533,5.81,59.51,59.54,0,79.05,Average
S102534,6.46,58.53,68.38,1,68.46,At_Risk
S102535,6.62,56.72,83.88,0,79.64,Average
S102536,8.27,81.36,54.28,1,54.55,Average
S102537,8.19,79.14,85.13,2,60.43,Average
S102538,5.38,46.63,65.66,1,60.15,Average
S102539,7.07,64.24,83.81,1,66.3,Excellent
S102540,6.08,54.3,65.31,1,57.6,Average
S102541,5.36,48.06,78.89,0,88.95,At_Risk
S102542,6.72,62.53,57.21,4,48.06,At_Risk
S102543,6.6,61.62,73.5,3,79.67,Average
S102544,10.0,92.4,76.48,0,64.41,Good
S102545,7.56,68.81,43.83,3,66.75,At_Risk
S102546,5.21,48.57,89.28,0,72.52,At_Risk
S102547,6.27,60.2,49.11,1,75.86,Average
S102548,8.33,77.85,82.08,3,74.14,At_Risk
S102549,9.71,97.0,61.58,1,73.39,Average
S102550,4.94,48.95,77.99,0,93.26,Average
S102551,4.56,36.92,73.53,0,43.62,At_Risk
S102552,9.43,91.7,63.5,2,93.55,At_Risk
S102553,7.51,73.73,56.49,1,62.71,Average
S102554,5.87,54.04,64.81,1,75.65,At_Risk
S102555,7.7,67.12,61.75,0,67.09,Average
S102556,3.57,35.0,72.79,2,77.76,At_Risk
S102557,7.0,66.51,69.11,1,44.59,At_Risk
S102558,7.43,66.06,57.66,3,90.12,At_Risk
S102559,8.2,72.11,52.04,1,71.36,Good
S102560,5.68,53.63,62.63,1,42.25,At_Risk
S102561,7.11,66.63,66.95,2,88.86,At_Risk
S102562,5.8,53.4,58.21,7,64.02,At_Risk
S102563,7.33,69.32,72.94,4,99.77,At_Risk
S102564,5.84,51.03,65.12,1,44.3,At_Risk
S102565,6.47,60.0,80.78,1,85.95,Average
S102566,5.71,56.33,72.86,1,73.31,At_Risk
S102567,7.85,73.14,75.75,1,64.05,Average
S102568,8.12,70.41,60.57,1,87.68,Average
S102569,6.69,61.71,84.68,0,56.36,Average
S102570,7.05,62.69,71.33,2,55.68,Average
S102571,5.12,49.68,85.12,2,90.83,At_Risk
S102572,6.61,64.07,79.38,3,55.83,At_Risk
S102573,6.93,59.24,65.34,0,72.34,Average
S102574,10.0,98.04,60.13,2,77.37,Average
S102575,5.55,48.32,69.33,3,71.97,At_Risk
S102576,8.9,90.82,64.28,2,90.22,Good
S102577,8.3,78.62,58.84,1,96.75,Good
S102578,7.36,64.98,54.24,0,57.58,Average
S102579,9.29,83.65,93.02,3,61.96,Average
S102580,7.48,72.49,50.4,3,56.52,Average
S102581,7.51,69.74,42.98,1,49.6,Average
S102582,6.93,65.46,73.01,3,79.27,Average
S102583,8.59,88.06,58.61,3,53.68,Average
S102584,8.43,77.24,64.13,1,98.16,Average
S102585,6.19,59.0,50.19,1,68.5,At_Risk
S102586,5.28,55.89,73.29,3,78.18,At_Risk
S102587,6.74,65.08,71.68,1,69.15,Good
S102588,5.96,50.19,80.36,2,56.03,At_Risk
S102589,6.92,67.7,75.17,2,78.97,Average
S102590,8.61,77.13,64.24,3,78.77,Average
S102591,6.41,66.48,47.05,2,87.39,At_Risk
S102592,6.94,62.68,57.64,0,45.84,Average
S102593,7.08,79.09,56.95,2,60.13,Average
S102594,8.1,82.85,53.67,3,72.27,Average
S102595,4.08,35.56,84.83,0,89.87,At_Risk
S102596,6.21,59.09,86.08,1,81.83,Good
S102597,7.27,72.12,61.33,0,55.23,At_Risk
S102598,8.56,84.46,78.52,0,65.57,Average
S102599,6.36,62.19,71.37,1,62.75,At_Risk
S102600,4.56,48.33,60.41,1,55.6,At_Risk
S102601,7.81,73.66,69.24,1,74.81,Average
S102602,6.17,57.19,42.48,2,48.64,At_Risk
S102603,5.45,50.42,47.56,1,58.07,At_Risk
S102604,6.19,62.0,73.5,1,91.73,Average
S102605,6.76,65.7,80.25,2,82.46,Average
S102606,6.21,60.2,79.77,1,46.7,At_Risk
S102607,4.13,42.0,54.31,2,82.7,At_Risk
S102608,8.17,69.37,79.47,1,92.24,At_Risk
S102609,8.66,83.48,76.61,1,65.09,Average
S102610,7.85,75.42,73.96,1,57.05,At_Risk
S102611,5.52,59.12,66.17,1,95.9,At_Risk
S102612,6.74,57.9,61.19,2,83.82,At_Risk
S102613,6.99,72.65,77.55,0,75.27,Good
S102614,7.78,74.2,78.37,1,66.67,Average
S102615,7.87,76.71,65.29,4,72.59,Average
S102616,6.05,64.14,73.57,0,70.08,Average
S102617,7.11,69.76,74.03,2,70.04,Average
S102618,7.59,73.75,66.66,1,65.31,At_Risk
S102619,8.89,85.45,58.98,0,66.71,Average
S102620,7.92,73.27,68.91,2,66.76,Average
S102621,8.03,76.13,79.25,2,95.92,Excellent
S102622,7.11,64.67,56.73,0,75.99,Average
S102623,8.83,83.74,83.06,1,73.29,Average
S102624,7.53,62.22,58.44,1,80.73,Average
S102625,5.88,57.58,91.63,1,72.77,Average
S102626,8.82,83.34,78.39,2,88.21,Average
S102627,7.91,73.77,62.26,2,59.82,Average
S102628,6.42,61.91,50.4,3,73.14,Average
S102629,6.38,54.84,60.86,2,54.55,Average
S102630,7.39,77.88,64.03,0,63.58,At_Risk
S102631,7.6,71.81,63.71,1,54.74,At_Risk
S102632,7.26,68.35,59.26,2,49.54,Average
S102633,7.4,66.48,68.44,0,85.11,Average
S102634,9.21,87.59,66.83,1,77.8,Average
S102635,8.39,85.28,57.75,1,79.0,Average
S102636,7.25,73.0,81.74,0,80.03,Average
S102637,8.22,81.54,82.6,4,87.29,Good
S102638,5.66,55.93,68.19,3,90.7,Average
S102639,7.52,69.98,80.31,2,76.58,Average
S102640,9.35,83.04,76.34,3,58.7,Average
S102641,6.72,63.0,60.18,1,39.36,At_Risk
S102642,5.9,55.09,73.64,0,68.86,Average
S102643,6.15,62.64,56.55,1,89.18,At_Risk
S102644,5.58,54.28,55.79,2,78.41,Average
S102645,5.98,63.26,75.92,3,53.74,At_Risk
S102646,6.52,66.71,74.67,0,74.72,At_Risk
S102647,5.17,47.32,73.86,1,76.61,At_Risk
S102648,7.02,59.51,69.84,1,65.79,Average
S102649,8.17,83.19,45.73,1,54.29,Average
S102650,5.82,60.73,48.52,0,62.33,At_Risk
S102651,8.98,79.8,72.87,3,74.52,At_Risk
S102652,7.66,78.85,77.56,2,63.45,Average
S102653,8.34,80.76,58.75,3,59.16,Average
S102654,6.14,59.02,90.05,2,49.79,At_Risk
S102655,8.11,83.51,59.69,0,91.57,Average
S102656,5.58,58.39,83.42,1,71.16,Average
S102657,8.16,80.1,46.42,1,74.21,Good
S102658,7.22,70.52,57.15,1,90.79,Average
S102659,7.72,75.8,72.51,5,47.49,At_Risk
S102660,5.47,50.0,63.88,2,57.32,At_Risk
S102661,5.84,55.23,78.74,3,82.73,At_Risk
S102662,7.78,70.27,71.42,3,49.82,Average
S102663,5.77,53.46,86.76,0,86.97,At_Risk
S102664,7.6,70.75,61.51,2,76.36,At_Risk
S102665,5.22,47.07,53.78,1,53.88,At_Risk
S102666,8.1,77.52,65.07,1,55.5,At_Risk
S102667,5.4,49.98,62.69,2,53.09,At_Risk
S102668,7.72,75.33,59.28,4,43.26,At_Risk
S102669,7.81,67.74,56.71,1,87.38,Average
S102670,6.09,57.44,49.37,0,71.47,Average
S102671,7.76,74.21,84.81,0,75.02,At_Risk
S102672,7.34,68.47,48.7,1,66.4,At_Risk
S102673,6.3,59.16,66.91,0,59.86,Average
S102674,5.69,47.7,69.68,2,58.61,At_Risk
S102675,4.45,43.69,72.66,2,82.62,At_Risk
S102676,7.45,73.41,67.4,2,90.68,Average
S102677,4.97,49.15,49.32,0,81.57,At_Risk
S102678,7.12,71.83,57.7,3,59.21,At_Risk
S102679,6.66,64.05,67.3,2,75.28,Average
S102680,7.88,76.8,67.9,1,69.94,At_Risk
S102681,6.61,63.39,52.42,1,54.38,At_Risk
S102682,6.57,65.18,76.16,0,63.85,Good
S102683,7.95,69.23,56.27,3,47.03,At_Risk
S102684,7.44,67.06,89.75,1,75.98,Average
S102685,7.41,76.75,42.95,1,71.09,At_Risk
S102686,7.61,62.45,74.93,1,88.62,Average
S102687,5.0,46.97,69.83,0,87.33,At_Risk
S102688,7.98,80.54,65.7,2,77.38,At_Risk
S102689,7.8,73.69,76.03,1,71.65,Average
S102690,5.68,52.32,58.55,3,70.92,At_Risk
S102691,6.68,64.0,63.81,0,87.39,Average
S102692,6.95,64.6,53.81,3,54.38,At_Risk
S102693,6.83,64.96,85.36,0,82.49,Average
S102694,7.43,68.0,60.95,1,73.4,At_Risk
S102695,8.86,88.61,60.5,0,86.85,Good
S102696,8.41,85.55,85.0,2,85.76,Average
S102697,5.29,50.0,45.79,1,76.19,At_Risk
S102698,7.81,68.64,89.5,2,65.91,Average
S102699,8.73,80.82,66.64,3,91.72,Good
S102700,7.5,70.54,81.18,2,93.09,Good
S102701,8.42,82.0,74.74,3,80.2,Average
S102702,9.62,87.32,42.65,0,94.62,Average
S102703,8.33,76.07,76.7,3,61.18,At_Risk
S102704,7.32,71.62,54.09,0,51.77,At_Risk
S102705,8.36,83.16,64.82,0,49.43,Average
S102706,7.19,65.8,90.06,2,67.76,At_Risk
S102707,7.03,61.46,60.69,2,44.56,At_Risk
S102708,6.54,75.3,82.55,1,71.88,Average
S102709,9.03,88.94,55.47,1,98.43,Good
S102710,5.94,55.0,87.14,3,94.56,At_Risk
S102711,8.99,88.9,66.46,0,52.89,Average
S102712,7.65,72.2,73.73,2,51.13,Average
S102713,5.18,52.69,66.76,2,94.22,At_Risk
S102714,7.48,71.68,68.31,0,55.81,Average
S102715,4.27,40.93,50.38,0,82.73,At_Risk
S102716,7.81,73.77,61.36,1,78.81,At_Risk
S102717,8.15,71.64,58.58,1,54.7,Average
S102718,6.23,66.94,50.99,4,77.41,At_Risk
S102719,7.16,64.26,69.01,1,55.58,At_Risk
S102720,9.54,85.19,86.23,3,62.24,Good
S102721,6.34,59.4,56.41,2,47.18,At_Risk
S102722,5.62,49.58,89.76,2,74.4,Average
S102723,8.93,84.59,66.19,3,66.85,Average
S102724,9.55,93.49,62.11,1,70.93,Good
S102725,7.0,70.53,64.5,1,44.61,At_Risk
S102726,8.31,82.2,97.21,1,83.96,Good
S102727,8.74,81.84,72.86,4,50.89,Average
S102728,6.03,57.53,72.89,1,62.64,At_Risk
S102729,6.37,62.14,75.96,1,56.14,Average
S102730,8.6,74.67,50.86,0,76.28,Average
S102731,9.19,89.59,82.34,2,66.46,Average
S102732,7.73,67.62,57.22,3,74.25,Average
S102733,5.86,63.8,55.65,1,63.39,At_Risk
S102734,9.58,89.42,61.94,2,86.95,Excellent
S102735,6.31,59.2,64.86,0,79.87,Average
S102736,6.56,59.28,68.02,1,55.44,At_Risk
S102737,7.45,68.21,64.02,2,64.5,At_Risk
S102738,9.02,94.79,60.84,2,90.27,Good
S102739,8.11,80.81,59.47,2,60.34,At_Risk
S102740,7.54,65.4,68.47,0,43.55,Average
S102741,7.6,78.24,45.05,0,66.03,At_Risk
S102742,7.06,71.81,68.33,2,47.48,At_Risk
S102743,7.73,72.27,84.54,0,90.59,At_Risk
S102744,3.71,36.49,72.01,0,95.87,At_Risk
S102745,6.61,62.78,77.63,3,86.68,At_Risk
S102746,7.31,77.37,85.93,4,59.5,Average
S102747,5.5,49.1,76.13,1,62.77,At_Risk
S102748,7.5,71.86,60.46,0,64.03,At_Risk
S102749,6.73,62.26,61.54,2,47.14,At_Risk
S102750,9.28,82.45,69.47,3,61.12,Average
S102751,9.04,94.69,51.98,1,54.05,Average
S102752,6.39,56.0,100.0,1,61.63,At_Risk
S102753,6.8,65.52,68.07,1,78.11,Average
S102754,6.9,58.62,87.49,1,80.06,Good
S102755,6.41,59.33,65.86,2,48.98,At_Risk
S102756,7.25,70.6,68.92,2,75.66,Average
S102757,6.01,53.84,67.41,2,79.87,At_Risk
S102758,5.53,54.88,84.59,3,52.75,At_Risk
S102759,7.81,73.11,100.0,1,55.21,Average
S102760,7.82,78.9,49.0,0,69.55,Average
S102761,5.95,62.0,64.84,1,55.69,At_Risk
S102762,8.16,75.21,73.52,2,87.87,Good
S102763,6.18,59.01,45.31,0,78.45,Average
S102764,7.33,70.4,59.82,5,89.32,At_Risk
S102765,8.07,79.11,73.51,0,71.22,Average
S102766,6.96,66.14,61.58,2,46.27,Average
S102767,7.59,72.88,68.31,1,77.69,At_Risk
S102768,6.33,59.15,74.5,3,77.13,At_Risk
S102769,6.74,65.0,61.22,1,47.68,At_Risk
S102770,6.73,69.15,55.55,4,75.36,Average
S102771,6.03,59.86,55.18,0,58.46,At_Risk
S102772,6.77,67.12,38.87,0,52.82,At_Risk
S102773,4.99,50.27,75.02,1,52.18,Average
S102774,6.36,59.82,65.88,3,67.9,At_Risk
S102775,6.63,64.26,83.73,1,67.43,At_Risk
S102776,6.67,59.0,76.38,0,76.79,Average
S102777,6.69,68.59,69.0,3,69.77,At_Risk
S102778,6.92,54.6,72.65,2,58.82,At_Risk
S102779,7.62,72.0,45.49,1,57.52,Good
S102780,8.14,81.86,72.68,3,64.27,Average
S102781,6.16,53.02,65.3,2,84.55,At_Risk
S102782,5.44,53.24,58.66,1,74.52,At_Risk
S102783,5.65,50.91,62.47,3,65.13,At_Risk
S102784,6.37,59.01,76.63,2,60.16,Average
S102785,6.54,65.94,60.6,0,55.49,At_Risk
S102786,6.0,57.78,64.86,1,57.0,At_Risk
S102787,5.32,42.36,75.44,2,62.9,At_Risk
S102788,6.41,56.96,64.68,2,63.95,At_Risk
S102789,7.24,72.64,70.31,0,92.77,Average
S102790,7.77,75.64,66.63,3,76.76,Average
S102791,6.28,66.61,82.37,2,40.15,At_Risk
S102792,6.46,68.13,70.23,2,88.76,At_Risk
S102793,5.8,53.69,46.69,3,52.63,At_Risk
S102794,6.96,76.0,78.35,2,68.57,Good
S102795,5.9,56.12,59.56,1,80.71,At_Risk
S102796,7.75,69.73,61.31,0,59.22,Average
S102797,4.68,41.91,65.21,2,41.25,At_Risk
S102798,6.53,53.03,96.64,1,72.38,At_Risk
S102799,7.39,76.7,74.81,2,63.36,Average
S102800,7.24,75.15,92.96,0,93.55,Good
S102801,10.0,90.94,68.77,2,54.66,Average
S102802,7.45,69.91,77.54,0,86.84,Average
S102803,5.69,54.48,91.3,2,43.4,At_Risk
S102804,6.88,61.48,78.67,4,92.44,Average
S102805,4.69,37.54,73.36,1,74.39,Average
S102806,6.9,64.66,50.2,4,88.82,At_Risk
S102807,5.92,54.93,54.82,2,79.13,At_Risk
S102808,8.19,76.25,71.87,0,96.26,Average
S102809,6.29,60.6,81.16,0,57.44,Average
S102810,6.85,70.78,66.24,0,68.6,Average
S102811,6.17,57.44,76.77,2,91.64,At_Risk
S102812,9.26,88.66,57.01,2,71.95,At_Risk
S102813,6.58,65.44,59.74,3,52.93,At_Risk
S102814,9.38,91.35,74.25,1,81.51,Good
S102815,8.06,74.0,68.76,3,80.58,At_Risk
S102816,7.63,72.84,63.06,1,55.72,Average
S102817,7.48,73.2,61.07,0,77.78,Average
S102818,7.51,66.85,48.49,3,58.12,Average
S102819,4.49,47.75,67.7,1,73.19,At_Risk
S102820,6.64,68.78,49.05,0,78.74,Average
S102821,8.1,74.0,63.99,0,89.77,Average
S102822,6.94,66.67,65.81,0,64.24,Average
S102823,5.17,51.72,86.58,1,60.05,At_Risk
S102824,6.93,63.67,54.33,3,94.78,At_Risk
S102825,9.22,89.47,74.23,3,76.16,Average
S102826,8.62,83.0,70.25,2,62.45,At_Risk
S102827,6.92,59.86,54.28,1,63.26,At_Risk
S102828,8.24,80.09,68.81,1,83.37,Average
S102829,6.52,57.6,50.79,1,75.58,Average
S102830,4.78,49.21,68.8,0,51.26,At_Risk
S102831,5.8,52.4,65.17,1,64.62,At_Risk
S102832,9.03,85.16,79.54,3,51.13,Average
S102833,6.64,69.0,58.72,4,74.19,At_Risk
S102834,6.68,65.48,39.11,2,76.24,At_Risk
S102835,6.61,58.48,60.49,0,87.58,At_Risk
S102836,9.48,85.96,76.09,3,62.1,Average
S102837,9.11,84.18,69.92,2,86.66,Average
S102838,9.88,95.48,60.55,2,78.2,Excellent
S102839,6.79,65.97,83.73,1,75.71,At_Risk
S102840,7.38,66.78,64.36,1,78.22,Average
S102841,5.03,43.1,78.19,3,75.93,At_Risk
S102842,8.92,85.87,68.31,4,52.28,Good
S102843,5.48,51.35,76.74,1,53.04,Average
S102844,7.28,77.81,78.0,0,86.86,Good
S102845,5.57,53.0,85.42,2,92.63,At_Risk
S102846,6.23,66.48,57.85,2,54.29,Average
S102847,5.91,51.48,75.42,2,66.62,At_Risk
S102848,6.21,52.7,51.99,1,59.4,At_Risk
S102849,6.3,55.36,75.27,2,73.0,At_Risk
S102850,6.29,64.49,46.07,3,51.74,Average
S102851,8.08,83.82,93.05,2,67.68,Good
S102852,5.56,49.73,72.33,2,62.46,Average
S102853,7.29,67.38,70.93,1,77.18,Average
S102854,8.58,76.87,46.62,3,62.72,Average
S102855,6.33,52.92,81.15,3,89.93,At_Risk
S102856,6.07,60.51,84.2,4,50.74,At_Risk
S102857,6.7,65.0,65.03,0,57.53,Average
