student_id,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time
S102204,67.33,1.4,0.75,6.95,2024-01-25 00:00:00
S102205,72.14,5.19,0.33,24.16,2024-01-18 00:00:00
S102206,82.48,2.79,0.83,4.1,2024-12-05 00:00:00
S102207,73.5,2.33,1.14,18.02,2024-04-02 00:00:00
S102208,80.0,0.76,2.87,15.69,2024-03-08 00:00:00
S102209,65.51,3.24,0.77,10.1,2024-04-24 00:00:00
S102210,83.0,3.35,3.92,20.02,2024-02-14 00:00:00
S102211,76.36,5.51,1.82,9.4,2024-02-19 21:39:51
S102212,75.0,3.87,1.97,3.69,2024-01-26 00:00:00
S102213,93.0,0.0,0.73,12.82,2024-02-08 00:00:00
S102214,80.98,3.32,0.13,8.58,2024-02-22 00:00:00
S102215,83.7,2.45,1.79,16.81,2024-03-14 00:00:00
S102216,86.7,2.6,1.43,13.0,2024-05-29 00:00:00
S102217,74.17,2.97,2.44,25.95,2024-03-14 00:00:00
S102218,43.55,3.1,0.07,12.77,2024-01-19 00:00:00
S102219,79.8,0.54,1.6,16.93,2024-01-26 00:00:00
S102220,42.84,3.53,0.91,6.86,2024-02-25 00:00:00
S102221,71.71,3.37,0.64,12.01,2024-04-24 00:00:00
S102222,53.11,3.44,1.54,8.62,2024-01-24 00:00:00
S102223,80.12,3.05,0.06,23.29,2024-01-13 00:00:00
S102224,99.0,1.68,2.26,9.7,2024-02-20 00:00:00
S102225,86.13,4.17,0.93,10.45,2024-04-15 00:00:00
S102226,72.09,1.73,1.37,17.09,2024-01-27 00:00:00
S102227,77.91,2.86,0.9,10.0,2024-11-02 00:00:00
S102228,96.21,1.97,5.7,24.87,2024-01-17 00:00:00
S102229,74.0,2.57,0.5,28.7,2024-05-06 00:00:00
S102230,100.0,4.46,1.22,8.72,2024-03-31 00:00:00
S102231,83.46,3.11,1.55,20.92,2024-03-10 00:00:00
S102232,63.88,2.97,0.1,9.09,2024-03-12 00:00:00
S102233,82.5,4.26,0.86,12.5,2024-01-24 00:00:00
S102234,86.01,1.69,0.17,19.83,2024-03-28 00:00:00
S102235,80.59,3.26,4.38,15.98,2024-02-24 00:00:00
S102236,67.38,1.93,0.02,16.16,2024-04-27 00:00:00
S102237,60.69,4.41,1.84,22.69,2024-02-05 00:00:00
S102238,80.24,5.13,1.27,22.64,2024-04-11 00:00:00
S102239,93.6,0.93,0.22,15.36,2024-01-27 00:00:00
S102240,72.3,2.94,3.42,10.56,2024-02-24 00:00:00
S102241,98.45,3.16,1.69,15.01,2024-03-10 00:00:00
S102242,53.1,2.9,0.58,7.94,2024-01-25 01:49:01
S102243,64.0,4.61,0.63,20.5,2024-03-20 00:00:00
S102244,77.33,2.51,1.08,13.68,2024-05-21 00:00:00
S102245,82.75,3.81,2.5,7.26,2024-02-09 00:00:00
S102246,75.48,1.57,2.05,24.39,2024-04-02 00:00:00
S102247,93.27,1.4,3.79,14.9,2024-05-09 23:30:37
S102248,90.03,3.78,5.12,9.76,2024-02-17 00:00:00
S102249,89.26,1.19,7.03,23.0,2024-01-13 00:00:00
S102250,58.89,3.19,3.86,23.8,2024-05-23 00:00:00
S102251,77.16,1.25,7.39,1.79,2024-05-23 00:00:00
S102252,77.0,2.2,0.13,22.75,2024-02-23 00:00:00
S102253,54.6,4.72,1.6,16.1,2024-04-01 00:00:00
S102254,81.61,2.27,2.94,21.8,2024-05-26 00:00:00
S102255,84.0,5.78,1.74,14.52,2024-02-26 00:00:00
S102256,77.27,0.91,2.68,17.65,2024-03-13 00:00:00
S102257,65.0,3.07,0.68,12.87,2024-05-08 00:00:00
S102258,100.0,3.26,3.12,21.95,2024-06-05 00:00:00
S102259,84.53,3.88,0.08,10.3,2024-05-23 00:00:00
S102260,76.09,5.93,3.33,22.18,2024-03-24 00:00:00
S102261,82.2,5.56,2.53,16.25,2024-02-04 00:00:00
S102262,90.07,1.11,0.09,20.3,2024-04-27 00:00:00
S102263,87.0,5.12,0.65,7.94,2024-11-01 00:00:00
S102264,65.14,2.3,0.95,17.96,2024-04-30 00:00:00
S102265,87.94,2.87,1.36,18.73,2024-02-24 00:00:00
S102266,93.21,1.22,0.87,27.98,2024-03-19 00:00:00
S102267,83.46,3.19,0.71,19.88,2024-03-29 00:00:00
S102268,81.13,3.53,1.47,10.88,2024-04-25 00:00:00
S102269,68.81,1.7,1.17,10.59,2024-01-14 00:00:00
S102270,98.58,3.79,1.33,20.33,2024-03-18 00:00:00
S102271,67.84,3.27,3.28,11.22,2024-01-13 00:00:00
S102272,59.0,1.96,2.38,11.36,2024-02-26 00:00:00
S102273,78.7,1.36,1.13,8.99,2024-03-06 00:00:00
S102274,74.46,2.66,1.21,15.93,2024-02-21 00:00:00
S102275,59.12,3.65,0.7,16.53,2024-02-16 00:00:00
S102276,60.95,4.27,0.78,12.72,2024-04-05 00:00:00
S102277,100.0,2.27,0.99,26.87,2024-05-27 00:00:00
S102278,89.6,1.97,1.91,19.0,2024-04-11 00:00:00
S102279,69.59,4.69,1.06,27.31,2024-03-09 00:00:00
S102280,73.6,1.75,3.15,15.92,2024-01-24 00:00:00
S102281,61.0,2.9,1.22,9.87,2024-01-31 00:00:00
S102282,50.03,3.73,5.25,8.04,2024-05-18 00:00:00
S102283,84.56,4.31,0.25,14.14,2024-01-26 00:00:00
S102284,82.01,1.18,3.42,20.27,2024-02-26 00:00:00
S102285,67.1,0.91,0.0,12.92,2024-05-18 00:00:00
S102286,73.31,1.09,3.44,21.0,2024-02-14 00:00:00
S102287,76.89,1.79,0.2,24.82,2024-02-04 00:00:00
S102288,90.38,2.66,4.5,9.35,2024-02-10 00:00:00
S102289,89.8,4.83,7.98,7.3,2024-05-07 00:00:00
S102290,67.29,3.74,2.03,21.64,2024-01-10 00:00:00
S102291,98.38,5.12,0.27,16.88,2024-04-14 00:00:00
S102292,87.1,3.12,3.5,17.28,2024-01-22 00:00:00
S102293,65.54,1.84,1.71,19.88,2024-06-02 00:00:00
S102294,81.6,0.95,0.33,4.32,2024-04-14 00:00:00
S102295,67.54,3.96,0.82,18.09,2024-01-27 00:00:00
S102296,79.88,4.1,1.26,16.26,2024-04-22 00:00:00
S102297,79.58,1.98,0.11,18.23,2024-04-08 00:00:00
S102298,96.49,1.98,3.74,8.32,2024-03-14 00:00:00
S102299,74.25,2.56,2.73,15.56,2024-03-31 00:00:00
S102300,74.54,2.84,0.26,11.61,2024-02-14 00:00:00
S102301,71.63,4.23,0.44,22.31,2024-03-28 00:00:00
S102302,59.74,3.06,8.0,14.39,2024-01-30 00:00:00
S102303,71.0,3.55,0.86,10.8,2024-02-06 00:00:00
S102304,100.0,4.26,1.22,8.06,2024-04-21 00:00:00
S102305,68.0,3.77,0.01,21.11,2024-04-27 00:00:00
S102306,69.38,4.47,3.39,21.87,2024-03-05 00:00:00
S102307,96.62,3.99,1.34,28.46,2024-02-15 00:00:00
S102308,77.62,3.2,1.55,12.75,2024-04-09 00:00:00
S102309,65.19,2.72,1.39,7.91,2024-03-26 00:00:00
S102310,77.58,3.61,1.22,14.12,2024-02-28 00:00:00
S102311,73.0,2.29,0.42,10.12,2024-05-25 00:00:00
S102312,76.95,5.18,1.31,10.6,2024-01-16 00:00:00
S102313,79.76,2.75,5.56,18.32,2024-02-07 00:00:00
S102314,91.01,0.76,1.31,22.64,2024-01-12 00:00:00
S102315,76.75,5.8,1.71,17.89,2024-05-20 00:00:00
S102316,79.5,1.83,7.84,15.79,2024-01-21 00:00:00
S102317,94.66,3.15,2.35,20.74,2024-04-24 00:00:00
S102318,85.11,4.23,0.86,13.41,2024-10-02 00:00:00
S102319,75.07,3.28,2.71,25.15,2024-01-21 00:00:00
S102320,83.51,4.3,0.01,35.99,2024-04-22 00:00:00
S102321,58.0,0.0,1.18,10.59,2024-03-31 00:00:00
S102322,90.21,1.49,0.16,23.46,2024-04-04 00:00:00
S102323,71.1,1.27,0.26,23.48,2024-03-27 00:00:00
S102324,69.79,5.16,2.31,18.69,2024-04-07 00:00:00
S102325,67.73,2.71,0.98,24.0,2024-04-19 00:00:00
S102326,66.81,1.73,0.22,17.48,2024-03-12 00:00:00
S102327,65.08,3.67,1.71,19.54,2024-03-27 00:00:00
S102328,39.49,1.07,4.94,15.57,2024-04-21 00:00:00
S102329,79.7,3.82,0.83,15.98,2024-05-28 00:00:00
S102330,64.9,3.78,6.25,19.45,2024-05-05 00:00:00
S102331,72.46,1.98,2.27,17.95,2024-02-23 00:00:00
S102332,62.34,4.41,1.5,7.67,2024-02-20 00:00:00
S102333,100.0,1.35,1.22,18.56,2024-04-06 05:54:42
S102334,56.59,2.52,2.79,13.28,2024-04-09 01:36:05
S102335,79.56,0.0,5.21,11.11,2024-04-03 00:00:00
S102336,65.83,2.67,0.95,21.79,2024-01-30 00:00:00
S102337,80.08,2.18,2.23,8.46,2024-03-24 00:00:00
S102338,85.98,2.78,0.02,13.1,2024-04-24 00:00:00
S102339,55.34,1.85,3.77,7.54,2024-05-20 00:00:00
S102340,67.56,3.83,1.41,12.19,2024-02-13 00:00:00
S102341,69.61,3.36,0.72,31.75,2024-05-27 00:00:00
S102342,55.03,3.59,3.2,9.65,2024-01-15 00:00:00
S102343,88.09,3.82,1.13,13.94,2024-03-20 00:00:00
S102344,59.16,2.76,0.91,24.74,2024-05-21 00:00:00
S102345,100.0,3.49,0.61,18.07,2024-01-17 00:00:00
S102346,89.24,3.82,5.14,14.03,2024-05-08 00:00:00
S102347,71.66,2.35,1.96,10.15,2024-03-27 00:00:00
S102348,75.6,0.99,0.34,19.71,2024-01-31 00:00:00
S102349,80.53,4.72,3.1,12.73,2024-02-09 00:00:00
S102350,87.85,3.53,3.28,30.22,2024-04-13 00:00:00
S102351,73.38,4.15,0.01,13.02,2024-01-11 00:00:00
S102352,72.56,5.04,1.44,26.83,2024-02-15 00:00:00
S102353,100.0,2.24,2.93,21.14,2024-02-16 00:00:00
S102354,73.84,3.96,0.43,21.08,2024-04-20 00:00:00
S102355,72.0,2.42,0.11,13.89,2024-05-10 00:00:00
S102356,90.24,5.45,7.44,11.78,2024-03-29 00:00:00
S102357,61.95,4.75,0.09,13.18,2024-05-12 00:00:00
S102358,52.8,3.2,1.89,22.32,2024-04-07 00:00:00
S102359,60.02,6.02,0.28,18.67,2024-02-26 00:00:00
S102360,69.86,4.61,0.11,1.94,2024-03-30 00:00:00
S102361,71.0,3.11,1.33,5.98,2024-03-13 00:00:00
S102362,78.85,4.78,0.01,14.05,2024-03-19 00:00:00
S102363,60.1,0.3,0.25,18.75,2024-03-07 00:00:00
S102364,92.62,2.3,0.31,13.4,2024-05-28 00:00:00
S102365,85.0,4.86,3.12,11.48,2024-01-22 00:00:00
S102366,50.1,2.82,1.22,8.11,2024-05-28 00:00:00
S102367,56.67,4.09,0.02,21.39,2024-01-14 00:00:00
S102368,90.37,1.42,0.96,15.7,2024-02-11 00:00:00
S102369,72.22,3.16,2.54,26.76,2024-01-31 00:00:00
S102370,100.0,2.54,0.17,5.9,2024-02-24 00:00:00
S102371,78.1,3.45,2.46,19.84,2024-07-03 00:00:00
S102372,94.35,1.74,4.7,18.83,2024-04-29 00:00:00
S102373,83.87,2.67,0.59,20.93,2024-01-23 00:00:00
S102374,78.89,7.21,2.93,20.79,2024-03-25 00:00:00
S102375,74.33,4.31,0.35,11.45,2024-02-15 00:00:00
S102376,60.1,1.74,0.31,13.74,2024-03-23 00:00:00
S102377,71.0,2.5,1.95,16.16,2024-01-20 00:00:00
S102378,54.3,2.91,0.16,7.98,2024-01-17 08:36:23
S102379,92.99,5.5,0.01,22.22,2024-04-25 00:00:00
S102380,46.8,0.98,0.95,0.0,2024-09-05 00:00:00
S102381,72.0,2.82,1.98,6.86,2024-05-05 00:00:00
S102382,76.0,3.28,0.57,3.25,2024-04-07 00:00:00
S102383,87.92,1.37,0.02,22.7,2024-01-19 00:00:00
S102384,85.1,2.86,0.93,16.51,2024-01-28 00:00:00
S102385,62.25,2.42,1.22,11.27,2024-03-24 07:35:30
S102386,55.14,0.55,0.69,15.67,2024-02-20 00:00:00
S102387,59.47,3.34,1.22,16.85,2024-02-20 00:00:00
S102388,73.29,3.3,2.24,6.32,2024-04-20 00:00:00
S102389,82.0,2.0,1.24,16.02,2024-04-13 12:28:36
S102390,74.26,2.87,1.46,24.72,2024-01-21 00:00:00
S102391,68.59,2.4,4.14,25.95,2024-03-08 00:00:00
S102392,74.0,3.12,1.19,20.97,2024-12-01 00:00:00
S102393,100.0,3.35,1.5,16.81,2024-10-03 00:00:00
S102394,62.73,3.04,4.66,21.47,2024-02-16 00:00:00
S102395,85.7,3.13,0.87,19.94,2024-02-26 00:00:00
S102396,61.45,3.2,1.96,7.13,2024-03-04 00:00:00
S102397,63.8,1.67,4.1,8.6,2024-05-20 00:00:00
S102398,79.69,5.22,0.82,19.44,2024-02-21 00:00:00
S102399,64.0,2.77,4.5,10.32,2024-03-31 00:00:00
S102400,88.0,3.64,4.65,7.82,2024-02-19 00:00:00
S102401,63.02,3.41,0.86,24.03,2024-03-27 00:00:00
S102402,66.0,4.38,0.86,15.44,2024-04-12 00:00:00
S102403,55.78,3.84,0.02,14.55,2024-04-29 00:00:00
S102404,55.93,1.6,2.21,6.58,2024-05-12 00:00:00
S102405,77.55,4.19,2.98,11.86,2024-03-08 00:00:00
S102406,69.79,2.44,2.15,12.6,2024-04-21 00:00:00
S102407,70.11,2.73,8.0,8.66,2024-05-12 00:00:00
S102408,86.22,3.94,2.84,6.49,2024-04-14 00:00:00
S102409,76.23,5.62,0.57,27.24,2024-05-06 00:00:00
S102410,59.07,2.96,0.15,24.87,2024-05-17 00:00:00
S102411,88.0,2.27,1.49,14.27,2024-05-12 00:00:00
S102412,90.26,3.62,0.61,5.71,2024-05-05 00:00:00
S102413,82.74,5.59,2.43,2.92,2024-05-22 00:00:00
S102414,72.29,3.09,4.9,11.84,2024-02-04 00:00:00
S102415,84.36,3.96,0.44,0.0,2024-05-14 00:00:00
S102416,68.12,2.09,0.02,11.83,2024-05-25 00:00:00
S102417,71.08,3.61,1.09,0.85,2024-01-31 00:00:00
S102418,53.17,2.53,0.17,14.34,2024-02-26 00:00:00
S102419,90.24,2.53,0.9,16.37,2024-03-29 00:00:00
S102420,79.72,3.14,4.05,13.69,2024-04-19 00:00:00
S102421,83.59,3.82,1.22,30.2,2024-04-23 00:00:00
S102422,88.77,1.39,0.84,13.56,2024-05-09 00:00:00
S102423,100.0,4.07,0.93,27.11,2024-04-23 00:00:00
S102424,59.31,0.0,1.76,17.07,2024-04-18 00:00:00
S102425,61.15,1.68,4.33,29.09,2024-05-04 00:00:00
S102426,93.5,3.26,5.28,2.71,2024-03-10 00:00:00
S102427,86.68,4.88,3.04,7.42,2024-03-16 00:00:00
S102428,59.15,1.57,2.03,12.99,2024-04-20 00:00:00
S102429,56.45,2.96,0.41,26.22,2024-02-21 00:00:00
S102430,63.74,3.63,1.96,13.33,2024-02-29 00:00:00
S102431,78.89,3.93,0.77,10.24,2024-02-13 00:00:00
S102432,83.07,0.0,0.7,19.25,2024-03-10 00:00:00
S102433,66.49,2.29,3.62,21.34,2024-02-03 00:00:00
S102434,77.96,3.93,0.54,9.63,2024-02-22 00:00:00
S102435,56.48,2.13,0.55,10.18,2024-06-02 00:00:00
S102436,76.0,6.02,0.6,26.86,2024-03-27 00:00:00
S102437,75.66,4.59,2.23,23.74,2024-03-18 00:00:00
S102438,80.37,6.81,0.35,25.61,2024-02-20 00:00:00
S102439,94.5,3.61,0.32,21.58,2024-04-21 00:00:00
S102440,66.0,5.22,1.28,9.02,2024-04-28 00:00:00
S102441,83.3,0.65,0.79,14.77,2024-01-13 00:00:00
S102442,83.71,2.74,2.84,7.57,2024-03-04 18:05:32
S102443,89.2,2.69,3.2,21.83,2024-02-26 00:00:00
S102444,79.19,3.61,0.17,11.2,2024-03-20 00:00:00
S102445,93.33,3.49,0.62,3.02,2024-02-24 00:00:00
S102446,77.82,4.87,1.07,15.8,2024-04-23 00:00:00
S102447,88.4,2.51,1.65,22.88,2024-02-12 00:00:00
S102448,77.73,2.28,0.25,5.36,2024-02-11 00:00:00
S102449,87.15,4.17,1.29,14.12,2024-03-05 00:00:00
S102450,66.34,0.36,3.14,11.12,2024-05-24 16:02:12
S102451,65.61,5.05,0.94,21.94,2024-02-27 00:00:00
S102452,87.07,3.63,5.55,0.67,2024-01-16 00:00:00
S102453,71.8,0.05,2.47,22.94,2024-03-03 00:00:00
S102454,56.01,2.78,0.07,10.06,2024-04-14 00:00:00
S102455,63.4,1.54,8.0,13.88,2024-03-20 00:00:00
S102456,88.0,1.68,1.86,21.01,2024-02-23 00:00:00
S102457,63.82,3.06,0.36,25.35,2024-01-16 00:00:00
S102458,74.2,1.85,3.45,15.36,2024-02-16 00:00:00
S102459,82.61,4.54,0.62,9.93,2024-02-04 00:00:00
S102460,63.11,3.62,0.66,11.28,2024-02-19 00:00:00
S102461,90.0,2.17,2.1,23.16,2024-03-31 00:00:00
S102462,64.1,4.47,6.64,8.81,2024-04-25 00:00:00
S102463,66.6,3.73,0.87,17.3,2024-03-20 00:00:00
S102464,100.0,2.03,6.33,15.05,2024-02-27 00:00:00
S102465,45.7,3.96,0.69,20.31,2024-03-18 00:00:00
S102466,62.12,2.76,0.16,15.24,2024-02-04 00:00:00
S102467,76.99,4.7,3.15,11.96,2024-01-03 00:00:00
S102468,87.0,2.67,0.13,11.47,2024-04-21 00:00:00
S102469,77.8,5.07,4.16,11.34,2024-07-02 00:00:00
S102470,96.32,2.17,0.69,5.34,2024-04-25 00:00:00
S102471,40.5,3.11,0.55,18.54,2024-02-26 00:00:00
S102472,84.64,4.67,0.15,16.47,2024-03-17 00:00:00
S102473,59.41,2.53,1.47,4.74,2024-04-03 00:00:00
S102474,66.27,3.74,6.72,12.16,2024-05-27 03:29:06
S102475,81.72,3.86,1.36,13.07,2024-04-08 00:00:00
S102476,63.17,4.56,0.92,10.9,2024-01-02 00:00:00
S102477,91.41,3.18,1.17,14.16,2024-06-02 00:00:00
S102478,88.29,4.83,1.06,14.25,2024-02-21 00:00:00
S102479,82.09,2.73,0.39,21.26,2024-01-31 00:00:00
S102480,68.5,3.7,0.78,14.97,2024-04-30 00:00:00
S102481,71.08,0.94,5.07,19.16,2024-02-27 00:00:00
S102482,52.72,4.85,0.85,5.26,2024-03-11 00:00:00
S102483,92.25,0.94,1.21,7.57,2024-05-07 00:00:00
S102484,83.0,3.98,5.68,5.38,2024-03-21 00:00:00
S102485,96.0,1.51,0.34,12.23,2024-04-01 00:00:00
S102486,87.7,1.51,4.74,15.39,2024-03-02 00:00:00
S102487,65.5,2.01,0.96,26.67,2024-02-17 00:00:00
S102488,63.28,1.25,2.13,9.19,2024-02-18 00:00:00
S102489,69.93,5.22,1.89,20.95,2024-02-13 00:00:00
S102490,76.93,1.95,1.56,9.17,2024-03-05 00:00:00
S102491,67.54,2.67,0.58,15.17,2024-01-31 00:00:00
S102492,84.08,4.24,0.16,13.93,2024-04-04 00:00:00
S102493,68.99,2.35,0.96,8.53,2024-01-14 00:00:00
S102494,91.5,1.44,1.53,9.08,2024-03-14 00:00:00
S102495,84.96,3.64,1.95,26.18,2024-02-10 00:00:00
S102496,70.33,1.02,4.07,11.27,2024-04-28 00:00:00
S102497,49.76,3.28,1.12,21.99,2024-03-16 00:00:00
S102498,74.54,5.41,1.42,19.75,2024-05-29 00:00:00
S102499,85.14,5.61,3.69,10.72,2024-03-05 00:00:00
S102500,88.3,2.1,3.0,14.98,2024-05-28 00:00:00
S102501,81.3,4.04,0.82,15.84,2024-02-10 00:00:00
S102502,86.22,3.72,1.35,18.41,2024-03-18 00:00:00
S102503,92.29,2.72,1.08,12.16,2024-03-26 00:00:00
S102504,86.49,4.04,2.76,4.45,2024-09-02 00:00:00
S102505,73.38,1.57,0.67,10.1,2024-02-27 00:00:00
S102506,79.01,2.66,0.81,23.16,2024-05-04 00:00:00
S102507,83.37,2.71,1.86,14.78,2024-01-19 00:00:00
S102508,68.4,3.7,0.72,12.05,2024-04-17 00:00:00
S102509,66.3,3.32,4.12,4.67,2024-03-17 00:00:00
S102510,90.17,3.46,0.35,23.66,2024-03-27 00:00:00
S102511,74.81,1.18,2.6,13.55,2024-02-07 00:00:00
S102512,90.75,4.77,3.07,22.61,2024-03-09 00:00:00
S102513,74.0,3.38,1.36,19.78,2024-02-11 00:00:00
S102514,62.0,2.22,0.95,20.57,2024-05-29 00:00:00
S102515,68.42,3.33,2.78,26.62,2024-05-18 00:00:00
S102516,62.59,1.71,2.96,15.85,2024-02-14 00:00:00
S102517,60.87,6.13,3.16,14.07,2024-05-28 10:22:53
S102518,65.8,1.34,0.57,25.95,2024-06-05 00:00:00
S102519,91.74,0.36,1.09,20.84,2024-02-10 00:00:00
S102520,75.15,1.73,0.7,10.07,2024-04-26 00:00:00
S102521,77.52,3.98,1.29,22.3,2024-05-27 00:00:00
S102522,74.21,2.55,0.18,25.6,2024-01-16 00:00:00
S102523,84.0,3.69,0.11,0.0,2024-04-22 00:00:00
S102524,58.74,4.73,2.09,6.29,2024-02-10 00:00:00
S102525,68.82,2.66,1.49,9.33,2024-04-22 02:00:03
S102526,100.0,2.97,0.79,20.06,2024-03-29 00:00:00
S102527,70.9,2.71,4.12,20.52,2024-02-28 00:00:00
S102528,83.45,2.82,0.72,18.64,2024-01-20 00:00:00
S102529,59.81,2.97,0.74,21.13,2024-08-03 00:00:00
S102530,60.17,3.75,2.93,7.24,2024-03-18 00:00:00
S102531,75.01,3.02,0.01,6.56,2024-03-03 00:00:00
S102532,81.16,2.84,0.57,23.77,2024-05-19 00:00:00
S102533,57.47,2.23,1.46,15.73,2024-03-04 00:00:00
S102534,78.3,4.55,2.12,23.46,2024-05-19 00:00:00
S102535,92.1,3.24,1.27,10.11,2024-04-13 00:00:00
S102536,86.09,0.0,1.27,7.61,2024-05-15 00:00:00
S102537,81.92,4.26,1.41,6.1,2024-02-05 00:00:00
S102538,69.65,1.58,2.93,20.61,2024-05-24 00:00:00
S102539,59.95,1.06,0.23,22.92,2024-03-29 00:00:00
S102540,67.23,3.38,4.59,18.79,2024-03-22 00:00:00
S102541,62.85,2.55,0.23,11.62,2024-02-23 00:00:00
S102542,77.64,1.23,1.46,19.46,2024-05-19 00:00:00
S102543,77.84,0.0,0.39,19.27,2024-04-16 00:00:00
S102544,31.76,5.77,2.07,0.82,2024-03-21 00:00:00
S102545,83.01,1.81,0.44,12.55,2024-03-23 00:00:00
S102546,78.73,3.44,0.87,16.96,2024-03-01 00:00:00
S102547,89.22,3.38,2.34,22.76,2024-05-24 00:00:00
S102548,81.0,2.53,0.16,14.4,2024-01-18 18:04:20
S102549,54.62,3.41,0.29,16.04,2024-05-19 00:00:00
S102550,72.0,2.17,0.04,14.53,2024-02-15 00:00:00
S102551,83.25,0.0,0.68,16.86,2024-05-27 00:00:00
S102552,77.05,3.71,4.79,5.42,2024-01-22 00:00:00
S102553,83.64,2.57,1.79,10.76,2024-03-05 00:00:00
S102554,80.5,0.68,1.07,0.0,2024-01-16 00:00:00
S102555,78.13,2.77,0.07,11.91,2024-04-22 00:00:00
S102556,71.6,3.22,1.65,18.47,2024-02-21 00:00:00
S102557,88.1,4.96,0.91,9.46,2024-03-06 00:00:00
S102558,58.25,5.01,0.19,13.24,2024-05-19 00:00:00
S102559,76.52,2.58,0.74,17.73,2024-03-13 00:00:00
S102560,48.94,4.55,2.58,34.06,2024-04-05 00:00:00
S102561,69.43,1.85,0.49,14.43,2024-02-06 00:00:00
S102562,85.7,3.99,0.18,20.03,2024-03-31 00:00:00
S102563,87.37,1.27,0.53,13.69,2024-05-09 00:00:00
S102564,85.0,4.15,2.44,17.49,2024-01-27 00:00:00
S102565,69.67,3.22,2.3,14.8,2024-03-29 00:00:00
S102566,51.09,3.81,7.74,12.05,2024-05-29 16:47:25
S102567,61.2,4.51,0.0,13.58,2024-05-16 00:00:00
S102568,79.0,2.32,1.34,23.73,2024-01-17 00:00:00
S102569,65.16,6.41,0.1,17.02,2024-04-13 00:00:00
S102570,89.47,4.06,0.81,6.62,2024-05-23 00:00:00
S102571,64.4,3.9,4.71,12.03,2024-02-22 00:00:00
S102572,98.87,4.0,4.86,8.76,2024-04-18 00:00:00
S102573,66.99,2.56,0.26,21.49,2024-05-23 00:00:00
S102574,100.0,2.86,0.6,9.68,2024-05-21 00:00:00
S102575,81.0,3.5,0.65,21.03,2024-02-15 00:00:00
S102576,96.07,5.09,0.3,21.84,2024-03-12 00:00:00
S102577,100.0,2.21,0.93,16.01,2024-02-18 00:00:00
S102578,74.69,3.27,3.48,18.81,2024-02-12 00:00:00
S102579,59.62,1.51,4.27,11.49,2024-01-14 00:00:00
S102580,74.9,0.0,3.48,20.94,2024-05-14 00:00:00
S102581,68.0,0.56,0.04,6.32,2024-04-20 00:00:00
S102582,82.6,0.0,0.33,11.76,2024-01-19 00:00:00
S102583,82.35,3.35,2.46,12.85,2024-04-03 00:00:00
S102584,69.82,2.49,0.47,21.91,2024-02-02 00:00:00
S102585,62.59,0.9,1.52,26.94,2024-01-21 00:00:00
S102586,73.55,2.42,1.22,11.82,2024-05-29 00:00:00
S102587,69.1,0.1,0.23,14.32,2024-02-18 00:00:00
S102588,64.21,0.04,4.7,6.73,2024-02-20 00:00:00
S102589,96.63,2.76,0.44,14.42,2024-03-26 00:00:00
S102590,49.51,3.81,1.22,22.71,2024-10-04 00:00:00
S102591,86.56,2.21,2.12,2.43,2024-01-15 00:00:00
S102592,76.32,2.68,0.9,15.13,2024-01-15 00:00:00
S102593,85.92,1.96,0.48,20.03,2024-03-17 00:00:00
S102594,60.96,3.24,2.04,15.4,2024-03-10 00:00:00
S102595,90.75,6.21,0.48,13.67,2024-03-06 08:29:30
S102596,68.4,2.29,1.74,21.14,2024-03-25 00:00:00
S102597,72.0,3.78,3.1,9.34,2024-05-17 00:00:00
S102598,72.76,6.01,1.43,9.54,2024-03-15 00:00:00
S102599,90.08,2.18,8.0,2.08,2024-02-05 00:00:00
S102600,82.97,3.61,0.78,17.28,2024-02-03 00:00:00
S102601,95.82,4.08,3.86,16.55,2024-04-07 00:00:00
S102602,76.64,1.59,2.11,10.99,2024-09-05 00:00:00
S102603,81.32,0.0,2.17,8.74,2024-04-06 00:00:00
S102604,96.7,2.74,1.22,14.67,2024-01-30 00:00:00
S102605,75.63,4.76,3.67,15.67,2024-01-13 00:00:00
S102606,64.2,3.42,2.86,6.62,2024-05-12 00:00:00
S102607,82.72,2.59,0.19,1.38,2024-04-02 00:00:00
S102608,69.2,3.12,0.86,2.92,2024-04-20 16:25:32
S102609,85.7,0.06,0.69,4.83,2024-03-19 00:00:00
S102610,72.13,6.44,2.15,6.56,2024-03-04 00:00:00
S102611,83.92,1.43,8.0,14.41,2024-01-13 00:00:00
S102612,70.61,1.68,1.48,15.59,2024-03-28 00:00:00
S102613,94.14,3.2,0.87,13.82,2024-02-22 17:08:37
S102614,72.02,4.21,1.06,17.51,2024-05-02 00:00:00
S102615,73.54,5.42,0.56,17.81,2024-01-14 00:00:00
S102616,63.69,2.8,2.12,17.31,2024-04-03 00:00:00
S102617,88.59,2.68,1.49,15.62,2024-02-06 00:00:00
S102618,97.09,3.72,0.5,7.61,2024-10-03 00:00:00
S102619,60.32,5.1,2.43,5.65,2024-04-02 00:00:00
S102620,66.0,2.8,0.08,11.07,2024-01-13 00:00:00
S102621,58.3,3.99,0.16,22.95,2024-02-28 00:00:00
S102622,74.1,3.52,1.22,31.41,2024-01-11 00:00:00
S102623,57.79,0.19,0.87,18.9,2024-01-12 00:00:00
S102624,72.0,2.21,1.57,17.51,2024-05-24 00:00:00
S102625,57.74,0.63,0.57,22.47,2024-04-22 00:00:00
