sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,study_hours_daily,self_learning_hours,motivation_level,adaptability_score,gym_frequency,family_income_lpa,resume_score,communication_skills,aptitude_score,mock_interview_score,hackathons_participated,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,wellness_score,screen_to_study_ratio,backlog_history,attendance_percentage,cgpa,at_risk_flag
7.14,6.81,0.87,4.75,14.75,4.55,0.63,3.15,92.21,0,7.0,60.03,63.67,59.26,49.44,1,3,3,2,0.0,70.73,69.95,1.5,2,79.44,5.34,0
5.16,5.99,1.22,3.52,35.76,6.16,1.04,4.04,48.74,0,39.2,34.32,59.0,75.47,51.95,1,1,2,3,4.23,22.41,65.48,0.97,0,59.99,6.99,0
4.28,10.57,0.01,3.81,56.27,2.14,3.23,4.88,7.4,1,5.5,65.56,95.71,75.99,45.34,1,3,0,5,7.39,65.55,47.06,4.95,1,88.18,5.9,1
4.17,6.5,0.65,5.35,49.33,2.44,2.15,8.54,44.9,3,12.8,79.27,62.45,57.53,37.59,0,3,2,4,4.71,29.23,43.24,2.67,0,69.79,6.51,0
5.82,5.94,2.36,7.17,56.57,4.16,0.51,4.92,89.81,2,3.3,34.85,31.46,91.92,75.97,0,3,0,3,7.24,51.74,44.52,1.43,0,72.14,5.67,1
9.02,8.55,0.76,6.83,35.33,3.64,0.7,10.0,49.36,0,1.0,51.27,65.06,71.23,81.85,2,1,2,1,3.01,38.88,64.06,2.35,1,68.88,5.29,0
5.09,11.39,4.42,6.76,62.85,2.4,0.72,4.06,56.59,1,4.2,21.41,21.17,63.04,39.8,2,5,0,5,6.94,81.24,46.09,4.75,2,99.65,5.79,1
4.27,6.32,2.46,9.89,63.91,4.12,2.36,7.64,62.63,1,1.0,34.69,89.02,29.64,61.05,0,7,1,5,7.81,74.77,33.13,1.53,0,70.0,5.47,1
5.93,6.63,3.42,2.93,55.16,2.93,1.7,6.32,49.59,5,1.4,55.64,71.97,85.95,68.27,2,1,0,2,6.9,28.25,56.19,2.26,1,66.85,6.4,0
5.46,5.96,0.68,3.18,12.59,4.79,1.56,7.65,9.83,2,9.6,41.17,87.06,82.77,63.47,2,2,0,4,4.84,100.0,74.88,1.24,3,90.12,8.16,0
5.31,9.8,0.98,9.19,42.92,3.15,0.24,5.63,61.07,5,3.6,52.34,46.18,54.9,45.72,0,1,0,3,5.42,75.85,41.06,3.11,1,73.28,7.31,0
7.46,7.69,2.02,6.57,41.7,2.79,0.53,5.75,44.56,2,5.7,65.9,72.4,55.04,82.96,4,0,0,2,10.0,46.03,53.07,2.76,1,64.35,7.07,1
4.31,10.66,0.58,6.35,70.08,3.72,1.22,3.57,60.85,2,12.3,73.44,39.84,57.21,32.3,2,4,1,4,6.13,89.25,37.34,2.86,0,71.33,6.15,1
5.2,8.02,1.75,1.0,62.63,1.13,1.85,5.16,62.8,0,1.2,57.48,81.65,56.02,41.24,0,2,1,2,7.5,66.93,58.16,7.09,1,81.65,8.87,0
7.38,5.51,2.57,4.79,38.26,4.2,4.45,3.45,61.09,2,4.6,40.41,60.16,57.41,38.07,2,5,1,5,4.67,70.45,60.65,1.31,2,79.53,5.13,1
5.32,12.2,3.35,6.74,36.02,3.56,2.98,7.49,76.56,2,4.3,84.71,67.21,77.68,71.23,0,3,0,1,5.24,18.75,47.22,3.43,2,84.92,5.71,0
5.32,6.79,1.47,5.51,56.15,0.66,0.3,9.47,84.92,6,1.7,9.98,50.5,55.7,29.84,0,1,2,2,7.14,54.9,51.78,10.35,0,83.88,5.11,0
5.76,3.69,3.39,5.96,34.78,1.72,0.34,6.17,52.62,1,3.1,52.73,37.37,50.83,36.62,4,2,0,3,9.81,57.13,53.1,2.15,0,62.93,6.89,0
5.0,6.53,0.72,4.15,66.55,5.12,3.66,7.08,54.57,4,3.9,96.36,58.56,44.17,35.39,2,1,2,3,4.97,16.74,40.75,1.28,0,54.62,7.89,0
6.46,8.65,0.42,6.49,47.99,2.85,4.42,7.28,43.03,1,1.0,39.82,56.42,35.6,54.99,1,3,2,6,7.63,46.68,46.27,3.03,1,83.89,7.98,0
7.63,10.18,1.39,5.77,51.84,4.07,0.93,7.07,55.01,0,2.6,55.1,38.8,51.84,62.72,1,0,2,2,5.79,69.44,51.17,2.5,1,100.0,6.62,0
6.37,7.65,3.94,8.68,62.55,4.63,3.8,8.12,37.3,2,13.1,23.41,73.12,56.49,51.93,0,2,1,4,4.97,47.67,36.13,1.65,3,85.6,6.06,1
7.68,7.9,0.86,7.73,49.95,3.75,0.71,6.26,75.35,2,1.9,36.6,78.86,33.33,81.66,0,0,1,1,2.02,29.05,46.33,2.11,0,86.79,7.19,0
5.65,5.74,3.49,10.0,29.6,3.76,2.73,5.73,92.01,2,26.5,53.23,39.55,61.4,82.16,1,2,1,4,4.82,36.62,45.12,1.53,0,44.43,8.0,0
5.97,6.36,1.31,7.12,38.76,1.53,0.18,6.21,81.26,1,8.6,58.76,80.72,62.98,17.57,0,1,1,6,4.48,34.47,49.7,4.16,0,50.0,9.79,0
8.65,4.76,0.89,5.73,75.8,0.0,0.53,8.24,29.13,2,12.6,37.85,63.94,53.06,45.12,2,3,0,4,2.52,51.75,51.43,19.03,0,70.76,8.57,1
6.12,7.29,0.8,6.89,31.39,6.27,0.59,5.37,84.53,2,9.2,35.23,74.81,92.99,69.34,0,2,0,3,7.58,44.32,57.33,1.16,0,83.65,5.61,0
5.87,3.49,1.1,7.83,59.62,2.18,1.85,8.61,31.12,0,6.3,86.65,84.44,69.56,60.9,0,3,0,2,8.0,77.16,40.73,1.6,0,82.49,7.04,1
6.16,6.72,4.14,5.52,31.43,3.59,1.11,1.21,39.51,4,10.3,79.7,33.05,82.36,77.68,1,1,0,3,7.81,76.62,64.9,1.87,3,63.0,5.8,1
7.8,6.56,1.34,3.64,47.85,1.68,2.26,4.52,44.82,2,9.7,45.14,86.69,47.55,74.05,2,4,1,6,5.39,50.91,70.84,3.91,2,99.0,6.27,0
7.44,5.6,4.72,4.6,50.9,3.72,1.29,7.25,73.27,1,4.6,46.28,75.25,57.15,71.87,0,3,1,4,8.56,39.08,54.1,1.51,0,90.15,6.62,0
7.1,7.02,3.85,7.16,43.76,3.23,0.34,7.67,79.86,2,6.8,50.0,49.45,93.81,52.48,1,1,0,6,0.88,43.39,52.84,2.17,0,84.68,4.81,1
3.26,6.24,1.01,4.76,35.34,3.02,0.44,8.34,54.52,2,1.6,40.31,73.45,53.82,59.06,0,3,1,3,9.02,63.89,50.38,2.06,0,74.76,7.41,0
8.41,10.67,2.67,2.78,48.76,1.48,0.21,6.15,47.79,1,8.5,75.2,43.67,51.49,65.6,1,2,1,2,4.84,85.03,70.06,7.23,1,57.64,7.63,1
4.68,6.92,2.01,4.98,24.13,1.23,0.0,7.58,46.33,2,6.0,61.26,48.75,28.12,80.22,1,3,0,6,3.25,34.32,56.68,5.62,0,90.76,6.58,0
4.63,3.41,0.24,7.18,34.3,2.12,0.26,4.33,77.55,0,7.6,74.62,36.81,50.01,34.76,3,3,3,8,6.9,53.81,45.48,1.61,0,76.48,7.85,1
6.63,3.65,1.99,6.24,16.54,4.36,0.53,9.24,52.6,1,19.4,28.13,34.6,50.6,37.38,1,2,2,2,4.12,33.62,62.82,0.84,0,87.3,5.71,0
7.71,7.56,0.55,7.84,56.92,4.12,0.52,5.52,67.44,4,4.2,73.29,61.05,46.1,26.48,2,4,2,4,3.64,40.21,47.17,1.83,0,75.9,7.51,1
6.46,9.35,1.67,6.76,37.7,5.66,0.42,5.99,52.2,2,3.9,50.33,50.22,35.79,66.13,3,3,1,4,7.99,45.26,53.51,1.65,0,65.96,5.59,0
5.7,5.59,0.1,4.18,67.88,1.24,2.9,3.19,70.82,1,11.3,69.2,61.32,66.95,51.5,2,2,0,2,7.27,27.94,42.45,4.52,0,73.5,6.73,1
4.28,8.51,7.21,6.44,56.95,3.65,6.12,9.81,68.3,2,1.0,65.38,81.73,61.84,58.15,0,1,2,2,3.96,51.35,49.14,2.33,0,76.0,5.43,1
6.95,5.87,0.29,6.13,25.09,3.14,0.84,7.4,92.4,2,8.4,33.25,68.35,73.37,54.07,1,3,0,2,5.5,44.86,63.6,1.87,0,90.31,7.85,0
6.32,5.02,3.94,5.67,23.71,3.86,7.88,1.51,53.11,4,16.3,32.4,52.35,36.47,67.9,0,2,2,3,8.22,77.95,62.18,1.3,0,92.7,5.62,0
7.41,7.32,3.92,5.33,47.72,0.88,1.73,1.28,63.38,0,6.3,73.04,67.36,28.84,54.87,4,2,2,4,3.24,77.37,56.17,8.32,1,43.26,6.04,0
3.73,5.21,2.12,7.46,15.58,1.28,4.04,7.92,64.17,2,6.4,40.1,76.23,35.39,82.03,2,0,2,3,5.43,48.03,49.6,4.07,1,89.27,4.99,1
6.69,6.95,1.85,8.72,49.92,0.0,1.64,6.18,69.84,1,3.5,49.61,40.26,59.46,50.36,0,3,1,2,6.54,30.02,42.09,27.79,1,58.29,5.36,1
6.24,5.97,0.43,9.55,41.69,3.47,1.19,5.26,65.56,3,4.1,69.87,50.91,75.91,79.14,4,4,0,3,6.24,54.43,47.65,1.72,2,73.61,8.18,1
6.11,8.52,1.22,4.8,36.01,4.18,8.0,5.57,56.09,3,2.1,37.53,54.81,47.38,69.01,4,3,0,1,2.2,69.27,66.55,2.04,0,50.0,7.42,1
3.65,7.91,0.72,7.41,32.16,4.24,0.17,9.4,78.71,1,4.6,65.64,87.83,39.37,57.42,1,2,0,7,6.03,29.1,43.05,1.87,1,78.44,4.12,0
5.17,8.88,0.52,5.55,5.66,1.01,0.06,4.82,40.5,3,3.6,71.06,48.03,67.36,74.86,2,2,1,4,7.22,74.52,67.37,8.82,1,93.48,7.71,0
6.77,6.7,0.59,1.0,33.28,5.08,2.99,6.19,39.9,0,6.7,56.64,61.98,66.39,50.76,1,1,1,4,3.85,43.95,69.93,1.32,1,88.95,5.33,0
5.16,9.16,0.01,4.31,74.79,4.73,0.12,7.74,76.94,4,13.0,47.52,58.06,48.48,100.0,3,2,0,4,5.37,41.94,50.68,1.94,1,71.06,4.7,0
6.03,5.98,2.3,4.4,67.85,1.14,1.55,4.61,70.1,0,1.0,55.65,63.51,58.76,49.7,3,4,0,3,0.0,45.95,47.84,5.24,1,89.0,5.25,0
4.87,8.41,5.87,10.0,61.93,2.41,0.07,7.58,42.08,3,1.3,55.09,44.06,45.48,58.14,1,1,2,5,9.71,15.81,33.47,3.5,1,71.54,4.84,1
6.12,9.35,0.39,8.37,27.44,3.12,1.7,5.36,45.12,4,1.3,64.58,56.69,46.29,33.93,1,4,1,5,4.62,39.93,52.09,2.99,1,89.77,6.49,0
5.1,7.01,0.58,4.12,4.62,2.78,2.73,1.0,65.46,2,3.1,72.97,71.06,65.96,92.08,1,5,0,7,3.71,58.11,72.22,2.52,0,100.0,6.79,0
6.06,3.12,1.13,4.41,72.6,0.0,0.39,6.37,62.16,1,5.4,40.9,66.81,30.7,45.52,0,2,1,4,0.0,31.55,40.7,12.48,0,81.92,10.0,1
7.39,2.24,2.84,7.95,27.94,1.6,0.23,1.57,94.56,1,16.3,72.15,78.36,68.24,74.1,1,2,2,7,2.67,86.41,53.11,1.4,1,78.0,8.24,0
5.45,4.37,0.68,4.6,34.02,3.11,0.64,5.64,49.55,1,4.7,80.3,53.66,87.7,77.17,0,3,1,4,4.13,100.0,53.27,1.4,2,74.82,6.31,0
4.11,2.45,0.22,6.45,49.95,3.55,1.51,3.23,50.4,3,6.9,86.54,16.94,61.41,43.75,0,3,1,5,2.7,56.61,43.93,0.69,2,87.73,4.72,1
3.2,6.69,0.96,3.48,73.32,3.59,0.25,4.91,54.55,4,1.2,67.56,56.45,36.97,81.33,0,1,3,2,4.05,78.21,38.28,1.86,0,45.45,7.49,1
7.29,6.7,0.88,5.69,68.96,0.48,0.84,2.22,51.34,2,2.2,45.92,78.35,35.93,54.71,1,4,0,3,2.88,46.13,50.12,13.92,0,80.0,7.61,1
4.39,6.03,0.17,1.0,43.21,1.99,1.48,3.66,34.13,3,23.0,50.33,59.31,54.45,76.84,0,3,0,4,6.41,61.59,60.17,3.03,0,70.61,9.16,0
7.09,4.54,0.85,8.58,25.55,3.71,4.38,5.89,40.67,3,18.5,41.67,73.58,40.15,86.15,1,5,0,5,5.25,60.58,50.92,1.23,0,100.0,6.71,0
8.63,8.87,0.26,3.13,59.79,0.99,0.72,3.56,74.38,1,2.3,86.52,79.3,39.57,25.27,2,0,0,5,7.16,81.82,68.74,8.97,0,85.02,6.06,1
6.35,6.03,1.76,6.6,39.35,0.0,1.21,4.14,33.82,3,1.0,61.06,79.95,60.04,75.45,2,1,2,2,4.46,64.15,60.66,24.13,0,64.2,6.8,1
7.4,2.68,3.43,5.28,46.02,1.41,2.41,6.1,51.8,5,1.0,32.03,50.84,38.93,48.88,1,2,0,4,3.15,44.34,54.99,1.91,0,52.63,7.3,0
5.85,8.57,0.62,7.84,68.04,0.0,1.22,8.76,45.37,2,3.3,55.64,86.72,32.18,26.41,1,1,1,4,5.0,73.98,31.77,34.27,0,78.62,6.96,1
4.46,8.63,0.18,4.62,64.11,4.77,1.78,5.92,40.05,2,1.4,27.04,52.2,93.63,57.84,1,3,0,4,3.18,43.23,43.9,1.81,1,68.94,8.25,1
8.0,4.32,0.0,1.94,18.18,2.78,1.22,3.74,42.8,3,3.1,80.79,66.02,64.35,69.67,1,1,0,3,5.8,45.46,85.01,1.55,0,70.1,5.56,1
6.3,13.3,2.55,3.67,28.94,2.9,0.94,7.3,51.16,1,4.3,47.3,61.1,55.97,78.3,0,2,1,1,0.0,98.32,70.89,4.58,0,88.17,7.83,1
6.94,3.81,0.63,4.14,40.93,1.71,0.38,1.74,95.23,0,9.4,60.63,68.48,27.78,52.67,2,2,1,1,5.09,27.44,65.47,2.23,2,59.6,8.16,0
9.26,10.18,0.59,8.34,40.95,1.41,0.81,4.82,80.7,1,3.0,34.65,60.57,69.94,48.12,1,3,2,4,4.58,75.89,62.25,7.22,1,65.35,3.88,1
5.8,6.34,0.21,7.57,15.91,3.23,3.34,5.74,59.98,1,1.7,79.9,58.47,50.66,39.34,0,3,2,2,3.93,36.69,59.42,1.96,2,65.43,6.18,0
7.0,5.27,1.43,4.14,13.32,1.71,1.77,6.89,45.93,2,3.2,78.85,59.28,74.87,0.0,0,2,1,4,5.01,55.71,72.42,3.09,0,80.61,7.85,0
4.53,7.21,0.11,7.88,48.12,4.01,0.39,3.91,49.98,2,3.5,54.39,62.94,58.19,54.99,1,6,1,4,2.76,47.44,41.89,1.8,1,100.0,6.95,1
8.16,5.8,1.47,5.62,34.62,4.16,1.54,3.44,33.74,3,9.8,55.64,30.66,49.47,50.29,0,2,0,5,3.25,54.07,64.01,1.39,0,74.46,4.14,1
3.47,6.45,0.24,8.64,45.11,3.63,3.75,5.38,63.49,1,2.1,43.4,99.83,54.73,72.19,2,3,1,5,1.93,47.07,40.83,1.78,0,86.7,8.04,1
6.75,11.16,1.45,1.91,20.83,1.53,0.11,6.32,56.96,2,1.4,75.04,83.39,82.66,40.11,1,4,1,3,5.92,28.98,77.21,7.31,1,71.06,6.13,0
6.74,9.18,0.3,6.68,47.05,3.68,2.07,4.16,73.85,0,1.5,19.25,70.1,96.27,62.87,3,1,0,5,7.69,86.84,46.6,2.5,1,70.55,8.49,1
10.0,4.34,1.34,7.94,50.37,0.0,1.77,4.05,65.67,0,1.0,35.83,55.91,79.5,62.57,0,1,1,3,0.29,66.27,51.38,17.34,0,78.9,9.06,1
6.1,0.94,1.68,8.49,50.74,2.92,1.22,2.4,62.39,2,2.4,73.11,71.86,43.19,54.99,1,1,3,4,6.84,46.18,40.83,0.32,0,66.75,7.42,1
5.44,9.74,0.35,8.76,80.45,2.5,1.06,5.77,94.4,3,1.0,64.6,80.42,40.42,53.09,1,3,0,2,9.02,54.82,27.56,3.9,0,76.2,6.72,1
7.03,6.98,5.71,8.77,29.87,3.91,0.8,6.37,54.04,1,11.8,38.49,54.74,75.25,46.63,2,4,0,5,1.86,66.46,53.68,1.79,1,76.54,8.41,1
5.16,6.4,0.98,5.83,55.88,4.16,0.68,3.43,70.4,1,6.6,21.75,92.44,33.61,42.38,1,4,2,4,4.8,37.24,45.51,1.54,0,58.87,10.0,0
5.81,9.56,2.2,4.73,38.59,3.66,1.04,7.82,21.03,4,6.1,65.55,75.85,54.24,52.89,0,1,0,6,10.0,76.03,61.99,2.61,0,63.82,5.78,0
7.06,4.98,1.35,3.38,39.05,3.2,3.6,7.1,56.02,1,4.8,44.21,41.27,33.33,58.28,3,5,1,4,7.64,39.26,71.52,1.56,0,43.0,6.5,0
8.66,7.06,0.19,5.35,39.53,4.0,0.23,6.55,47.32,1,9.8,70.67,82.58,88.95,69.49,0,5,3,4,0.0,12.81,62.83,1.77,1,87.61,8.5,0
7.93,4.9,1.47,7.92,34.27,3.91,1.5,5.91,100.0,0,12.2,68.55,38.79,6.75,37.29,0,1,0,6,7.87,0.0,56.92,1.25,1,60.48,6.41,1
4.73,5.66,1.69,4.35,57.18,3.96,1.22,3.83,25.74,1,2.9,60.05,56.29,69.08,43.35,2,2,0,3,3.08,69.71,46.35,1.43,0,76.79,5.85,1
7.51,0.26,3.18,5.3,44.9,4.45,0.25,1.26,60.4,0,4.0,47.41,60.61,48.19,37.31,1,1,1,4,6.88,15.92,59.77,0.06,1,97.2,4.67,0
6.12,11.94,1.56,8.24,39.45,0.58,1.98,7.55,66.7,6,6.1,55.64,45.85,25.83,34.01,0,0,3,7,1.37,29.02,50.66,20.75,1,72.91,5.93,1
7.23,10.17,0.47,9.63,33.97,4.51,1.6,6.64,83.56,2,1.0,64.94,68.87,37.15,57.53,3,3,0,2,5.44,64.46,50.24,2.26,1,74.3,5.27,1
5.32,8.38,4.16,5.35,63.63,2.35,4.32,8.15,50.25,0,2.0,49.04,55.16,60.14,76.55,1,4,0,8,4.17,55.3,44.59,3.57,0,61.47,7.43,0
5.07,8.09,0.9,6.7,54.97,1.6,4.94,5.96,75.64,3,12.5,54.82,71.76,59.54,50.78,0,2,0,4,3.84,35.74,45.05,5.05,1,84.22,5.2,1
4.99,12.83,0.25,10.0,42.18,1.98,4.06,10.0,74.15,0,2.8,83.27,13.22,57.56,63.71,1,4,1,3,3.2,17.02,32.38,6.49,0,90.24,7.34,1
5.57,9.15,0.77,7.73,31.65,4.3,0.71,3.26,48.1,3,12.4,41.49,36.69,82.07,39.49,4,5,0,2,2.0,38.26,47.28,2.13,1,97.36,8.71,0
6.48,6.55,1.18,4.41,55.6,3.96,4.16,8.99,61.37,1,9.9,48.37,39.67,72.09,77.67,1,5,1,7,6.29,94.58,50.67,1.66,0,78.39,5.8,0
4.85,6.505,1.25,5.34,30.76,3.01,1.09,1.12,71.05,2,10.7,63.8,53.8,78.1,66.8,3,4,1,5,10.0,31.09,64.78,2.12,0,62.02,6.98,1
8.08,6.0,1.17,4.47,80.99,2.91,7.37,5.09,51.34,5,4.1,52.13,82.26,51.41,70.04,2,6,0,5,8.45,38.94,46.98,2.06,1,54.84,6.43,1
6.9,6.13,1.47,6.02,46.96,1.69,0.17,7.24,57.18,1,5.7,75.26,60.53,55.53,24.91,0,0,0,5,5.19,14.88,45.97,3.63,2,86.01,6.85,0
6.34,6.98,0.13,6.22,40.66,1.82,1.04,2.08,33.09,2,1.1,48.97,65.57,50.32,48.35,1,2,1,1,8.11,41.84,58.96,3.83,1,74.34,4.43,1
6.59,1.66,0.97,5.25,22.5,2.2,5.47,6.09,56.1,1,5.8,38.8,67.27,56.24,57.72,2,3,4,4,4.26,37.13,59.24,0.75,0,75.83,7.81,0
5.73,8.4,0.87,4.19,58.57,2.46,6.0,5.87,29.82,0,1.3,87.71,66.5,85.27,4.09,0,0,3,1,5.1,44.55,54.96,3.42,1,90.0,6.42,1
8.96,8.24,2.67,3.87,65.55,2.59,0.93,4.04,76.33,1,18.5,60.33,47.11,79.74,52.51,1,3,1,2,10.0,20.13,58.22,3.18,0,54.64,10.0,1
6.21,6.97,0.84,5.01,23.15,0.79,1.26,4.28,96.35,0,11.7,37.84,75.86,59.6,60.66,0,1,1,5,3.66,35.95,66.65,8.8,0,100.0,8.27,0
4.63,5.48,1.97,2.17,59.43,4.25,0.55,6.68,52.44,1,3.8,63.27,50.31,76.33,57.12,0,2,2,4,1.92,34.53,52.3,1.29,1,89.17,5.63,0
6.67,8.03,0.45,4.34,63.81,2.81,0.08,1.41,44.03,3,6.5,51.72,42.12,58.18,41.17,4,2,1,3,2.91,54.53,56.19,2.86,0,63.43,6.98,1
5.92,7.54,0.33,4.46,68.44,2.56,2.73,6.51,46.02,2,16.2,49.2,69.94,48.19,76.28,2,2,0,2,4.36,100.0,45.55,2.95,2,74.25,7.53,0
5.34,6.505,0.67,4.57,50.4,4.69,2.24,10.0,28.37,1,3.1,75.32,72.41,31.61,38.13,1,1,1,4,1.96,48.95,49.44,1.31,1,94.72,5.21,1
5.08,8.02,1.98,3.41,10.3,5.43,0.49,4.58,70.19,2,3.2,33.9,70.14,34.6,81.93,0,2,1,6,5.5,50.43,68.74,1.48,3,57.89,9.13,0
4.74,3.84,1.87,6.57,66.7,3.76,2.25,5.93,56.65,0,12.5,66.2,55.94,61.89,40.19,1,1,1,3,5.99,48.56,27.18,1.02,2,66.14,5.6,1
7.08,7.37,1.5,6.3,64.65,1.37,0.03,7.18,62.9,3,2.8,68.41,67.37,57.18,41.84,0,2,0,3,5.75,47.17,50.92,5.37,0,79.41,7.26,1
7.81,4.64,0.12,3.91,55.37,2.91,0.51,9.65,63.76,4,1.0,13.19,55.56,57.63,80.06,0,2,0,3,6.45,43.93,57.65,1.6,0,66.03,7.42,0
5.0,5.55,0.65,3.39,50.53,3.12,0.27,8.42,83.06,1,4.9,73.21,31.98,25.18,42.91,1,1,0,1,7.24,38.0,59.3,1.78,0,79.23,7.88,0
7.1,7.3,0.29,3.64,84.16,3.2,2.61,9.2,57.21,3,14.1,55.64,43.61,34.33,58.65,0,1,2,2,8.25,48.81,45.26,2.28,1,57.14,5.43,0
6.13,6.0,3.29,7.88,60.8,2.77,0.96,7.12,74.72,3,1.6,78.88,30.85,42.75,40.69,1,2,2,6,3.33,40.27,40.15,2.17,2,74.8,7.38,1
5.23,5.85,0.4,4.93,63.31,1.25,3.98,3.48,36.02,0,3.0,68.04,51.22,54.68,54.99,0,2,1,2,3.36,78.54,48.34,4.69,1,76.4,6.67,0
5.96,9.61,3.2,4.72,50.1,3.18,0.19,4.42,56.4,4,6.6,39.9,27.96,49.69,64.19,1,4,1,2,3.13,74.92,55.66,3.03,1,84.83,5.6,1
5.73,3.35,1.74,4.55,54.71,1.52,1.76,5.07,55.58,1,18.8,45.06,33.6,50.17,45.63,1,0,0,4,6.95,65.47,52.07,2.2,1,86.65,5.75,0
5.56,3.1,0.94,6.09,30.57,1.92,1.92,3.86,55.47,3,1.8,49.82,43.98,47.03,15.2,1,2,1,3,5.15,75.04,53.64,1.61,0,91.0,7.93,0
4.3,6.78,1.54,3.33,44.48,5.13,1.37,3.52,53.27,0,4.6,41.57,33.43,57.23,36.84,1,1,2,1,7.58,86.45,56.09,1.32,3,72.8,9.81,0
5.76,8.95,0.66,6.12,32.66,2.93,2.88,4.48,84.71,1,3.1,15.61,74.75,55.32,81.16,2,4,2,5,1.59,54.94,51.02,3.05,0,77.94,6.97,1
7.81,3.85,1.08,2.92,30.39,0.0,5.15,4.84,41.89,2,3.7,28.01,90.8,54.77,55.68,0,2,1,4,5.65,61.94,70.58,15.38,0,54.03,6.34,1
4.91,4.98,2.74,2.46,34.52,1.74,5.92,4.57,27.45,6,1.9,70.51,59.06,57.47,45.1,0,1,1,3,4.65,50.67,64.95,2.87,0,66.91,4.4,0
6.0,10.57,0.83,5.51,38.65,4.4,3.68,6.96,51.85,3,1.5,56.05,55.94,65.16,30.36,1,0,0,1,1.93,56.74,51.52,2.41,0,76.48,7.55,0
7.39,5.69,0.6,1.0,62.64,5.78,2.44,7.35,73.84,1,9.1,52.15,75.06,75.4,70.0,0,2,2,10,6.86,59.73,65.75,0.98,3,76.12,5.88,0
6.65,8.36,1.05,5.38,59.46,2.38,3.21,5.49,100.0,1,1.6,59.78,58.88,68.34,53.38,0,4,1,4,4.35,92.87,50.06,3.51,0,78.94,4.83,1
4.54,9.94,0.8,4.22,32.19,4.92,1.27,4.65,65.1,5,8.3,61.91,92.93,37.89,59.57,2,0,0,4,1.82,35.19,63.11,2.02,0,72.12,8.11,1
6.34,7.52,0.33,6.78,78.62,1.54,0.42,7.1,70.92,1,4.1,55.73,48.1,73.69,83.35,3,3,0,4,4.69,70.74,39.95,4.88,0,81.97,7.43,1
5.76,5.94,0.1,6.68,37.6,2.38,5.84,4.59,56.73,5,12.2,64.66,68.15,39.01,56.42,2,6,1,10,3.94,32.38,48.29,2.5,1,87.66,5.75,0
8.84,6.86,2.6,5.19,46.71,3.07,2.45,9.4,56.64,2,4.1,92.54,45.25,68.2,32.77,2,3,2,3,5.15,45.96,58.39,2.23,1,96.21,7.41,0
6.54,5.7,0.83,3.95,35.53,1.3,1.94,5.04,49.45,2,1.0,56.39,100.0,45.76,89.86,2,2,0,6,5.59,78.32,59.91,4.37,1,77.11,7.52,0
4.92,3.13,1.91,7.87,40.91,3.86,3.86,2.8,41.38,0,4.5,52.48,43.73,56.18,48.87,0,2,0,5,4.04,60.48,49.66,0.81,0,88.72,5.91,1
4.02,2.79,1.69,3.92,54.77,3.75,2.93,5.32,58.57,0,1.0,63.15,44.68,0.0,59.6,2,1,1,5,8.02,26.98,51.29,0.74,1,60.17,5.83,1
5.27,5.77,1.19,2.98,32.49,3.2,1.89,4.52,50.71,2,1.3,93.72,76.01,40.59,48.3,1,3,1,5,5.73,23.34,69.34,1.8,0,83.2,7.63,0
3.0,6.38,1.86,1.78,28.21,3.87,0.24,7.22,38.62,3,38.0,69.94,30.49,31.15,62.1,0,2,0,6,7.85,20.28,61.48,1.65,1,86.54,7.41,0
3.32,3.53,1.73,6.41,34.4,1.26,3.67,6.2,72.4,4,3.9,48.41,62.47,64.11,67.26,2,3,0,3,7.87,40.8,48.14,2.81,1,73.0,6.26,0
5.49,6.505,2.81,4.11,32.65,5.52,2.16,8.24,48.33,1,1.0,19.03,68.17,62.76,65.7,1,4,1,7,6.51,64.5,56.19,1.5,1,63.72,9.14,0
4.41,8.77,0.18,8.29,42.39,5.66,2.0,7.82,62.88,1,1.9,33.73,39.34,83.09,42.63,3,2,0,6,3.6,74.09,45.48,1.55,2,79.32,5.46,1
7.65,2.07,1.05,4.98,25.69,2.53,0.41,7.06,84.01,0,3.1,52.2,38.3,65.73,50.5,1,5,0,2,6.1,50.07,68.1,0.82,0,75.0,6.11,0
6.84,4.88,2.74,9.88,57.46,0.23,3.1,6.35,42.52,2,6.1,59.43,75.19,83.15,69.59,3,1,1,1,7.3,48.91,35.54,19.51,0,91.23,7.58,1
7.2,5.88,0.09,5.11,50.19,5.6,0.9,4.43,27.54,0,8.0,76.92,34.16,58.58,74.06,1,3,1,4,6.16,52.14,58.98,1.05,1,100.0,8.4,0
6.65,7.06,2.33,3.57,37.4,4.18,1.3,2.15,53.92,2,2.6,62.45,71.69,56.24,35.99,1,4,1,3,4.83,50.88,71.17,1.69,0,79.49,5.54,0
7.36,5.91,1.8,7.0,79.22,2.04,0.78,3.87,70.23,1,9.4,71.5,53.41,73.97,63.84,0,3,1,4,1.26,33.05,37.68,2.9,0,80.97,6.9,0
6.53,9.35,0.01,7.89,52.46,0.99,2.63,6.07,52.86,1,34.2,61.06,64.88,67.83,82.83,0,0,1,4,4.9,46.57,40.07,9.43,1,70.63,7.59,1
