student_id,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,gym_frequency,wellness_score,screen_to_study_ratio,extracurricular_hours,survey_date
S102443,6.97,3.77,0.95,7.1,17.3,5.39,58.27,0,63.71,1.4,3.84,2024-03-04
S102444,7.15,7.48,1.99,7.37,20.41,9.97,56.17,1,58.04,2.07,0.04,2024-02-20
S102445,5.71,5.87,0.16,6.64,43.33,7.12,50.44,2,49.9,1.68,2.6,2024-03-06
S102446,5.41,4.9,2.33,4.84,42.28,6.62,61.78,4,53.22,1.01,4.77,2024-04-02
S102447,7.28,6.17,0.37,7.36,39.19,7.9,65.04,3,63.68,2.45,4.21,2024-02-03
S102448,5.69,7.28,2.5,6.93,55.58,4.28,55.64,3,43.21,3.2,0.86,2024-04-10
S102449,7.73,5.68,2.32,5.27,30.8,4.7,75.96,2,69.49,1.36,1.27,2024-04-19
S102450,7.54,3.83,1.45,8.29,95.2,5.46,41.03,0,29.37,10.77,0.56,2024-03-24
S102451,5.81,9.65,0.02,8.04,44.28,10.0,83.06,1,42.42,1.91,6.96,2024-02-22
S102452,6.94,6.505,1.47,4.85,71.25,4.51,82.22,0,47.59,1.71,1.75,2024-02-22
S102453,6.54,7.47,1.4,8.58,28.48,3.85,27.52,2,49.91,29.87,0.68,2024-04-11
S102454,6.24,4.78,0.94,8.42,28.02,7.05,63.13,6,48.44,1.72,1.08,2024-04-22
S102455,8.02,6.75,6.45,8.74,22.29,4.7,48.63,0,62.53,4.37,0.74,2024-02-19
S102456,6.49,8.92,0.19,4.12,39.26,2.75,58.19,2,64.0,5.31,5.5,2024-03-08
S102457,6.76,4.08,6.05,1.0,32.38,4.03,21.41,1,75.78,1.33,5.82,2024-01-02
S102458,3.72,5.83,2.26,8.03,53.82,1.0,83.11,1,35.2,3.16,2.59,2024-04-25
S102459,7.27,5.48,1.81,6.64,49.07,7.97,49.36,3,49.61,1.21,3.14,2024-02-25
S102460,4.43,3.48,1.39,3.2,7.09,2.24,88.4,1,78.07,0.96,0.48,2024-02-15
S102461,5.9,10.59,0.53,2.04,11.34,6.18,62.67,1,74.48,4.87,18.0,2024-03-24
S102462,8.69,3.38,0.05,5.25,47.5,4.2,78.78,0,59.04,0.76,5.78,2024-03-17
S102463,8.94,7.58,0.25,2.05,90.57,5.15,77.85,3,57.93,2.03,4.37,2024-02-17
S102464,5.9,4.53,2.46,6.21,53.13,5.75,33.43,2,46.73,2.23,2.05,2024-02-16
S102465,4.68,5.92,0.16,8.24,41.41,7.95,64.81,1,37.58,1.5,2.34,2024-03-22
S102466,7.0,5.1,4.57,5.85,65.09,5.7,52.31,3,38.2,1.85,1.23,2024-04-09
S102467,5.89,4.67,1.35,5.82,52.62,5.18,37.56,2,41.44,0.99,1.41,2024-02-06
S102468,6.92,6.13,1.12,4.17,39.2,2.9,53.1,3,55.95,2.29,6.66,2024-03-10
S102469,4.56,0.52,1.11,3.54,65.99,7.39,29.16,1,47.97,0.1,2.01,2024-02-06
S102470,8.01,4.02,1.91,6.19,40.83,5.66,57.13,2,60.64,1.85,2.21,2024-03-15
S102471,8.61,6.74,0.01,7.2,38.99,9.33,55.97,0,60.58,2.17,0.99,2024-03-26
S102472,4.42,10.31,0.47,4.32,51.17,1.21,73.18,4,50.04,2.21,7.58,2024-04-27
S102473,5.37,6.27,0.04,5.07,26.02,5.2,50.91,2,58.36,2.48,2.54,2024-02-05
S102474,5.47,4.0,0.29,5.49,34.4,7.56,61.29,2,51.82,1.07,9.73,2024-03-07
S102475,7.47,8.46,0.12,4.71,15.91,8.04,30.31,0,75.03,2.19,5.44,2024-04-26
S102476,3.69,7.34,1.54,6.15,66.34,2.63,38.69,2,38.79,1.61,0.64,2024-04-13
S102477,6.74,3.39,0.46,3.22,28.79,4.8,56.64,0,66.77,1.07,5.53,2024-02-08
S102478,6.13,4.39,0.52,6.74,37.32,4.28,82.5,0,50.57,0.91,14.75,2024-03-18
S102479,5.34,3.17,1.99,6.75,21.84,6.32,40.78,2,56.73,1.16,3.59,2024-02-24
S102480,7.43,8.93,2.66,6.12,60.2,5.75,81.13,3,51.97,2.42,0.59,2024-03-05
S102481,3.72,3.37,1.29,1.0,63.08,4.01,60.4,1,49.12,3.61,1.75,2024-07-04
S102482,4.53,3.2,3.1,5.87,44.15,1.58,62.61,2,43.76,0.66,0.61,2024-03-21
S102483,5.35,6.56,1.39,3.84,22.6,5.85,64.45,2,61.87,7.01,6.13,2024-04-20
S102484,7.44,8.53,1.33,6.05,49.42,3.34,52.14,2,51.28,2.14,1.44,2024-03-01
S102485,5.96,4.62,0.31,6.5,96.2,6.77,72.75,1,26.37,3.06,3.99,2024-02-17
S102486,5.29,7.94,0.07,2.87,88.68,5.57,68.36,3,36.98,5.25,4.29,2024-03-04
S102487,7.12,2.79,1.96,8.72,79.12,2.93,66.63,2,33.11,1.39,9.45,2024-02-07
S102488,5.78,7.98,0.58,6.79,72.19,10.0,80.94,0,39.42,6.38,0.91,2024-04-02
S102489,5.55,6.53,0.01,8.11,54.27,6.42,80.77,0,44.57,1.25,3.97,2024-02-04
S102490,6.03,6.2,1.88,7.14,80.45,4.87,54.78,0,30.93,3.18,5.82,2024-04-11
S102491,6.93,0.71,0.77,7.0,45.11,3.26,60.25,2,51.5,0.27,1.61,2024-01-04
S102492,10.0,8.51,0.82,6.49,5.64,4.68,69.75,1,82.47,2.01,0.4,2024-03-26
S102493,4.93,6.16,0.47,3.89,70.91,7.22,80.73,3,45.33,2.63,0.86,2024-04-28
S102494,6.85,6.56,0.53,6.5,100.0,4.82,48.92,1,24.33,4.56,9.3,2024-02-12
S102495,6.24,3.41,0.67,6.99,36.6,2.23,83.86,0,52.22,0.94,12.77,2024-02-15
S102496,6.1,9.6,1.35,5.05,100.0,8.42,77.63,1,28.91,9.41,3.68,2024-04-27
S102497,8.59,5.03,1.66,8.65,42.84,3.62,77.97,3,51.76,1.53,3.16,2024-02-07
S102498,7.55,7.1,0.17,8.02,68.65,6.22,61.92,1,41.93,1.31,8.78,2024-04-07
S102499,7.41,5.73,8.0,5.88,25.13,1.01,56.51,3,70.02,1.02,6.6,2024-03-07
S102500,5.84,5.39,2.43,4.88,86.53,2.1,49.22,3,41.05,2.57,4.23,2024-03-09
S102501,5.29,7.76,4.26,7.46,28.91,8.32,22.3,2,52.08,1.92,10.84,2024-02-03
S102502,6.88,7.37,0.05,10.0,26.87,3.13,54.91,2,47.46,1.98,12.45,2024-02-11
S102503,6.07,9.34,0.98,8.88,13.33,5.21,49.02,4,58.94,3.44,5.35,2024-04-14
S102504,5.67,4.86,0.2,3.22,82.53,4.43,76.91,1,46.98,1.2,10.87,2024-04-04
S102505,7.41,8.15,0.57,3.85,63.61,2.46,41.49,1,56.75,5.18,1.93,2024-03-04
S102506,4.79,3.78,2.19,4.71,24.04,2.8,52.73,2,51.41,1.42,13.33,2024-02-29
S102507,5.46,6.41,2.61,7.84,42.77,2.57,69.21,5,47.64,2.37,0.68,2024-02-18
S102508,7.58,2.02,1.41,7.91,67.33,5.71,68.96,6,39.29,0.55,6.99,2024-02-22
S102509,6.37,6.2,2.83,4.32,53.16,6.69,74.31,3,54.98,1.87,0.18,2024-02-01
S102510,7.41,5.75,0.09,6.25,40.24,5.14,42.86,0,59.88,1.66,6.48,2024-03-14
S102511,5.29,4.47,0.1,4.13,11.3,10.0,38.66,1,67.45,3.78,1.79,2024-02-20
S102512,7.47,4.48,0.12,3.65,0.0,5.04,64.91,0,76.34,0.94,2.51,2024-04-17
S102513,5.49,5.73,0.18,6.03,6.47,6.37,43.08,3,66.67,1.7,0.85,2024-08-02
S102514,8.38,9.03,0.39,5.17,15.71,1.0,63.17,1,72.16,4.07,3.2,2024-02-17
S102515,7.59,5.95,1.17,5.58,33.58,4.13,64.61,2,64.19,1.79,1.03,2024-06-03
S102516,7.14,6.37,1.61,10.0,25.8,9.91,45.48,2,51.79,3.71,6.65,2024-03-26
S102517,8.64,7.26,2.46,1.2,25.52,7.08,69.12,1,72.91,1.18,6.09,2024-04-12
S102518,6.98,9.65,1.59,6.44,38.68,4.23,74.03,1,57.03,7.2,4.47,2024-02-20
S102519,5.61,9.0,1.25,5.82,34.71,5.39,58.92,2,55.86,24.79,0.91,2024-02-12
S102520,8.67,7.59,0.76,6.88,44.49,3.45,80.41,3,52.75,4.39,0.66,2024-04-29
S102521,6.98,2.07,0.98,8.07,17.39,2.49,48.48,1,65.91,0.52,1.08,2024-04-17
S102522,8.2,7.86,0.0,8.49,48.18,5.82,62.72,2,44.05,3.08,1.6,2024-04-04
S102523,6.71,4.76,1.56,5.53,31.99,6.38,60.58,3,60.56,1.29,1.73,2024-03-14
S102524,8.13,7.45,2.88,7.55,38.51,9.41,42.64,3,59.22,1.58,0.9,2024-04-18
S102525,5.29,4.42,0.96,4.48,45.78,5.62,61.49,2,51.88,1.66,7.55,2024-02-06
S102526,4.74,7.72,2.75,5.62,41.42,7.68,60.94,1,44.87,2.6,1.28,2024-09-02
S102527,4.54,5.32,2.22,4.06,49.21,6.51,79.38,1,52.92,1.97,0.33,2024-03-21
S102528,7.57,5.22,2.71,6.97,72.57,6.65,89.54,1,44.69,1.85,0.55,2024-04-13
S102529,3.76,6.87,0.34,6.29,52.67,3.92,58.81,3,43.82,2.32,3.04,2024-03-20
S102530,4.02,2.79,1.69,3.92,54.77,5.32,58.57,0,51.29,0.74,0.14,2024-02-16
S102531,4.53,9.19,1.01,6.94,48.95,1.59,54.18,1,40.99,3.04,3.38,2024-04-10
S102532,6.84,6.26,0.58,7.3,60.62,6.49,85.04,0,46.38,2.2,3.41,2024-02-18
S102533,7.12,5.99,1.11,6.72,23.36,5.56,100.0,1,67.22,2.68,5.01,2024-04-12
S102534,5.37,4.04,0.77,3.92,19.13,5.12,68.75,2,71.1,0.89,1.82,2024-04-17
S102535,7.61,8.0,0.38,8.9,56.22,7.35,61.76,1,45.36,2.47,2.83,2024-04-08
S102536,6.96,3.67,2.33,8.85,3.81,4.86,76.66,3,64.88,14.67,0.13,2024-02-04
S102537,8.21,9.02,1.12,9.14,23.2,7.49,56.72,4,51.73,2.12,6.15,2024-04-08
S102538,7.84,6.505,0.58,6.78,77.55,6.12,55.83,3,37.93,2.67,2.39,2024-02-18
S102539,5.55,6.48,2.26,6.1,83.39,6.91,41.33,0,32.97,6.13,2.22,2024-03-31
S102540,6.8,4.47,4.19,2.7,51.09,5.64,46.38,2,54.62,1.32,3.19,2024-04-13
S102541,6.29,6.42,1.74,6.35,82.04,9.24,52.51,4,35.17,2.52,3.81,2024-09-03
S102542,7.17,8.29,0.21,5.03,61.23,4.4,65.3,2,53.22,6.76,7.0,2024-03-09
S102543,6.81,4.78,0.15,9.78,46.25,5.26,60.08,5,44.44,19.13,9.57,2024-02-22
S102544,6.56,3.4,1.13,4.26,39.85,5.15,31.32,5,62.07,0.59,8.8,2024-02-28
S102545,7.52,5.73,0.98,9.14,61.44,5.86,38.88,1,46.63,3.16,2.39,2024-02-04
S102546,6.61,4.3,2.23,1.0,23.57,4.27,61.38,4,78.11,1.25,5.76,2024-03-31
S102547,7.55,6.83,0.55,6.93,32.92,1.92,79.0,7,56.56,2.02,3.61,2024-03-25
S102548,6.58,3.26,0.14,3.55,31.14,7.86,50.07,1,62.16,1.29,6.92,2024-03-21
S102549,6.31,4.94,0.14,5.75,41.98,4.0,61.19,2,61.29,1.45,0.65,2024-12-04
S102550,7.82,8.13,0.64,6.21,65.97,4.59,66.82,1,47.65,3.75,0.36,2024-03-19
S102551,7.86,6.66,1.19,3.82,59.05,3.76,41.5,3,61.14,26.66,8.85,2024-03-17
S102552,8.26,3.73,2.64,4.21,40.72,4.36,90.51,2,74.39,1.01,10.72,2024-02-20
S102553,7.41,5.49,0.17,5.05,53.68,3.03,67.03,1,56.98,2.14,2.21,2024-03-08
S102554,6.23,6.76,1.4,3.97,27.38,2.55,100.0,3,67.45,9.95,0.67,2024-04-29
S102555,6.8,8.14,1.44,7.25,57.07,5.48,35.04,1,50.88,2.94,7.08,2024-02-02
S102556,6.75,3.91,1.62,4.63,72.39,5.75,59.71,1,52.33,1.21,5.34,2024-04-12
S102557,4.07,6.64,1.06,5.52,38.02,4.38,96.37,4,62.23,1.34,7.74,2024-02-25
S102558,4.96,3.98,2.55,3.73,23.7,5.8,81.46,1,63.7,0.79,3.4,2024-04-14
S102559,8.66,2.35,1.86,5.57,0.0,2.55,68.15,0,76.74,0.91,14.67,2024-04-25
S102560,6.45,8.81,6.1,5.38,41.66,4.77,13.85,1,59.35,1.94,3.4,2024-04-29
S102561,3.0,7.81,2.24,7.73,20.78,5.1,85.83,1,37.78,4.21,0.93,2024-03-12
S102562,6.36,7.97,0.73,9.34,38.07,10.0,58.81,1,45.0,2.0,2.41,2024-04-16
S102563,6.75,8.53,1.31,4.44,61.68,4.64,78.21,1,54.4,6.7,2.06,2024-04-28
S102564,4.81,5.68,1.34,6.25,25.95,7.59,40.87,0,53.84,1.37,1.71,2024-02-02
S102565,9.71,9.56,2.73,5.37,41.7,4.06,59.93,2,69.87,2.97,4.64,2024-03-12
S102566,8.1,8.46,0.4,5.37,37.26,3.52,54.85,0,60.12,2.22,5.6,2024-02-17
S102567,7.66,4.53,1.24,7.39,47.52,6.37,93.34,3,50.86,1.0,3.42,2024-03-21
S102568,6.26,5.27,1.44,6.85,39.77,4.01,57.91,2,51.21,2.27,7.19,2024-02-24
S102569,7.2,2.31,2.34,5.66,66.37,5.04,77.11,0,56.03,0.36,7.27,2024-02-11
S102570,7.7,1.35,1.15,2.79,53.42,6.88,60.93,2,61.04,0.33,4.56,2024-02-11
S102571,7.19,7.96,0.08,5.37,19.45,3.78,62.6,2,67.15,2.04,1.77,2024-04-27
S102572,5.59,7.74,2.97,9.98,79.26,5.92,63.16,0,22.13,1.93,13.67,2024-02-23
S102573,6.79,4.26,4.05,6.18,46.53,4.56,62.28,2,57.38,1.66,1.98,2024-04-06
S102574,6.71,7.85,1.49,6.63,54.08,5.08,35.82,1,44.48,2.75,0.48,2024-02-25
S102575,6.93,6.25,1.86,2.98,37.37,5.78,87.15,3,66.44,1.79,4.33,2024-03-29
S102576,5.07,2.69,2.91,4.69,83.69,7.17,76.69,4,44.23,0.53,5.82,2024-09-03
S102577,6.89,7.75,0.24,1.13,80.38,6.33,36.05,2,56.53,3.5,10.89,2024-03-27
S102578,6.52,7.57,0.49,5.48,27.43,6.33,91.78,2,67.99,2.32,0.6,2024-04-13
S102579,6.85,7.7,0.17,6.01,53.97,8.03,92.17,1,45.25,5.09,0.53,2024-02-10
S102580,6.8,4.48,0.95,7.41,31.02,1.0,60.25,2,54.88,17.93,4.97,2024-03-21
S102581,4.5,2.77,1.2,6.99,64.96,7.1,63.09,2,33.35,4.92,4.28,2024-02-16
S102582,7.71,7.27,0.03,7.71,59.75,2.26,76.03,4,45.06,29.09,2.07,2024-04-06
S102583,7.55,9.13,0.36,8.94,66.83,3.97,12.8,3,43.77,2.73,3.34,2024-03-03
S102584,4.63,14.0,3.46,6.88,54.32,6.92,73.24,3,38.6,5.62,0.39,2024-11-02
S102585,6.37,1.29,1.26,7.4,41.84,7.19,53.86,0,49.11,1.44,2.37,2024-04-11
S102586,5.32,5.25,0.65,3.09,54.83,3.58,57.36,2,52.91,2.17,4.75,2024-09-04
S102587,5.87,8.75,1.82,5.1,69.11,7.33,68.74,1,42.14,35.0,4.66,2024-02-29
S102588,7.9,7.83,1.36,7.5,37.78,5.72,33.22,1,55.02,31.31,1.99,2024-02-25
S102589,7.24,9.03,2.41,5.25,34.13,5.23,50.92,4,59.87,3.27,6.64,2024-02-14
S102590,9.26,3.16,1.67,3.25,0.0,6.7,50.43,2,78.63,0.83,3.89,2024-03-12
S102591,6.62,3.3,1.05,7.65,64.55,9.45,46.66,1,43.37,1.49,6.01,2024-03-06
S102592,4.93,8.08,1.3,3.3,73.33,3.23,55.23,1,45.3,3.02,6.56,2024-03-09
S102593,6.64,1.22,1.62,5.68,77.89,8.33,67.33,1,38.44,0.62,2.55,2024-07-02
S102594,3.07,5.08,2.11,9.0,77.16,5.4,74.24,1,14.08,1.56,1.8,2024-10-02
S102595,8.96,2.37,0.1,4.81,43.36,6.6,71.66,2,69.29,0.38,3.21,2024-04-07
S102596,6.84,6.7,0.35,5.8,63.85,4.73,46.08,1,52.3,2.93,2.02,2024-04-03
S102597,7.09,5.73,1.77,3.24,23.7,5.12,83.51,1,71.15,1.51,1.22,2024-02-16
S102598,6.68,10.12,0.44,10.0,86.37,1.0,36.54,3,17.16,1.68,5.69,2024-06-04
S102599,5.27,5.69,0.34,5.06,48.52,7.59,76.68,4,43.46,2.61,3.07,2024-04-07
S102600,6.29,9.76,0.75,2.39,69.87,7.44,46.58,2,61.32,2.7,0.83,2024-02-16
S102601,5.36,7.17,1.38,2.86,40.91,6.28,45.05,3,58.85,1.76,0.31,2024-03-18
S102602,5.74,5.52,0.45,5.07,29.6,5.9,65.27,2,61.02,3.48,2.42,2024-02-26
S102603,6.91,2.73,1.13,8.13,50.82,5.57,53.18,3,44.88,10.91,6.4,2024-02-16
S102604,4.76,7.82,0.58,5.57,41.68,6.89,71.21,1,52.55,2.86,0.78,2024-05-03
S102605,8.72,4.89,0.82,3.61,58.01,5.21,56.29,4,63.04,1.03,2.8,2024-02-24
S102606,4.94,10.86,1.85,2.77,46.08,3.31,50.3,2,58.36,3.18,3.94,2024-03-19
S102607,7.58,6.505,0.67,8.48,21.67,4.37,72.93,2,60.46,2.38,7.5,2024-02-25
S102608,5.53,7.74,4.13,3.75,19.2,5.71,67.25,2,59.59,2.48,0.23,2024-03-21
S102609,4.68,8.11,0.09,4.36,78.02,9.54,43.27,1,42.08,32.43,1.75,2024-03-07
S102610,6.94,0.1,2.81,4.72,41.65,6.73,83.22,2,57.01,0.02,5.94,2024-02-20
S102611,6.63,4.78,1.84,4.52,69.1,6.89,61.31,1,47.92,3.35,6.91,2024-04-09
S102612,6.08,6.84,0.05,5.68,31.27,3.26,85.03,2,52.53,4.07,3.86,2024-03-14
S102613,6.31,7.62,0.77,5.37,33.68,4.65,68.42,1,60.39,2.38,2.94,2024-04-27
S102614,5.51,6.24,3.34,4.76,42.71,5.42,47.14,3,51.84,1.48,2.78,2024-03-07
S102615,6.97,10.13,1.36,8.35,40.45,2.11,100.0,1,47.45,1.87,10.94,2024-04-28
S102616,5.7,8.89,1.59,6.87,39.67,4.64,68.35,1,50.27,3.18,10.34,2024-04-19
S102617,6.4,8.74,0.44,3.08,91.31,3.51,61.14,3,47.94,3.26,9.56,2024-03-14
S102618,7.91,9.71,2.4,6.03,32.98,3.63,74.71,5,51.94,2.61,9.09,2024-03-05
S102619,4.52,2.93,1.06,6.56,53.17,5.67,56.9,1,45.46,0.58,7.05,2024-03-29
S102620,5.56,8.87,0.98,8.68,23.33,6.82,65.93,1,45.65,3.17,1.98,2024-02-17
S102621,5.41,6.05,7.46,1.0,54.73,3.05,63.0,3,56.24,1.52,3.61,2024-03-16
S102622,5.24,2.91,5.28,6.38,83.35,5.43,45.57,3,38.53,0.83,3.74,2024-08-02
S102623,4.47,8.39,1.84,5.49,42.82,8.34,55.42,2,53.71,33.58,7.14,2024-03-16
S102624,5.96,10.04,0.08,3.02,85.37,4.55,61.64,0,46.28,4.54,2.23,2024-04-20
S102625,6.55,8.98,0.31,6.15,56.45,2.46,59.18,3,42.51,14.2,17.98,2024-04-11
S102626,6.17,8.05,0.19,6.85,70.69,3.54,56.04,3,36.49,2.06,0.26,2024-03-23
S102627,4.11,5.53,0.97,6.0,34.83,4.82,25.74,2,50.0,1.51,0.28,2024-03-25
S102628,7.27,11.42,0.3,6.95,46.63,1.95,63.29,0,56.01,3.49,0.17,2024-04-15
S102629,7.31,8.06,1.6,5.22,75.21,7.02,68.71,3,46.17,2.56,4.09,2024-02-27
S102630,6.42,5.59,2.65,4.88,45.97,7.28,80.82,1,55.08,1.51,0.96,2024-03-13
S102631,4.93,3.88,2.01,6.87,18.39,4.23,57.43,3,57.09,1.5,2.61,2024-03-16
S102632,5.13,6.39,0.13,6.16,64.39,9.49,84.03,3,36.05,5.21,1.15,2024-04-20
S102633,9.03,2.34,3.26,1.33,0.0,7.63,41.81,2,96.77,4.16,0.32,2024-03-31
S102634,8.71,8.89,2.82,4.88,53.73,4.2,92.23,3,58.15,1.81,0.23,2024-04-19
S102635,6.98,9.05,1.13,7.5,41.14,7.09,71.86,3,52.85,6.56,4.31,2024-04-17
S102636,5.04,5.77,0.19,5.45,78.02,7.26,74.15,2,37.26,10.06,2.88,2024-04-10
S102637,8.07,2.74,0.31,5.83,42.43,7.98,39.85,0,53.28,1.11,7.43,2024-03-24
S102638,6.56,4.81,2.95,3.7,68.63,5.34,51.42,2,50.62,0.72,0.67,2024-03-06
S102639,8.64,10.87,0.2,6.33,44.18,3.75,62.65,0,54.64,2.53,6.12,2024-04-07
S102640,5.51,10.54,0.87,8.21,70.47,4.57,62.45,3,33.1,2.59,5.82,2024-03-15
S102641,6.96,8.16,0.44,6.83,55.67,8.49,32.57,1,52.58,4.79,0.02,2024-02-19
S102642,6.01,10.56,1.64,3.15,78.35,6.69,69.17,3,48.05,2.72,13.74,2024-02-11
S102643,7.35,9.0,1.09,8.18,34.93,10.0,68.24,2,54.06,6.38,2.45,2024-02-04
S102644,5.42,5.38,1.4,4.1,18.6,5.88,56.04,0,67.64,1.82,4.52,2024-04-29
S102645,7.58,4.79,0.47,7.34,31.57,2.74,44.26,1,58.51,0.87,5.21,2024-02-16
S102646,5.77,8.29,0.06,7.9,61.88,4.08,33.91,6,32.81,3.64,2.81,2024-03-02
S102647,5.07,9.46,0.48,6.96,48.13,4.82,27.21,3,46.3,5.33,0.3,2024-02-17
S102648,7.1,1.21,2.68,3.58,21.78,4.96,87.97,0,74.83,0.32,0.83,2024-06-02
S102649,6.63,6.6,0.34,2.23,40.37,4.39,97.79,3,72.32,2.18,4.02,2024-12-04
S102650,3.36,4.03,0.9,5.1,39.29,2.52,72.31,2,46.44,7.16,2.48,2024-03-20
S102651,6.25,1.93,1.62,3.05,21.98,2.4,71.88,2,72.93,0.65,0.42,2024-03-19
S102652,6.45,4.89,0.73,6.47,14.27,6.75,51.57,4,70.81,2.36,3.61,2024-03-07
S102653,6.56,6.66,1.41,10.0,34.67,8.96,55.61,2,43.51,1.77,2.54,2024-03-28
S102654,9.15,7.25,2.19,5.23,32.37,8.21,42.36,1,69.89,3.44,6.61,2024-04-12
S102655,5.41,6.93,0.19,8.59,65.75,4.53,58.65,3,32.65,1.8,1.42,2024-02-24
S102656,6.28,8.1,0.6,7.43,14.74,7.52,38.52,0,55.06,1.8,5.51,2024-04-14
S102657,3.94,5.57,0.43,2.21,61.48,3.34,94.23,1,51.73,1.64,7.32,2024-04-20
S102658,4.27,3.76,1.26,6.3,25.59,4.36,15.95,1,56.72,0.87,0.01,2024-04-03
S102659,5.5,6.505,0.97,2.36,19.27,10.0,35.45,1,74.17,2.06,0.08,2024-02-07
S102660,6.12,11.94,1.56,8.24,39.45,7.55,66.7,6,50.66,20.75,3.38,2024-04-27
S102661,6.03,3.55,4.72,3.62,32.23,5.99,57.43,0,66.8,1.36,0.56,2024-02-19
S102662,7.19,4.01,0.47,4.95,42.43,3.94,73.24,3,60.75,0.62,2.83,2024-03-08
S102663,7.32,3.36,1.31,5.55,56.54,6.46,63.18,2,51.43,1.72,3.34,2024-04-06
S102664,7.71,6.72,1.29,6.08,31.07,4.08,72.49,1,65.4,7.33,0.13,2024-04-27
S102665,6.07,6.47,5.22,6.66,31.3,5.8,74.92,0,54.47,2.34,2.09,2024-03-22
S102666,6.99,4.45,0.77,6.01,28.96,7.54,47.18,0,61.71,0.97,4.89,2024-03-02
S102667,5.3,6.9,6.37,4.71,26.93,10.0,53.88,3,58.48,3.11,0.77,2024-04-08
S102668,6.8,7.15,0.17,3.41,63.6,6.13,61.47,1,57.45,1.81,5.41,2024-03-27
S102669,6.97,7.72,0.06,4.5,62.71,7.94,54.96,1,45.99,1.75,4.38,2024-02-13
S102670,5.6,6.42,0.35,1.88,49.64,7.99,66.05,1,69.79,2.63,0.73,2024-05-02
S102671,3.0,5.37,0.15,6.28,56.91,1.0,54.02,1,42.28,1.66,13.75,2024-03-01
S102672,5.39,6.505,0.49,3.22,71.09,5.89,52.04,1,46.89,1.59,2.85,2024-03-06
S102673,9.89,1.5,0.16,3.27,61.66,4.58,81.84,1,63.61,1.08,0.39,2024-02-21
S102674,6.16,5.81,0.87,4.33,37.85,6.38,51.4,3,61.5,1.53,1.61,2024-02-15
S102675,5.41,1.96,0.4,6.94,53.67,6.51,60.57,3,45.16,0.38,3.26,2024-02-08
S102676,6.45,7.11,0.66,4.78,56.84,2.23,77.68,2,54.32,2.1,1.08,2024-06-04
S102677,7.85,7.63,0.29,8.32,44.25,5.63,66.87,3,54.37,5.98,3.63,2024-03-26
S102678,6.76,6.42,1.25,1.86,35.68,1.62,61.71,3,68.54,2.0,4.43,2024-03-06
S102679,6.01,6.505,0.49,5.67,61.33,6.93,53.69,4,44.73,1.25,0.77,2024-05-02
S102680,4.51,11.32,0.3,4.68,54.49,3.33,85.99,2,40.85,3.1,1.5,2024-02-03
S102681,5.88,10.06,1.91,6.39,41.71,6.92,55.24,2,50.54,3.24,1.46,2024-02-23
S102682,4.63,9.54,1.37,4.54,51.45,4.91,37.03,2,48.78,38.15,0.21,2024-04-13
S102683,6.79,6.8,0.61,4.14,40.1,8.26,29.77,3,57.96,1.65,13.18,2024-04-03
S102684,8.4,8.87,0.05,10.0,16.01,5.67,75.88,3,52.43,2.4,2.34,2024-03-14
S102685,7.77,6.14,0.17,5.72,55.5,4.29,69.13,4,52.42,3.88,3.44,2024-03-26
S102686,5.47,8.7,2.34,2.34,59.42,6.55,49.36,3,56.62,4.33,0.76,2024-02-23
S102687,4.92,2.03,2.69,3.75,46.28,6.14,79.16,2,53.8,0.7,0.15,2024-02-20
S102688,4.35,7.97,1.53,4.58,69.12,1.0,45.83,3,39.4,1.76,3.79,2024-03-13
S102689,6.91,2.47,3.78,3.39,55.05,3.95,84.3,2,60.14,0.38,5.71,2024-03-03
S102690,7.09,6.56,2.54,6.46,44.69,3.83,60.25,1,57.33,3.48,3.92,2024-05-02
S102691,7.4,7.18,0.77,3.84,0.0,5.69,39.43,0,83.84,4.16,3.14,2024-04-06
S102692,6.77,10.09,1.33,9.06,19.89,7.22,60.27,2,53.28,3.98,6.87,2024-02-25
S102693,4.6,6.21,0.84,4.61,50.6,7.41,37.2,3,54.63,1.29,2.18,2024-02-16
S102694,3.61,4.98,0.01,6.25,83.36,6.44,22.9,1,34.03,4.66,0.74,2024-04-23
S102695,7.85,8.02,0.8,5.61,26.79,3.17,61.66,0,68.39,3.74,0.36,2024-04-12
S102696,5.12,8.51,1.02,5.12,22.33,6.32,51.95,3,56.37,3.28,6.54,2024-04-12
S102697,8.94,6.505,0.31,5.08,50.08,10.0,53.99,6,62.56,1.81,13.29,2024-03-04
S102698,3.34,5.69,1.55,3.74,29.41,8.26,65.27,1,64.3,4.23,3.08,2024-02-03
S102699,4.74,7.97,0.02,6.17,34.6,2.27,86.35,0,52.25,1.56,2.27,2024-10-04
S102700,4.98,3.82,1.12,7.54,81.64,3.6,63.1,1,34.57,1.25,17.05,2024-04-16
S102701,6.65,6.68,0.08,3.99,3.19,1.77,48.14,1,74.79,4.02,0.7,2024-04-23
S102702,7.21,5.0,1.46,6.94,50.41,6.09,73.24,3,52.86,1.22,4.27,2024-03-09
S102703,5.51,8.62,1.6,3.56,27.29,5.27,68.74,3,67.22,34.49,0.15,2024-03-24
S102704,7.11,4.43,0.03,5.57,43.1,7.66,52.12,4,61.33,1.0,1.01,2024-02-15
