student_id,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,next_semester_marks
S102391,21.22,62.52,82.75,51.25,62.69,50,58.84
S102392,28.63,83.89,63.44,45.66,79.8,36,52.21
S102393,31.31,52.96,58.18,47.52,99.95,4,46.97
S102394,40.14,26.09,52.91,45.26,100.0,91,57.53
S102395,21.6,74.24,60.72,50.71,69.88,16,28.92
S102396,31.36,89.35,70.26,61.33,45.88,34,25.71
S102397,43.69,89.49,90.3,85.57,57.69,69,45.17
S102398,31.44,50.5,76.66,44.24,53.26,56,57.7
S102399,18.08,61.83,52.66,54.35,86.25,97,44.39
S102400,45.23,80.86,48.29,33.95,81.46,149,41.4
S102401,40.88,60.59,74.1,56.07,83.26,15,50.87
S102402,41.96,71.58,79.44,68.65,96.89,26,49.53
S102403,21.05,59.25,84.64,60.45,100.0,16,52.64
S102404,47.1,53.66,60.7,72.18,92.64,55,63.91
S102405,28.81,56.55,72.51,65.41,91.03,7,50.27
S102406,30.92,84.34,78.69,38.1,57.89,108,44.51
S102407,29.38,70.21,43.38,51.5,72.37,11,53.52
S102408,42.58,69.83,69.44,33.6,100.0,235,54.12
S102409,33.56,77.81,79.47,72.16,71.76,147,54.61
S102410,38.85,94.1,73.17,82.15,96.58,279,74.05
S102411,35.61,82.27,63.71,70.55,81.85,3,65.12
S102412,34.24,81.39,100.0,45.81,91.75,56,48.58
S102413,27.43,68.19,95.89,34.87,66.92,260,38.55
S102414,49.5,100.0,65.15,52.94,91.45,334,77.12
S102415,23.29,71.69,61.96,35.63,70.41,26,46.75
S102416,38.3,40.4,76.2,63.13,83.46,73,51.69
S102417,38.01,74.02,64.08,35.38,79.56,19,40.23
S102418,44.23,55.27,85.34,43.95,97.88,180,54.96
S102419,46.1,85.26,44.72,29.52,92.48,12,28.02
S102420,33.9,69.83,61.15,89.39,53.51,93,63.11
S102421,39.24,67.13,75.96,57.3,67.84,27,71.47
S102422,49.12,56.68,81.06,31.06,70.46,37,29.62
S102423,34.48,72.2,41.31,70.06,90.38,64,56.81
S102424,26.47,60.38,49.73,65.82,72.57,45,27.41
S102425,31.92,81.82,38.18,7.24,63.66,59,47.83
S102426,24.56,78.34,51.03,42.7,59.53,91,41.02
S102427,37.97,100.0,44.56,77.85,90.91,28,50.76
S102428,43.52,63.32,73.63,72.66,48.9,107,66.53
S102429,34.03,65.45,68.66,19.66,95.83,43,55.75
S102430,22.03,67.68,62.54,52.02,60.7,2,44.27
S102431,43.17,68.34,65.42,70.29,73.28,150,49.3
S102432,20.79,85.41,84.11,34.86,62.47,26,29.06
S102433,22.63,65.85,48.32,44.3,66.21,157,56.98
S102434,33.57,99.59,34.12,19.87,76.65,109,50.81
S102435,37.01,78.73,76.37,69.33,77.95,42,61.41
S102436,38.38,62.71,58.74,77.7,56.8,84,72.52
S102437,34.47,58.88,48.71,30.39,73.92,386,48.34
S102438,49.08,85.61,73.86,43.93,81.55,29,64.1
S102439,35.52,70.43,33.52,57.93,87.02,48,23.74
S102440,43.28,70.14,51.28,34.44,49.36,13,45.9
S102441,41.3,61.02,26.78,20.33,72.82,164,53.38
S102442,24.66,69.08,69.15,73.7,49.2,64,39.71
S102443,33.64,60.42,90.18,55.82,72.38,9,49.5
S102444,50.0,90.43,55.83,46.64,73.54,73,62.25
S102445,30.97,80.76,52.34,79.72,89.44,50,58.1
S102446,29.6,67.38,93.55,57.82,94.6,29,76.52
S102447,36.36,67.16,75.04,62.0,64.67,2,30.01
S102448,31.25,71.38,100.0,49.55,84.41,20,58.46
S102449,28.65,69.92,67.57,30.43,89.83,18,41.67
S102450,31.13,55.65,68.63,43.34,68.79,101,37.99
S102451,46.46,41.49,88.12,64.61,91.6,24,56.95
S102452,33.91,58.03,62.62,34.25,82.04,308,36.51
S102453,24.38,68.07,68.96,60.95,75.9,16,48.55
S102454,22.91,58.93,26.26,28.74,82.13,179,28.94
S102455,50.0,82.29,92.8,56.25,56.3,56,75.96
S102456,33.21,66.56,71.25,71.69,82.11,500,65.04
S102457,38.48,98.1,63.28,56.69,67.31,130,68.05
S102458,28.83,61.58,79.52,46.82,80.43,74,70.57
S102459,37.57,72.11,46.1,65.43,73.91,142,52.22
S102460,46.67,65.67,56.18,51.82,84.33,182,68.2
S102461,29.78,76.6,73.85,17.07,97.88,482,80.0
S102462,38.67,69.83,65.7,30.95,81.91,15,43.63
S102463,23.75,79.12,72.15,54.29,95.01,70,41.97
S102464,50.0,39.54,68.99,53.81,64.66,39,57.67
S102465,37.15,77.5,75.09,69.42,100.0,39,53.72
S102466,31.7,54.84,43.87,39.9,64.81,80,30.71
S102467,32.62,65.35,85.45,58.01,61.2,56,54.63
S102468,30.92,80.34,57.26,76.96,75.88,133,58.51
S102469,31.33,53.2,65.92,23.41,73.33,32,29.56
S102470,15.42,87.34,55.39,53.93,56.27,60,59.96
S102471,34.22,64.7,60.4,32.61,63.08,270,68.25
S102472,33.88,100.0,68.67,54.07,26.09,8,45.89
S102473,38.91,71.03,76.76,53.5,59.73,25,25.05
S102474,30.81,95.58,79.42,50.11,70.1,9,46.12
S102475,28.83,87.97,71.92,26.66,100.0,5,55.51
S102476,34.94,69.83,55.47,19.65,90.7,1,30.47
S102477,22.1,50.47,70.91,61.53,84.85,36,68.48
S102478,36.15,71.7,68.84,40.69,100.0,151,39.46
S102479,20.11,61.26,65.95,76.85,53.11,22,64.61
S102480,43.97,93.7,73.55,49.22,78.98,31,57.62
S102481,40.47,66.3,44.59,47.97,100.0,155,66.66
S102482,27.59,65.49,32.57,54.61,72.39,13,46.76
S102483,40.29,49.06,84.04,33.32,67.58,56,35.84
S102484,35.89,76.29,62.9,12.32,92.26,100,38.88
S102485,26.93,52.39,71.65,56.83,71.65,108,42.83
S102486,18.82,76.64,51.12,39.14,98.89,36,43.37
S102487,37.53,78.7,85.2,44.67,92.47,1,63.92
S102488,28.65,58.75,70.6,33.05,77.14,38,39.83
S102489,43.76,84.35,62.13,60.33,94.71,101,55.7
S102490,35.11,65.88,69.57,61.77,76.47,100,35.71
S102491,29.4,47.93,37.13,27.63,81.99,44,34.9
S102492,49.38,93.18,70.97,65.95,88.78,34,62.69
S102493,39.61,56.15,88.79,38.95,74.16,97,54.14
S102494,5.76,77.61,70.04,22.05,100.0,238,41.73
S102495,31.11,76.39,67.98,62.97,81.05,126,79.55
S102496,23.93,75.84,59.93,26.69,84.34,21,37.57
S102497,28.6,75.58,82.32,59.56,60.25,263,55.7
S102498,33.84,55.45,84.7,65.59,70.33,75,70.89
S102499,37.83,95.37,58.09,43.35,82.44,10,43.91
S102500,37.09,84.34,70.74,64.9,93.03,33,69.54
S102501,43.62,69.83,68.72,46.05,100.0,103,52.28
S102502,40.09,50.01,71.43,29.84,64.09,163,53.05
S102503,39.6,55.32,52.64,43.84,67.6,60,31.69
S102504,36.61,79.86,83.28,14.71,61.55,12,33.29
S102505,45.29,39.94,74.04,69.84,87.4,11,50.9
S102506,32.47,75.08,84.24,44.61,100.0,32,73.65
S102507,32.68,50.03,47.15,43.44,77.63,3,46.53
S102508,19.76,56.98,48.09,52.57,80.88,43,39.16
S102509,43.45,48.83,97.95,9.87,81.99,120,44.22
S102510,34.38,73.69,83.35,88.21,72.96,49,69.61
S102511,50.0,86.75,51.96,48.67,61.68,142,56.69
S102512,31.76,75.22,78.89,34.51,95.9,86,61.88
S102513,35.71,76.87,57.55,45.78,82.31,17,54.96
S102514,39.37,72.52,37.82,64.03,71.78,19,50.04
S102515,26.18,80.24,31.4,14.32,100.0,34,56.84
S102516,37.87,77.01,64.65,58.23,79.96,62,49.64
S102517,35.28,29.27,89.97,50.1,54.32,91,35.34
S102518,32.57,83.59,89.34,32.59,89.82,15,74.02
S102519,44.38,82.02,85.16,53.06,52.38,13,51.34
S102520,27.77,64.57,78.28,23.67,86.99,1,29.42
S102521,37.2,40.39,70.08,54.12,86.59,10,76.0
S102522,46.64,73.64,83.43,42.76,100.0,111,76.44
S102523,29.35,74.9,32.83,41.59,64.97,5,18.88
S102524,32.62,63.39,80.84,16.83,75.6,74,62.99
S102525,50.0,72.8,47.06,56.12,78.96,73,42.22
S102526,38.8,86.08,50.4,74.55,92.99,392,73.2
S102527,30.95,100.0,76.13,79.01,86.51,91,67.11
S102528,41.42,72.2,79.86,42.75,87.78,96,93.44
S102529,30.46,75.01,55.24,49.3,98.28,8,53.68
S102530,22.48,57.64,75.34,72.32,76.67,167,54.66
S102531,45.98,62.48,74.01,46.52,100.0,31,37.91
S102532,26.18,67.96,60.03,26.1,78.67,30,50.82
S102533,50.0,87.67,67.46,47.24,93.43,50,65.13
S102534,31.09,82.28,98.29,49.36,72.57,98,49.64
S102535,50.0,98.94,60.49,69.18,88.93,28,62.83
S102536,24.05,47.65,61.05,27.25,97.37,120,54.21
S102537,43.2,50.14,67.4,64.06,63.77,23,57.41
S102538,39.0,86.53,62.07,42.74,94.17,10,54.27
S102539,41.7,91.73,77.65,62.86,82.68,95,86.17
S102540,42.74,70.5,88.51,35.95,100.0,204,51.83
S102541,31.02,10.0,61.05,68.47,76.04,192,47.56
S102542,24.53,58.85,51.29,26.67,84.4,5,32.28
S102543,34.59,75.03,96.6,64.92,77.66,56,52.34
S102544,36.78,56.51,66.92,53.35,89.94,27,70.99
S102545,31.23,72.78,37.73,23.96,47.25,49,38.36
S102546,37.22,98.48,94.8,72.61,58.84,4,48.28
S102547,37.64,91.39,83.02,28.25,90.03,42,61.91
S102548,27.72,82.13,90.62,69.27,80.4,259,46.81
S102549,38.16,69.03,87.95,44.53,49.95,67,64.61
S102550,32.86,62.58,100.0,71.92,70.49,20,50.83
S102551,29.4,81.37,48.41,38.6,74.11,133,47.65
S102552,41.3,70.38,52.27,55.79,72.72,41,49.34
S102553,28.78,70.9,57.12,26.62,93.97,5,53.61
S102554,31.35,46.73,56.67,49.18,98.85,35,34.36
S102555,35.58,59.28,66.97,34.68,46.43,135,59.57
S102556,45.99,81.28,57.16,57.53,78.21,20,25.68
S102557,36.54,53.48,45.97,35.67,81.71,32,44.15
S102558,39.23,73.99,51.01,48.24,57.78,25,42.28
S102559,32.62,76.19,60.3,36.42,98.8,183,70.19
S102560,34.37,77.06,83.31,28.26,85.56,28,44.95
S102561,34.61,78.4,55.8,56.92,92.76,22,34.84
S102562,37.35,79.42,77.96,36.71,73.31,210,32.13
S102563,32.63,60.64,43.86,66.98,68.32,500,32.88
S102564,45.72,47.99,13.82,33.58,71.46,72,28.7
S102565,32.01,56.9,62.87,68.12,78.35,218,58.35
S102566,21.34,80.95,55.24,55.53,73.62,117,45.97
S102567,50.0,51.99,50.89,58.94,93.58,17,63.36
S102568,32.38,54.39,49.02,48.6,100.0,92,61.1
S102569,45.51,54.31,53.68,58.78,88.74,125,54.49
S102570,46.24,42.31,49.2,49.89,50.79,109,50.0
S102571,42.56,52.79,50.65,72.99,82.33,60,42.62
S102572,33.42,85.01,43.26,47.24,62.18,58,35.77
S102573,37.29,59.25,30.93,47.92,73.88,138,63.35
S102574,24.8,43.77,29.65,40.82,79.47,93,64.46
S102575,50.0,62.33,100.0,50.38,76.11,126,44.22
S102576,28.19,77.66,63.99,57.21,64.47,56,72.25
S102577,32.97,42.54,89.39,51.37,87.83,272,75.12
S102578,35.79,84.3,62.16,24.85,50.09,106,56.37
S102579,34.14,48.39,62.69,63.96,85.8,44,50.09
S102580,29.75,64.07,69.91,23.12,66.47,73,62.21
S102581,46.15,63.88,75.24,13.74,84.18,82,57.91
S102582,42.6,61.58,45.05,60.24,59.83,129,60.57
S102583,37.58,69.03,58.92,25.41,83.47,97,58.7
S102584,31.8,81.68,69.88,57.74,100.0,149,57.28
S102585,43.51,69.39,34.06,28.8,71.08,40,49.63
S102586,31.28,60.91,85.76,51.54,70.75,44,27.03
S102587,47.56,76.86,82.0,53.38,86.49,17,71.26
S102588,35.89,73.11,31.37,53.91,83.17,58,43.77
S102589,44.84,59.96,50.94,60.54,59.27,41,55.87
S102590,34.09,70.63,66.68,49.17,96.61,87,67.46
S102591,35.57,58.71,78.47,39.59,92.13,74,46.42
S102592,44.8,57.01,89.42,22.8,99.23,156,67.34
S102593,50.0,82.09,54.8,32.72,88.19,15,58.32
S102594,47.48,76.7,100.0,32.65,100.0,198,69.72
S102595,42.02,81.56,64.22,77.46,51.91,20,29.96
S102596,39.71,79.53,61.41,72.54,100.0,102,74.57
S102597,30.94,69.83,73.99,39.5,74.15,55,45.01
S102598,37.36,85.02,69.97,51.69,71.84,97,64.45
S102599,27.7,65.54,69.08,49.28,69.28,61,48.35
S102600,38.01,83.94,96.94,26.5,87.64,85,49.08
S102601,38.52,68.12,68.96,56.45,92.0,112,58.76
S102602,19.31,74.7,49.25,12.44,73.0,17,28.9
S102603,35.31,75.15,51.56,21.1,84.1,34,23.15
S102604,38.32,82.2,88.56,66.66,100.0,162,60.18
S102605,34.33,69.83,75.94,64.71,69.95,145,50.84
S102606,37.86,46.35,40.1,44.82,74.08,91,42.09
S102607,24.27,80.08,39.31,44.94,100.0,29,17.94
S102608,28.79,75.35,65.4,70.17,56.37,18,47.35
S102609,43.28,58.37,74.86,54.2,83.68,4,64.25
S102610,35.0,75.46,54.15,46.03,43.77,218,49.98
S102611,37.72,48.88,38.12,60.35,59.31,81,24.58
S102612,30.63,100.0,47.0,48.36,62.15,43,38.41
S102613,35.16,89.67,91.33,58.73,66.85,94,71.64
S102614,16.58,79.33,72.95,52.89,61.29,49,67.94
S102615,41.77,71.13,81.0,50.63,83.01,35,66.97
S102616,49.46,60.72,83.64,52.76,100.0,56,64.85
S102617,26.48,50.35,54.98,56.71,100.0,107,54.54
S102618,27.48,68.29,59.03,46.0,64.56,145,43.12
S102619,38.53,57.1,62.31,33.65,90.93,8,60.95
S102620,46.79,57.98,71.67,43.07,98.13,5,55.59
S102621,34.98,48.75,82.43,68.38,81.81,33,88.52
S102622,25.17,73.74,94.92,40.43,90.63,3,67.6
S102623,33.33,64.35,78.03,69.69,86.9,55,67.79
S102624,26.76,78.03,78.15,42.81,86.88,139,52.41
S102625,29.65,69.83,95.83,76.03,68.95,34,65.52
S102626,32.57,73.44,61.72,72.15,50.09,52,64.97
S102627,27.57,100.0,84.02,32.4,74.77,68,67.53
S102628,28.78,82.36,74.25,32.9,68.5,196,55.0
S102629,35.6,51.09,74.84,28.85,75.83,209,61.45
S102630,36.72,76.88,61.57,39.35,94.42,80,47.26
S102631,23.61,69.19,42.69,31.1,100.0,1,30.0
S102632,38.17,49.88,70.52,26.45,82.26,17,59.4
S102633,31.94,48.68,70.59,62.46,62.24,18,61.62
S102634,40.76,76.8,55.79,48.34,74.16,73,60.89
S102635,41.24,80.46,63.45,45.75,68.41,98,69.59
S102636,30.64,54.31,50.89,66.81,81.86,7,57.26
S102637,39.91,84.55,51.03,72.69,73.0,27,76.12
S102638,28.3,74.27,57.3,62.27,93.54,57,56.18
S102639,45.59,87.94,43.74,64.29,67.28,118,63.86
S102640,28.61,86.34,55.66,48.59,100.0,34,58.47
S102641,37.82,67.62,76.42,27.59,57.91,55,33.31
S102642,33.5,94.53,88.3,52.42,84.59,55,65.11
S102643,26.86,53.14,98.21,48.12,55.84,56,38.57
S102644,42.21,100.0,58.6,37.75,95.72,149,51.57
S102645,30.09,56.82,84.2,49.67,80.7,156,48.22
S102646,21.4,69.28,70.38,56.13,83.09,15,44.19
S102647,11.94,61.49,61.2,62.38,66.54,185,22.03
S102648,28.0,64.35,71.44,42.54,96.29,40,63.82
S102649,46.01,100.0,82.63,16.81,89.64,63,64.12
S102650,45.06,63.06,57.03,20.99,71.82,76,47.7
S102651,29.25,69.83,56.66,51.1,79.75,45,41.21
S102652,32.0,66.47,58.44,53.59,66.65,34,60.32
S102653,31.28,84.05,54.97,33.68,65.46,23,50.79
S102654,24.33,61.84,84.18,57.4,70.77,58,17.62
S102655,27.41,73.84,52.78,49.95,75.89,145,61.68
S102656,42.85,79.43,55.6,61.39,80.03,116,65.27
S102657,39.03,59.17,69.98,26.62,79.34,56,71.28
S102658,37.18,100.0,68.69,45.41,67.02,34,56.43
S102659,24.32,80.21,58.44,37.74,91.39,1,34.95
S102660,35.81,66.61,91.94,35.08,96.34,19,34.37
S102661,16.57,59.54,54.91,65.32,93.7,17,33.5
S102662,41.74,71.38,62.26,42.58,90.59,71,53.06
S102663,37.07,51.76,34.17,74.32,42.46,203,37.85
S102664,24.24,96.73,60.12,48.1,65.02,30,46.39
S102665,47.93,76.47,43.83,22.1,57.67,126,28.67
S102666,20.63,68.68,50.34,32.99,53.41,32,44.46
S102667,39.24,85.69,33.71,33.25,97.16,266,38.27
S102668,39.44,59.18,50.72,24.43,100.0,17,42.31
S102669,25.08,52.66,63.8,48.4,80.11,42,57.46
S102670,34.7,68.05,61.09,28.25,87.07,13,59.84
S102671,21.91,71.91,58.36,65.88,74.61,21,47.59
S102672,12.23,77.96,59.8,25.64,97.55,9,31.83
S102673,26.46,47.86,56.92,43.6,84.2,9,57.09
S102674,30.07,63.16,64.45,45.79,72.18,79,34.7
S102675,40.15,23.75,63.24,58.36,88.43,123,32.28
S102676,35.54,52.26,69.4,60.88,77.28,7,57.03
S102677,35.75,80.73,61.78,34.04,82.93,20,35.36
S102678,26.88,84.42,58.06,31.22,90.4,31,34.33
S102679,30.76,52.87,77.45,50.98,100.0,221,59.23
S102680,27.56,65.13,74.65,47.12,100.0,73,47.32
S102681,25.2,70.38,64.48,17.83,82.25,9,41.06
S102682,30.25,86.17,84.12,49.38,65.9,37,74.73
S102683,35.6,69.83,66.32,23.62,46.2,100,46.66
S102684,30.42,72.3,62.42,73.3,99.26,306,58.52
S102685,32.41,66.09,63.9,21.23,96.8,107,42.26
S102686,40.56,48.34,67.64,63.46,70.58,16,63.04
S102687,30.99,71.62,50.32,52.3,78.69,137,43.49
S102688,24.33,100.0,35.02,53.58,83.12,0,38.56
S102689,39.51,89.35,69.5,54.78,88.91,53,63.85
S102690,37.13,72.62,78.34,36.04,100.0,34,44.04
S102691,37.63,74.55,48.98,53.51,60.45,234,60.98
S102692,40.01,59.67,82.17,22.83,90.1,4,41.97
S102693,38.65,64.64,38.66,74.41,83.28,24,58.49
S102694,35.23,72.21,56.06,42.96,72.35,24,37.36
S102695,50.0,72.26,92.3,50.61,92.1,44,82.19
S102696,24.72,85.16,70.69,74.37,78.33,205,57.12
S102697,30.31,84.43,60.16,26.14,78.79,85,36.45
S102698,42.74,77.81,69.04,66.27,84.71,10,65.78
S102699,36.14,55.01,84.14,59.42,73.13,139,78.39
S102700,41.06,55.58,41.88,72.3,89.82,80,74.67
S102701,36.36,56.68,86.09,59.56,74.04,1,54.33
S102702,45.99,73.53,57.16,35.26,100.0,201,69.93
S102703,26.94,39.61,76.33,50.91,83.43,4,32.97
S102704,45.74,69.91,55.17,22.0,69.95,75,47.47
S102705,44.37,91.13,91.94,38.53,84.63,73,58.11
S102706,25.32,80.0,64.5,67.26,94.84,75,49.42
S102707,40.05,64.74,43.74,27.33,56.37,151,48.77
S102708,34.66,59.53,72.52,65.92,99.01,11,55.88
S102709,30.15,82.09,85.82,49.95,85.1,61,74.84
S102710,19.89,74.59,84.01,79.64,79.54,68,47.22
S102711,26.91,66.3,66.5,34.12,69.71,41,62.44
S102712,40.66,61.16,77.99,39.58,85.21,60,51.0
S102713,41.51,71.15,58.25,59.97,66.75,56,28.62
S102714,33.31,65.45,74.46,35.74,50.16,114,67.86
S102715,41.54,81.77,70.81,40.47,69.3,13,42.94
S102716,42.56,88.62,18.68,45.37,75.91,2,47.68
S102717,36.24,49.49,48.99,30.98,89.2,214,51.94
S102718,29.22,51.61,68.33,34.06,76.72,30,27.26
S102719,38.53,90.22,67.64,40.72,62.82,126,44.05
S102720,38.9,72.49,64.53,60.89,70.08,31,71.95
S102721,40.39,53.03,66.43,23.45,80.31,0,36.23
S102722,41.92,84.75,84.32,71.56,89.68,19,65.78
S102723,24.1,75.13,70.67,45.75,92.2,9,62.12
S102724,30.92,100.0,27.68,33.99,59.57,138,75.9
S102725,19.81,66.47,96.16,30.35,80.77,15,46.48
S102726,40.98,86.63,34.5,81.37,91.61,405,77.76
S102727,33.3,48.27,80.33,39.76,66.9,76,61.2
S102728,38.45,69.83,39.97,47.29,100.0,31,48.73
S102729,23.19,84.16,87.78,43.89,72.58,56,62.41
S102730,46.21,94.07,60.55,37.78,95.3,261,68.49
S102731,25.45,86.66,71.15,55.83,90.37,81,60.82
S102732,41.2,68.51,33.22,39.47,69.68,112,51.04
S102733,35.94,52.43,76.67,38.19,80.24,54,16.41
S102734,33.48,60.97,71.66,52.08,100.0,61,85.85
S102735,32.84,43.58,74.88,51.18,71.95,330,55.05
S102736,29.9,56.19,80.19,39.13,82.66,74,41.52
S102737,45.36,76.39,67.86,40.31,57.42,62,48.1
S102738,35.1,69.28,61.63,48.51,85.39,165,76.81
S102739,24.85,66.65,52.03,30.17,73.93,48,48.8
S102740,31.93,58.1,57.91,34.95,87.86,51,60.1
S102741,36.03,69.83,84.3,27.33,67.33,99,46.39
S102742,42.18,72.73,51.6,34.49,84.8,14,32.06
S102743,30.16,75.69,35.51,73.17,74.75,11,43.0
S102744,30.7,55.13,49.2,65.43,40.43,77,29.9
S102745,35.19,62.0,74.7,71.37,81.32,16,26.9
S102746,41.99,93.13,60.15,61.54,98.92,46,69.59
S102747,24.05,87.39,74.67,50.54,63.55,56,44.31
S102748,39.04,47.73,32.99,36.63,70.33,30,45.15
S102749,31.29,68.73,17.28,31.41,99.88,108,41.85
S102750,32.4,91.82,69.23,44.05,88.35,32,55.93
S102751,50.0,66.75,81.08,24.39,75.07,3,65.48
S102752,33.43,65.97,37.62,78.41,84.44,8,41.72
S102753,41.04,86.39,73.42,55.91,70.61,46,63.11
S102754,40.75,84.81,84.04,78.44,100.0,31,74.94
S102755,25.56,84.03,64.93,32.15,93.3,51,39.13
S102756,20.24,66.07,79.42,56.3,100.0,59,50.35
S102757,41.57,79.94,68.05,54.78,81.38,229,38.73
S102758,26.33,92.42,60.79,52.23,60.89,51,49.13
S102759,21.69,69.25,78.14,67.74,87.55,156,54.25
S102760,43.21,63.95,95.6,29.59,98.83,152,69.75
S102761,26.84,88.45,56.07,29.94,99.46,175,33.74
S102762,28.82,100.0,63.6,63.19,54.69,62,74.52
S102763,50.0,100.0,49.15,27.05,83.17,27,53.4
S102764,21.72,64.38,67.48,50.19,56.03,123,35.96
S102765,24.95,65.89,62.5,54.92,71.21,31,69.11
S102766,31.32,54.56,83.54,26.73,88.78,181,54.19
S102767,33.08,71.77,87.72,53.06,99.97,9,49.16
S102768,27.85,53.89,77.61,56.01,83.34,91,35.59
S102769,25.73,62.1,81.75,26.65,62.78,53,49.57
S102770,47.08,80.52,53.72,44.54,88.99,75,54.55
S102771,37.1,75.85,49.72,29.51,67.24,9,46.97
S102772,39.68,42.84,71.99,17.09,75.62,284,46.83
S102773,33.9,93.55,65.32,44.71,81.36,100,54.66
S102774,37.32,53.7,96.99,46.05,69.95,27,44.53
S102775,42.46,55.59,34.25,63.04,89.55,176,40.25
S102776,27.03,51.42,74.91,59.19,91.29,48,65.17
S102777,37.12,69.83,74.65,43.01,95.42,56,45.43
S102778,40.57,56.55,52.81,47.95,100.0,45,49.49
S102779,47.36,56.91,49.52,15.82,77.85,31,70.44
S102780,50.0,33.04,59.57,54.24,61.6,99,68.83
S102781,35.56,71.95,38.74,53.56,63.04,2,37.09
S102782,44.11,73.48,88.32,41.19,100.0,170,49.32
S102783,13.64,100.0,100.0,30.91,100.0,45,46.03
S102784,47.42,77.3,59.54,51.28,100.0,10,62.3
S102785,29.19,62.55,54.77,31.19,71.22,117,38.28
S102786,33.07,51.99,44.03,40.42,100.0,356,44.42
S102787,38.53,68.56,47.46,46.06,77.45,186,49.21
S102788,33.77,76.73,55.57,43.77,85.15,14,35.89
S102789,36.57,62.45,84.34,62.32,92.4,20,53.11
S102790,47.7,70.92,100.0,46.07,98.92,352,63.74
S102791,31.93,98.46,53.43,47.51,88.12,18,40.82
S102792,26.3,64.24,50.57,62.49,100.0,29,42.14
S102793,49.51,41.7,46.31,14.59,80.2,78,29.4
S102794,39.21,83.1,72.21,62.33,76.96,28,72.59
S102795,50.0,74.71,70.51,51.84,75.19,38,43.63
S102796,41.91,44.37,66.61,40.25,62.76,108,54.75
S102797,24.41,76.41,57.89,31.5,38.03,72,18.0
S102798,40.16,55.03,86.75,75.47,95.62,133,39.68
S102799,27.13,76.62,77.23,56.94,76.49,120,68.26
S102800,35.06,98.61,76.53,87.38,91.15,128,77.25
S102801,34.39,67.35,70.92,34.16,88.97,16,58.14
S102802,22.06,86.25,61.97,65.99,82.37,24,53.6
S102803,28.5,51.57,53.56,57.01,94.17,16,45.77
S102804,50.0,47.21,73.32,65.74,96.07,10,62.44
S102805,36.91,100.0,71.77,55.3,65.72,152,64.25
S102806,33.6,74.62,74.08,43.84,100.0,0,36.65
S102807,49.5,79.55,39.97,34.8,92.97,79,47.73
S102808,31.83,87.28,70.43,66.02,66.87,165,57.07
S102809,34.27,62.08,60.06,53.7,70.26,15,52.37
S102810,42.93,82.38,50.94,43.88,61.36,215,52.84
S102811,31.79,80.1,76.65,68.75,89.42,253,49.41
S102812,29.03,50.58,67.84,34.24,77.35,56,42.01
S102813,16.97,92.69,100.0,31.43,42.61,88,35.49
S102814,27.51,89.6,72.75,56.0,71.69,17,72.12
S102815,27.43,50.74,60.24,57.84,74.29,332,36.05
S102816,36.27,73.0,63.27,32.67,81.59,108,55.79
S102817,30.12,66.53,46.25,49.49,56.91,58,52.6
S102818,50.0,91.27,84.69,26.9,81.75,56,54.27
S102819,26.54,48.84,70.04,52.92,100.0,77,30.13
S102820,46.21,69.83,70.31,34.9,82.81,16,51.31
S102821,36.76,67.38,47.97,53.5,88.84,73,52.87
S102822,41.45,81.08,77.46,41.74,100.0,6,51.11
S102823,40.97,90.81,50.03,55.5,78.58,74,39.67
S102824,17.25,67.06,56.14,48.95,78.1,68,38.22
S102825,34.91,68.28,67.01,59.7,85.17,35,67.12
S102826,32.9,62.46,55.7,40.64,66.73,8,49.92
S102827,25.94,56.72,52.32,28.91,69.58,64,33.78
S102828,38.68,74.08,64.2,59.88,49.41,46,51.68
S102829,48.73,67.97,81.16,33.89,100.0,30,58.26
S102830,13.62,62.36,79.32,36.94,92.46,45,40.41
S102831,30.72,63.24,76.32,41.44,65.79,5,31.96
S102832,25.03,78.64,72.78,49.88,95.36,7,57.87
S102833,35.57,58.04,57.39,38.23,67.88,12,21.1
S102834,32.4,66.3,82.93,26.86,81.02,64,42.62
S102835,30.15,83.48,37.23,52.69,80.94,27,41.32
S102836,40.52,73.71,71.94,49.52,73.31,21,51.67
S102837,48.09,54.26,78.46,63.52,67.81,80,53.64
S102838,50.0,69.83,63.56,46.08,98.13,73,92.18
S102839,29.08,76.56,53.44,70.41,81.27,33,40.31
S102840,20.43,84.84,64.41,54.08,100.0,221,57.36
S102841,39.47,58.67,52.88,56.57,64.39,41,33.46
S102842,47.88,61.62,73.23,33.58,72.91,17,70.43
S102843,41.51,59.57,80.13,45.37,79.31,176,62.64
S102844,47.85,60.32,72.15,66.36,96.55,97,79.69
S102845,33.2,76.08,71.19,77.85,68.16,111,35.84
S102846,30.12,78.92,77.17,28.51,88.57,151,50.68
S102847,35.92,85.76,79.01,49.73,85.14,56,38.77
S102848,32.36,68.63,52.55,27.74,100.0,151,36.11
S102849,40.3,48.92,40.39,54.3,87.47,21,36.86
S102850,42.76,80.04,69.45,19.07,53.06,77,53.37
S102851,43.38,72.39,79.79,72.58,64.79,90,82.46
S102852,39.08,70.9,39.71,51.84,65.55,28,51.6
S102853,36.97,50.75,66.1,54.3,73.21,413,64.22
S102854,41.36,67.06,83.05,17.25,99.87,132,53.32
