cgpa,backlogs,failed_subjects,family_income_lpa,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,wellness_score,screen_to_study_ratio,extracurricular_hours,next_semester_marks
8.18,1,1,7.9,8.19,71.7,92.27,0,46.72,48.51,43.43,67.86,58.77,84.06,257,71.8,5.29,0.98,10.76,7.53,10.27,0.12,6.63,48.44,9.63,56.0,50.92,1.94,0.91,65.34
7.36,1,0,1.0,6.75,64.27,52.02,1,42.71,33.54,70.38,98.19,18.79,64.35,59,85.0,0.0,0.06,16.27,7.5,4.22,2.9,5.08,38.5,7.61,28.35,63.27,16.89,2.36,47.13
5.61,0,0,5.7,7.79,76.69,89.87,2,80.77,42.64,53.3,41.8,76.67,80.89,118,95.27,3.44,2.5,10.7,7.84,4.96,1.29,8.1,60.66,5.0,71.32,47.88,1.44,3.65,69.8
5.42,1,0,1.9,5.67,56.73,58.03,0,78.96,41.95,69.83,93.57,42.76,68.8,16,71.24,0.91,1.26,29.55,6.52,0.0,1.95,7.7,52.34,4.49,99.69,43.01,0.0,6.18,62.63
7.17,2,1,4.3,8.79,88.4,69.14,3,76.94,29.9,73.54,72.62,51.58,71.95,2,40.8,3.81,3.06,13.58,4.91,5.03,4.1,7.8,57.53,7.31,54.01,40.44,1.32,0.72,38.91
6.35,2,1,7.9,8.12,70.92,77.05,1,72.6,34.87,78.92,74.47,55.81,72.72,4,84.5,3.72,2.15,20.41,5.22,9.71,3.88,8.12,26.61,7.48,75.95,55.04,2.61,5.15,48.52
6.39,0,0,7.3,7.62,71.18,82.62,0,59.57,30.38,53.98,52.46,57.31,100.0,32,57.0,2.73,2.08,10.45,6.3,6.45,0.78,5.19,66.94,4.01,60.31,46.65,2.37,10.76,64.28
6.34,1,0,19.6,7.28,64.38,91.24,3,44.02,24.62,64.94,96.48,58.28,63.45,91,78.01,3.17,1.85,9.53,5.57,8.27,3.03,8.86,68.42,5.07,77.21,33.19,2.61,1.19,46.37
6.94,1,1,2.9,5.5,56.02,100.0,0,85.28,25.59,70.7,78.36,94.91,73.08,18,74.1,2.07,2.17,14.87,7.41,5.58,6.54,5.26,65.03,5.65,78.34,53.39,2.69,1.06,56.46
8.89,0,1,15.0,4.51,40.02,59.67,2,67.15,22.11,55.81,76.79,35.08,83.83,72,64.37,5.93,7.23,20.79,5.9,7.53,1.11,6.22,51.91,9.23,45.5,47.04,1.27,6.49,31.93
7.7,1,0,1.0,6.64,62.41,51.76,0,59.06,30.32,62.88,59.72,20.83,49.95,40,58.28,3.09,1.8,20.95,5.73,7.97,0.0,1.8,16.79,9.36,47.9,79.93,2.58,3.37,43.12
6.39,3,0,2.7,8.9,86.33,58.23,3,61.94,45.56,75.55,88.65,30.55,74.95,125,93.65,5.77,0.8,27.67,8.1,6.63,0.79,4.6,82.73,4.78,40.56,53.25,1.15,3.8,69.21
8.3,1,0,2.4,6.84,64.32,74.07,1,87.55,39.37,72.52,37.82,64.03,71.78,19,62.0,2.22,0.95,20.57,8.38,9.03,0.39,5.17,15.71,1.0,63.17,72.16,4.07,3.2,50.04
3.5,0,0,1.7,9.74,94.83,84.23,0,72.39,29.14,77.03,69.57,70.43,68.49,26,87.0,5.32,2.59,17.59,6.66,8.8,1.85,4.45,40.79,5.35,65.95,59.2,1.65,4.07,85.01
5.8,3,1,10.3,7.47,72.1,77.77,1,63.44,30.24,62.85,72.64,53.52,66.25,136,63.0,3.59,1.11,17.68,6.16,6.72,4.14,5.52,31.43,1.21,39.51,64.9,1.87,4.35,48.98
5.46,0,0,3.0,8.31,82.44,79.48,0,43.48,22.22,60.76,65.07,44.98,100.0,22,74.19,8.04,3.05,21.09,6.09,8.81,1.14,6.4,64.08,4.69,84.4,44.52,1.1,0.64,74.27
8.7,0,0,5.7,7.87,73.72,53.47,3,70.45,34.51,81.18,53.94,30.84,87.83,152,56.5,2.88,0.75,14.66,6.59,10.0,0.38,5.71,44.07,5.77,83.57,57.36,3.47,5.48,47.98
5.67,2,0,5.4,6.84,74.01,70.89,0,79.23,35.73,63.27,68.99,56.85,55.01,16,80.75,2.78,8.0,3.9,6.44,8.74,1.3,7.45,62.93,2.75,55.86,38.62,3.14,1.82,43.82
10.0,1,0,3.2,7.09,72.59,98.42,3,68.57,31.11,70.28,51.72,74.48,100.0,63,84.7,2.64,0.13,4.94,5.95,6.93,0.38,6.81,31.3,1.84,66.74,47.18,2.62,1.01,49.61
7.41,0,0,1.0,6.2,60.55,62.49,0,56.49,40.53,80.16,95.3,33.53,97.81,19,94.66,3.15,2.35,20.74,7.83,4.73,0.01,7.59,48.64,6.09,58.73,47.86,1.5,13.48,68.93
3.76,2,2,13.0,6.31,61.28,60.81,2,80.99,42.65,52.12,57.73,45.41,65.75,38,70.0,0.64,3.07,11.03,7.05,6.25,0.76,4.64,34.85,6.54,69.3,56.44,9.78,0.51,35.32
4.6,1,1,3.8,5.07,44.77,75.41,4,86.5,39.44,72.05,39.0,63.93,73.98,54,58.87,2.05,0.69,22.4,5.9,6.23,1.61,9.53,50.18,4.97,68.75,33.86,3.05,1.42,25.8
4.79,1,1,6.3,8.25,83.47,84.2,1,88.56,29.66,73.4,53.21,76.0,52.02,68,60.33,3.43,0.44,26.06,7.72,6.57,1.1,6.37,41.81,3.8,60.38,57.98,1.92,1.01,64.6
8.29,0,0,6.5,6.84,71.13,78.98,2,70.75,43.16,67.16,65.99,62.76,68.12,123,71.09,4.77,1.47,24.48,6.41,7.46,0.51,5.9,74.12,9.16,80.66,44.2,1.56,0.29,72.22
9.22,0,0,2.6,6.0,60.54,90.53,1,72.74,42.42,100.0,74.28,66.46,100.0,204,74.26,2.39,0.12,17.58,5.47,0.0,0.28,5.62,45.91,4.41,58.92,46.72,0.0,0.31,72.91
6.01,1,0,5.8,7.69,74.78,65.82,3,52.75,37.75,82.63,38.2,35.25,73.22,60,76.3,2.12,3.63,10.17,5.27,3.99,1.07,3.5,38.1,4.64,19.62,63.54,1.88,7.14,44.22
7.03,1,0,5.0,7.05,63.18,81.67,1,57.76,39.98,72.16,73.74,54.88,89.46,87,80.71,3.18,1.91,0.0,5.38,9.45,0.65,6.6,53.35,5.83,65.7,50.21,2.97,9.88,51.5
5.95,0,1,1.9,7.12,70.2,60.7,0,54.29,35.8,58.34,51.96,27.2,85.59,17,54.0,3.33,2.1,3.04,6.05,3.27,2.59,4.72,94.61,8.46,65.08,38.1,0.98,0.5,35.96
7.03,2,0,6.2,5.61,51.07,66.15,1,84.09,35.99,77.45,32.73,56.18,65.24,224,87.0,5.12,0.65,7.94,5.3,4.06,1.05,9.46,2.05,7.68,64.65,57.12,0.79,0.5,36.05
5.27,2,0,5.0,6.33,58.53,70.09,1,64.8,27.75,69.06,76.07,49.68,80.7,41,67.46,4.81,2.08,11.63,7.07,8.39,1.1,5.7,42.88,6.43,68.39,56.91,1.75,2.19,44.06
7.23,1,0,5.4,6.17,50.05,84.91,1,87.08,35.37,47.43,61.18,77.38,100.0,50,100.0,3.65,2.01,10.77,5.23,4.83,0.76,4.3,73.81,6.95,78.49,44.03,1.32,3.36,40.35
5.47,0,1,1.1,4.69,49.1,55.86,2,51.07,40.64,71.31,68.25,28.5,60.5,218,64.08,6.73,2.47,14.26,7.39,4.11,0.76,3.61,45.79,7.36,17.03,60.64,0.61,1.34,39.43
8.59,3,0,1.0,6.92,71.84,64.57,1,64.52,43.04,53.12,39.8,42.35,68.05,2,48.14,1.68,1.67,16.92,6.62,5.85,0.8,6.36,16.87,6.52,48.36,64.67,3.49,7.96,34.27
6.11,0,0,1.7,8.52,83.04,69.72,1,57.19,29.23,64.2,81.97,42.03,59.06,26,67.0,2.05,1.28,14.21,7.27,6.5,0.06,6.71,12.92,4.65,45.47,63.07,3.17,3.99,55.7
6.59,1,0,1.0,6.28,56.43,68.98,2,50.92,30.92,39.25,58.01,34.76,86.28,100,78.8,6.39,1.24,2.02,5.52,4.65,4.25,6.17,25.53,5.79,43.68,60.98,0.73,4.93,24.73
5.63,0,0,6.1,9.45,86.0,68.62,2,57.49,42.82,65.09,75.52,39.43,72.78,39,71.9,2.79,2.48,17.34,4.54,5.94,0.62,6.46,51.45,7.27,54.31,47.58,2.13,4.04,76.92
4.98,1,0,18.6,6.16,60.39,75.08,1,84.24,35.7,48.0,90.89,63.16,89.13,36,55.97,2.16,1.22,5.56,5.59,6.39,3.94,2.48,26.33,7.19,23.09,67.03,2.96,0.51,38.34
8.67,1,0,1.0,8.2,82.86,64.87,1,88.92,33.26,79.35,79.5,58.05,85.09,82,61.91,1.26,0.51,22.28,4.66,12.51,0.23,5.52,72.62,5.0,47.01,41.22,9.93,5.85,72.7
6.33,0,0,7.0,9.68,88.16,76.42,0,91.54,22.92,68.78,60.86,64.24,69.23,22,78.0,1.03,1.27,3.44,4.91,5.6,2.48,4.14,55.51,3.03,59.44,56.6,5.42,5.78,68.56
7.73,0,0,4.2,5.69,54.8,52.96,1,61.67,31.02,63.35,71.96,32.89,53.38,62,67.13,2.73,1.89,12.05,7.13,6.64,0.86,3.56,18.24,5.7,69.83,69.54,2.44,8.59,46.61
6.95,0,1,1.0,8.62,86.36,64.86,2,52.71,42.31,58.05,59.04,35.49,89.27,137,90.17,3.64,0.48,18.49,5.28,7.23,0.16,7.79,59.37,5.04,45.8,38.34,1.99,1.37,58.97
4.87,0,0,1.3,7.37,73.19,74.04,1,81.43,42.62,74.04,79.61,66.62,79.1,31,78.21,2.58,1.11,16.31,4.63,8.94,1.54,2.14,62.79,8.61,53.73,62.09,3.47,3.11,70.92
6.24,0,0,13.3,8.24,78.26,78.9,3,81.1,30.17,64.4,67.87,69.74,80.72,84,91.72,5.76,0.65,9.12,5.14,5.12,2.69,5.72,51.64,9.0,71.88,53.71,0.89,4.11,63.31
8.72,1,2,1.0,7.21,69.16,60.94,0,65.8,41.15,84.15,59.05,41.1,57.32,11,86.05,1.96,1.22,25.65,7.45,7.91,2.44,3.93,65.58,5.22,28.01,54.72,4.04,0.26,34.7
7.7,0,0,2.7,7.55,70.53,60.06,2,38.26,31.53,73.42,48.52,28.55,43.1,44,51.28,3.93,0.28,24.48,7.06,6.01,1.07,5.42,68.77,6.89,76.05,45.56,1.53,2.96,47.41
6.18,0,0,2.0,7.16,67.04,55.47,1,83.18,43.46,75.28,54.94,42.73,36.12,10,83.16,3.75,1.1,13.55,6.01,8.35,4.14,1.71,40.34,3.69,42.4,70.95,2.22,0.13,41.67
8.05,1,0,1.0,6.15,60.12,84.64,1,66.94,32.61,99.32,85.95,60.03,70.25,109,62.94,2.42,0.53,9.45,3.89,6.12,0.44,6.73,54.97,3.07,43.06,45.13,2.53,2.46,55.59
7.32,2,0,4.1,9.42,98.03,79.43,1,73.98,45.11,92.21,71.89,59.28,100.0,27,48.0,4.62,0.92,9.49,7.05,4.38,0.09,7.96,79.66,8.09,55.17,35.32,0.95,9.53,74.59
6.22,2,0,7.0,7.57,69.57,72.13,4,70.96,27.95,64.94,65.67,53.84,88.72,85,69.78,3.46,0.93,9.52,6.02,6.87,0.79,2.54,14.49,6.4,89.86,68.95,1.98,4.26,44.17
7.7,1,2,1.8,6.02,56.23,77.74,0,77.13,31.82,78.54,70.8,58.95,63.51,294,91.22,4.28,1.32,31.64,7.59,4.29,0.22,3.98,66.62,7.67,71.85,55.94,1.0,2.5,49.52
8.62,2,0,4.4,7.43,74.46,74.66,3,59.76,29.96,76.7,79.76,50.27,59.06,10,63.31,3.37,0.75,14.74,6.79,4.57,0.41,6.47,62.65,6.37,39.58,47.95,1.36,7.43,54.26
7.14,0,1,9.0,7.27,63.65,89.05,0,87.25,38.68,60.66,61.06,81.35,85.51,169,85.95,5.16,0.64,16.21,6.41,7.7,5.97,3.17,88.29,7.22,63.78,47.85,1.49,0.75,72.79
5.62,0,0,3.0,7.13,64.38,57.84,1,88.34,33.62,46.96,64.67,42.94,90.23,170,66.0,5.14,8.0,22.85,4.99,6.06,2.07,3.56,29.56,5.39,52.16,65.13,1.18,0.77,55.78
7.38,1,1,2.8,9.17,86.93,63.19,2,56.63,41.8,48.2,54.87,36.24,81.95,102,73.0,4.69,1.1,15.23,5.78,7.93,4.97,7.5,41.81,6.4,61.96,49.69,1.69,3.78,57.41
6.93,2,0,16.3,8.05,74.73,83.6,3,74.49,47.27,71.93,79.6,67.8,60.47,36,57.36,3.54,2.05,5.14,5.72,4.2,8.0,5.81,34.66,6.59,52.46,55.84,1.19,0.64,59.32
7.73,0,0,1.0,5.4,47.8,61.02,3,66.21,34.07,77.16,45.31,34.9,84.88,52,83.8,4.75,4.48,6.66,6.17,10.27,2.66,10.0,9.92,8.14,69.32,56.07,2.16,8.16,36.56
6.52,4,0,4.4,7.63,71.3,58.84,1,66.64,39.12,43.47,77.71,36.98,100.0,135,71.91,2.86,0.96,5.28,6.75,10.41,1.1,5.96,36.47,8.68,59.15,61.0,3.64,5.98,44.18
9.69,1,0,29.4,8.84,87.25,72.43,2,59.48,25.01,65.35,73.29,54.52,100.0,41,84.57,1.86,5.04,4.83,4.39,4.06,0.03,7.52,47.34,3.6,74.3,44.74,2.19,1.16,48.42
7.02,0,0,2.9,7.67,72.9,96.96,5,83.57,18.36,54.67,68.74,82.68,69.84,20,60.22,3.92,1.08,15.45,5.68,8.41,0.14,4.81,79.37,5.63,64.04,46.64,2.15,3.87,46.78
4.09,0,0,1.0,7.48,70.17,75.84,1,51.95,39.03,75.38,60.5,49.1,53.29,169,83.18,3.54,0.66,14.75,5.47,1.73,1.88,4.61,3.66,2.82,62.11,60.74,0.49,3.4,63.93
8.35,2,0,2.8,5.9,56.12,59.56,1,80.71,50.0,74.71,70.51,51.84,75.19,38,59.71,1.21,1.22,22.09,6.91,5.97,1.55,8.01,54.93,7.31,90.12,41.12,4.93,5.23,43.63
7.31,1,2,3.6,5.66,53.0,78.33,3,84.01,21.06,51.15,58.85,66.9,60.4,3,73.28,3.15,0.24,19.48,5.31,9.8,0.98,9.19,42.92,5.63,61.07,41.06,3.11,10.82,18.49
8.01,1,0,8.0,5.31,49.0,62.55,0,76.96,40.81,89.52,82.03,50.2,71.49,46,85.38,4.52,0.0,15.74,5.88,7.83,0.0,6.53,68.09,8.14,57.44,45.83,1.73,20.0,53.68
6.98,0,1,13.1,7.04,67.02,91.24,2,66.79,29.69,59.49,100.0,63.82,74.64,136,75.09,2.92,0.16,30.27,5.72,4.37,1.44,1.85,68.32,3.84,54.04,56.32,1.5,0.91,73.52
7.7,0,1,8.7,6.55,63.23,35.69,2,49.49,27.33,100.0,66.17,7.16,93.41,125,69.71,4.27,1.78,16.35,6.98,5.57,0.67,9.39,35.37,2.18,98.19,40.78,1.3,7.11,35.84
5.26,0,0,1.0,8.34,75.27,80.93,2,82.31,43.84,68.65,58.79,69.83,93.1,61,74.37,2.74,2.55,15.81,7.77,5.77,0.3,4.08,21.11,3.84,61.61,67.13,2.1,12.09,83.87
8.61,0,0,1.6,9.1,92.72,70.33,0,58.94,39.55,75.38,49.56,43.49,99.15,10,77.33,2.51,1.08,13.68,7.46,7.55,0.88,7.32,61.91,8.71,70.11,41.62,3.01,1.54,73.79
8.26,1,0,4.9,6.66,69.27,63.63,4,69.31,37.24,59.72,62.08,44.67,89.34,108,84.59,2.18,2.37,11.07,4.45,3.74,0.2,1.0,1.14,5.37,30.76,76.91,1.71,1.19,45.74
4.15,0,0,8.6,6.69,63.45,62.83,0,64.43,19.77,83.82,76.53,44.79,84.44,38,82.17,0.5,0.04,7.38,5.2,8.46,0.8,2.78,32.11,7.39,61.27,63.44,16.92,0.29,51.19
10.0,1,0,22.9,8.75,80.55,57.75,2,91.09,41.9,64.91,69.7,52.51,91.06,187,77.65,3.61,2.6,5.19,7.47,7.34,0.71,5.63,42.42,5.76,51.53,56.52,2.03,1.78,59.27
6.03,0,0,1.4,6.02,59.83,79.51,3,78.22,31.23,68.88,81.11,67.01,55.59,39,75.21,3.82,1.15,18.99,7.41,7.71,1.6,9.23,32.37,3.54,35.29,48.66,2.02,2.23,49.69
7.36,0,0,1.0,5.89,57.0,87.59,1,88.52,50.0,91.51,63.45,79.28,94.1,72,77.15,4.6,0.7,22.43,5.88,4.81,3.19,5.47,67.64,5.3,46.09,44.48,1.05,1.74,71.38
8.31,1,0,11.1,5.8,59.52,66.98,2,51.6,40.24,70.62,58.58,33.49,100.0,2,76.32,2.36,0.12,22.4,8.78,10.09,0.16,6.35,58.87,7.43,55.51,50.34,4.27,0.56,38.74
5.77,0,0,11.0,7.3,66.91,60.78,1,57.44,39.31,71.7,62.51,34.09,82.67,2,74.75,0.8,3.09,2.37,7.1,4.46,0.21,7.67,55.9,6.32,58.93,46.45,5.58,0.1,42.0
8.37,4,0,15.6,9.87,97.73,86.48,1,60.05,35.95,80.82,53.29,62.77,67.33,27,85.18,1.3,1.16,8.55,7.14,7.17,0.38,5.19,35.55,5.32,64.69,69.34,5.5,3.6,48.98
8.26,0,1,4.8,6.6,63.33,63.43,4,60.16,27.66,67.06,78.34,36.88,100.0,2,100.0,2.63,1.22,12.08,5.49,4.71,0.2,4.23,0.0,2.99,87.77,71.76,1.79,0.76,33.78
8.49,0,1,16.9,6.84,68.99,75.18,2,63.09,25.25,67.04,65.44,48.02,68.56,141,63.35,2.03,1.69,4.16,6.43,5.5,0.3,8.59,62.92,6.72,72.43,49.72,2.71,2.65,43.42
7.26,0,0,8.0,8.36,77.05,73.63,0,56.61,25.02,73.13,38.77,43.96,92.73,13,79.37,0.0,0.0,15.14,5.74,6.51,2.29,6.63,54.34,3.71,64.12,48.66,20.44,0.45,47.38
7.85,1,0,2.0,6.36,56.08,58.41,1,64.13,42.0,77.21,57.43,38.41,62.56,23,87.0,2.97,6.09,22.81,7.33,6.91,0.74,1.46,53.55,6.59,58.25,71.58,2.33,4.67,67.0
8.45,0,0,13.2,7.08,72.38,57.57,1,80.05,16.24,79.07,51.49,44.17,77.97,74,85.35,4.34,0.86,23.14,7.61,5.4,0.16,7.92,64.25,7.87,68.09,38.77,1.24,2.31,46.06
5.98,1,2,2.8,7.41,78.76,66.21,3,45.14,25.07,67.17,55.83,31.65,90.74,8,91.0,5.74,3.51,0.54,6.09,5.9,1.1,9.92,40.14,1.15,31.08,44.27,1.03,12.24,17.98
8.28,0,1,4.5,8.04,79.32,79.91,1,58.79,23.35,79.94,61.75,49.05,90.55,164,73.87,2.07,0.96,0.0,6.71,6.72,4.93,5.95,51.71,5.99,26.65,48.57,3.24,14.39,42.39
7.92,0,0,5.9,7.26,67.63,85.19,3,83.8,24.69,55.15,80.01,74.53,71.58,17,69.08,2.28,0.53,17.11,5.79,7.66,3.74,9.75,63.18,4.03,55.23,29.95,3.35,12.84,49.0
8.16,0,1,23.1,4.4,42.57,71.34,2,84.05,45.68,67.34,27.83,57.18,62.66,49,96.19,4.19,7.31,16.63,5.92,3.47,1.91,9.48,36.45,9.21,39.77,47.3,0.83,14.94,27.27
6.56,1,1,3.8,7.48,69.5,75.98,1,53.34,33.89,54.33,41.73,44.82,100.0,23,62.82,1.07,1.84,29.36,6.92,4.85,0.55,3.73,36.1,2.04,42.96,62.53,4.54,4.36,51.55
6.55,0,1,4.1,5.88,57.44,87.35,0,91.33,34.99,51.95,68.57,80.9,84.84,17,86.9,3.26,0.0,15.09,7.15,9.1,1.75,2.85,46.03,6.81,25.01,68.09,2.79,3.14,52.71
7.58,1,0,3.4,7.96,78.47,42.46,1,86.01,27.03,78.42,51.81,34.15,96.91,151,64.21,3.06,0.68,14.4,8.26,7.62,0.21,5.63,14.37,6.4,67.32,68.46,2.49,7.06,59.58
6.09,1,0,3.4,8.83,85.98,86.5,1,76.66,23.78,69.91,70.95,71.8,99.84,80,80.0,1.64,3.39,5.66,6.46,11.82,2.12,6.64,31.88,7.23,61.31,55.44,7.22,4.27,64.88
6.09,0,0,1.0,6.11,52.5,91.06,1,50.12,26.06,81.34,59.62,61.62,80.6,19,77.97,2.25,3.17,12.94,6.33,4.81,0.55,4.12,47.08,5.24,13.14,56.55,2.14,0.52,48.35
5.57,1,1,1.0,7.17,67.49,81.88,2,69.47,44.88,75.93,85.48,60.28,72.93,258,58.58,5.28,4.15,17.48,6.27,5.98,0.08,6.84,34.01,9.29,69.49,55.89,1.13,7.65,60.54
6.5,0,1,1.0,8.77,84.2,73.64,3,48.37,41.91,71.05,60.0,40.36,89.68,80,89.57,2.89,1.95,0.0,5.53,3.07,0.85,7.74,55.44,5.62,61.71,38.36,1.06,5.79,57.71
8.08,0,1,1.5,7.72,74.44,59.69,2,44.76,26.18,67.96,60.03,26.1,78.67,30,81.16,2.84,0.57,23.77,6.84,6.26,0.58,7.3,60.62,6.49,85.04,46.38,2.2,3.41,50.82
9.66,2,0,10.6,7.27,72.82,85.94,1,85.94,27.65,55.81,66.17,68.6,84.0,60,70.11,1.79,0.16,19.35,5.48,6.51,0.71,6.08,54.8,4.28,49.49,43.16,5.99,2.9,51.34
4.18,0,0,5.2,7.87,73.17,77.94,0,54.9,31.95,60.26,62.86,50.68,68.17,170,91.01,0.76,1.31,22.64,6.18,11.35,0.18,6.07,58.05,4.37,79.05,45.57,15.02,0.75,60.0
6.86,0,0,1.0,7.44,64.6,100.0,0,64.06,40.95,51.65,94.15,69.39,100.0,229,66.9,0.82,0.37,5.72,8.99,9.51,0.96,5.85,39.28,5.04,61.16,66.86,11.62,9.57,78.79
8.95,1,0,5.3,5.94,64.02,58.36,2,87.61,28.1,56.05,55.15,51.8,64.6,98,69.2,2.91,0.33,15.81,7.62,6.97,0.47,7.19,54.11,2.39,62.44,52.61,2.4,0.32,30.75
5.38,0,1,12.1,4.95,48.58,74.1,0,75.29,42.74,72.1,85.26,64.47,100.0,125,86.0,0.38,7.09,5.9,8.53,5.84,0.7,5.14,73.19,5.85,62.33,44.95,15.36,2.57,58.58
7.83,0,0,2.1,8.06,74.0,68.76,3,80.58,27.43,50.74,60.24,57.84,74.29,332,86.65,3.51,0.37,0.86,5.76,5.01,1.06,6.43,73.48,5.42,95.32,42.66,1.43,0.25,36.05
7.25,0,0,4.4,5.34,54.07,74.16,2,89.21,41.61,31.04,71.29,62.85,100.0,102,71.33,0.84,0.89,10.97,7.72,6.62,0.02,2.07,50.19,9.71,65.17,72.67,7.87,0.78,54.2
5.75,1,1,9.2,7.39,65.61,66.9,3,61.82,28.43,56.01,50.52,40.66,56.73,81,64.03,5.17,1.17,16.27,6.85,4.86,1.56,1.76,70.88,4.3,37.39,56.52,0.94,3.02,29.86
7.51,0,0,9.8,6.38,63.57,78.04,1,65.58,34.71,69.83,43.69,58.08,87.59,107,90.27,5.18,0.93,22.34,3.77,10.27,0.44,4.22,45.71,6.35,59.44,45.34,1.98,4.14,68.76
7.33,2,0,6.1,6.91,64.51,89.62,0,59.66,40.07,86.61,73.76,64.95,85.89,15,83.0,2.85,2.11,13.05,4.63,4.29,0.19,3.37,0.16,5.04,57.93,81.23,1.51,0.82,63.24
8.02,0,1,2.4,8.12,71.11,61.07,1,66.68,35.47,79.1,82.96,32.09,100.0,79,100.0,3.36,0.26,14.27,7.53,3.72,0.59,4.52,41.07,2.86,15.1,60.03,1.11,4.45,66.64
6.09,0,0,2.7,7.14,69.35,53.65,1,60.53,35.05,69.11,67.95,28.3,75.66,221,75.99,1.76,5.03,1.61,5.66,8.37,0.23,3.43,56.6,7.24,62.55,58.24,4.75,5.42,52.02
9.85,0,0,5.4,7.26,73.36,85.69,0,53.04,26.88,70.3,83.15,54.68,84.59,64,57.46,1.65,1.22,19.44,6.1,6.2,2.03,7.19,49.84,4.16,52.32,48.31,3.75,0.91,66.6
6.58,1,2,18.0,6.69,66.01,74.13,4,46.3,50.0,73.66,76.82,40.61,85.6,24,70.79,1.3,1.91,3.87,6.53,9.56,0.98,3.62,28.22,6.54,64.44,68.85,7.34,3.73,35.67
6.16,0,0,1.2,7.74,69.6,59.92,0,71.44,29.82,68.47,68.02,39.8,74.31,76,72.62,2.16,1.29,21.45,6.84,6.75,0.96,3.68,30.32,7.8,100.0,64.77,3.12,2.43,50.22
4.91,1,0,34.2,8.58,88.74,57.91,1,53.47,42.42,51.48,58.85,23.17,93.22,133,76.59,2.42,1.41,18.5,5.82,7.96,2.87,3.51,52.51,8.27,31.29,61.61,3.29,1.26,62.8
8.08,1,1,6.9,7.92,73.65,55.2,1,88.72,46.17,90.28,58.74,45.54,100.0,57,69.64,1.97,1.37,9.44,5.03,3.48,0.35,6.08,12.11,7.74,84.38,58.86,1.76,1.23,44.12
6.58,2,0,6.9,6.92,73.91,45.63,4,79.3,38.39,61.1,79.25,37.18,73.69,10,79.4,4.9,3.72,19.97,7.3,4.6,0.52,5.76,35.5,4.5,56.84,65.61,0.94,19.64,43.71
7.68,0,1,5.8,6.61,64.07,79.38,3,55.83,33.42,85.01,43.26,47.24,62.18,58,98.87,4.0,4.86,8.76,5.59,7.74,2.97,9.98,79.26,5.92,63.16,22.13,1.93,13.67,35.77
7.63,0,0,5.8,6.44,64.52,50.03,1,72.18,32.16,75.31,62.66,27.13,73.66,116,63.43,3.79,1.21,9.58,5.07,3.14,1.24,7.15,35.14,4.76,51.37,42.77,0.83,0.54,40.12
7.51,0,0,6.1,6.36,59.05,71.36,1,51.02,41.66,64.99,39.63,42.64,70.52,28,68.4,2.28,2.35,10.36,6.66,6.52,5.75,3.06,22.83,9.12,39.58,69.63,2.86,1.73,44.14
5.46,0,0,1.0,9.45,91.57,69.41,0,90.9,25.47,74.66,61.21,60.04,55.37,38,42.86,2.79,1.68,6.66,7.42,5.91,0.37,4.27,94.59,7.06,30.79,38.2,2.11,2.71,51.47
6.55,0,1,3.0,6.97,65.05,65.26,2,59.89,28.58,44.79,41.34,35.38,64.61,167,79.44,2.96,0.94,17.38,6.84,5.16,0.42,4.17,44.34,6.67,55.94,54.68,1.74,4.39,42.34
7.77,1,1,7.4,5.46,51.37,78.64,0,80.13,36.22,87.03,51.88,62.89,93.74,35,75.33,2.61,0.57,17.81,4.62,3.77,0.24,6.86,30.81,3.2,34.79,44.74,1.44,3.89,41.45
5.54,0,0,1.0,7.6,71.85,34.52,2,73.59,30.47,64.96,45.74,22.46,71.6,224,71.3,2.56,3.75,12.57,4.83,9.04,2.06,1.66,32.27,7.55,76.15,68.7,3.53,1.28,49.48
7.89,0,0,11.0,9.07,88.09,54.24,2,70.73,35.82,61.43,89.22,34.64,73.94,36,44.83,4.95,1.18,15.31,7.11,10.34,1.25,5.61,45.2,7.76,63.75,58.04,2.09,2.82,53.11
6.96,0,0,2.6,6.67,57.24,49.25,1,81.12,37.5,89.64,61.08,32.19,97.27,75,93.19,2.79,4.96,4.29,5.07,6.55,0.76,4.63,48.18,9.29,22.74,59.01,2.34,1.07,31.55
8.78,1,0,1.0,7.95,75.24,65.44,0,62.62,26.37,81.21,73.44,42.6,78.21,43,81.0,5.32,0.46,15.81,7.17,2.98,1.09,8.31,54.82,9.27,53.68,44.31,0.56,0.72,63.56
4.39,0,0,1.0,8.79,88.0,92.13,3,58.42,26.98,89.23,79.59,65.42,84.5,33,68.16,0.0,1.22,17.93,8.22,9.76,0.14,5.41,45.88,1.59,60.94,62.98,39.05,1.02,74.43
6.97,1,0,2.4,6.92,68.52,68.28,2,63.11,34.58,90.59,64.14,49.11,59.55,28,72.16,1.13,1.76,7.51,5.93,7.61,0.04,1.0,64.88,7.26,71.68,63.06,6.74,0.76,37.82
