student_id,enrollment_date,family_income_lpa,cgpa,backlogs,failed_subjects,at_risk_flag,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,performance_band,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,next_semester_marks,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,gym_frequency,wellness_score,screen_to_study_ratio,extracurricular_hours,survey_date,resume_score,communication_skills,aptitude_score,mock_interview_score,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,hackathons_participated,preferred_domain,career_goal,submitted_at
S100170,2022-02-10,1.0,7.17,0,0,0,5.84,62.59,48.95,1,53.92,At_Risk,37.09,68.14,79.69,20.02,100.0,29,40.92,89.5,3.67,2.06,10.99,2024-01-28 00:00:00,5.16,6.67,2.44,5.61,19.86,9.69,76.28,3,61.17,1.82,4.26,2024-04-25,31.74,60.06,79.33,63.34,4,0,5,6.46,66.9,1,AI/ML,Job,2024-02-02 00:00:00
S100171,2022-01-12,30.4,6.59,1,1,1,5.94,60.06,93.42,0,53.95,Average,49.13,79.24,45.51,63.63,56.11,34,50.73,54.32,1.02,2.8,17.68,2024-04-01 00:00:00,6.57,8.9,0.98,8.55,44.35,1.68,51.7,2,51.67,8.71,3.88,2024-02-28,54.44,62.71,49.77,42.28,1,2,1,3.05,41.12,2,Product/Management,Job,2023-12-12 00:00:00
S100172,2022-08-16,2.0,6.77,0,0,0,6.9,68.0,82.69,0,72.63,Good,33.94,64.43,83.17,67.2,79.99,67,73.91,71.96,3.94,2.31,11.98,2024-04-23 00:00:00,6.17,8.49,0.37,5.91,61.67,7.3,56.86,3,45.4,2.16,2.36,2024-03-16,55.98,21.18,56.86,5.42,5,0,0,3.11,75.01,2,Core Engineering,Higher Studies,2023-05-12 00:00:00
S100173,2022-08-12,1.0,7.22,1,1,1,7.44,72.14,59.03,1,66.82,Good,43.04,77.18,81.32,38.25,91.07,157,72.78,75.98,2.66,1.86,31.57,2024-02-13 00:00:00,7.64,12.24,1.49,7.97,48.41,8.24,45.65,0,49.97,4.61,2.02,2024-04-21,49.99,46.54,39.68,37.03,4,0,3,2.82,27.1,2,Web Development,Higher Studies,2024-02-10 00:00:00
S100174,2022-08-18,1.2,6.28,2,1,1,7.36,67.27,42.99,1,80.79,At_Risk,36.84,71.01,61.28,33.55,62.89,52,40.66,73.07,3.04,0.31,5.09,2024-03-04 00:00:00,4.98,4.83,0.3,4.06,19.66,5.58,45.16,1,65.15,1.59,1.27,2024-03-06,54.99,59.98,53.97,25.0,2,1,1,0.0,24.51,3,AI/ML,Job,2023-12-20 00:00:00
S100175,2022-10-17,1.0,9.43,1,0,1,8.08,75.9,74.85,3,57.29,At_Risk,33.09,63.52,79.32,52.61,82.86,13,49.46,70.32,1.58,1.41,14.09,2024-04-19 00:00:00,6.12,2.11,2.17,9.23,60.08,6.59,48.85,1,34.76,1.34,6.76,2024-11-02,48.32,84.51,64.76,38.34,5,0,6,5.33,65.15,0,Data Science,Higher Studies,2024-02-20 00:00:00
S100176,2023-06-27,1.7,7.16,1,0,1,7.02,66.35,77.73,4,64.49,At_Risk,34.05,72.85,69.36,58.62,66.3,14,39.64,88.95,5.21,0.51,16.91,2024-03-03 00:00:00,7.65,6.25,0.4,10.0,66.5,3.47,61.1,2,37.05,1.2,0.07,2024-02-05,53.76,21.1,61.02,40.27,3,1,1,7.45,82.12,0,Core Engineering,Job,2023-11-20 00:00:00
S100177,2023-01-05,2.1,6.95,0,3,0,8.89,86.65,68.85,3,47.29,At_Risk,34.53,100.0,39.5,36.62,61.61,5,28.41,73.0,4.47,1.58,16.07,2024-04-09 00:00:00,7.09,8.98,0.39,6.05,48.8,9.62,76.36,2,55.03,2.01,2.37,2024-03-22,83.7,61.89,59.29,86.45,7,0,3,7.58,37.39,3,Core Engineering,Higher Studies,2023-11-15 00:00:00
S100178,2021-09-13,4.9,8.26,1,0,0,6.66,69.27,63.63,4,69.31,At_Risk,37.24,59.72,62.08,44.67,89.34,108,45.74,84.59,2.18,2.37,11.07,2024-02-26 00:00:00,4.45,3.74,0.2,1.0,1.14,5.37,30.76,0,76.91,1.71,1.19,2024-03-17,55.64,60.45,57.65,62.91,2,1,8,6.25,59.24,2,Core Engineering,Startup/Entrepreneurship,2023-12-15 00:00:00
S100179,2023-02-22,4.4,7.2,1,0,0,10.0,99.47,46.34,0,61.56,Average,27.33,66.25,57.3,22.28,100.0,41,65.84,53.36,3.69,0.8,23.63,2024-03-18 00:00:00,7.23,3.9,5.15,2.6,45.89,7.17,63.42,1,76.83,1.06,3.59,2024-08-02,48.3,39.72,64.5,24.78,1,0,4,6.39,34.08,1,AI/ML,Job,2024-01-12 00:00:00
S100180,2022-07-21,2.0,7.6,0,0,0,7.81,69.0,75.78,3,77.46,Average,23.28,59.98,66.37,59.74,74.19,200,56.87,77.19,3.05,1.42,19.67,2024-04-27 00:00:00,5.63,7.07,3.06,3.26,45.76,5.75,46.22,1,67.01,2.32,1.87,2024-05-04,84.78,62.42,54.79,53.97,5,1,3,7.88,76.74,0,AI/ML,Job,2023-12-29 00:00:00
S100181,2022-02-03,4.4,6.17,1,1,0,5.89,56.8,46.12,1,87.12,At_Risk,40.23,61.55,81.34,32.67,88.71,30,40.11,77.84,0.6,0.62,20.18,2024-02-13 00:00:00,6.84,6.57,3.21,7.71,29.02,7.76,78.84,0,57.22,10.94,5.68,2024-04-23,62.1,78.69,27.93,49.88,6,0,6,2.22,55.6,1,Product/Management,Higher Studies,2024-01-29 00:00:00
S100182,2021-10-29,2.8,5.44,0,0,0,5.61,56.22,71.59,1,84.92,At_Risk,42.18,82.24,38.74,62.75,87.26,128,44.02,85.3,5.42,4.95,10.32,2024-04-23 00:00:00,6.72,9.68,0.83,5.54,15.29,8.17,75.42,2,61.16,1.78,0.98,2024-04-13,55.32,72.07,53.28,70.74,1,1,2,5.88,52.61,0,Product/Management,Higher Studies,2024-03-10 21:34:10
S100183,2021-11-28,17.5,3.98,0,0,0,7.63,74.93,77.45,2,66.54,Average,40.97,80.74,57.9,57.34,82.61,55,62.9,67.1,2.6,2.7,12.18,2024-02-15 00:00:00,8.01,5.32,0.27,3.48,59.45,6.95,69.45,3,58.73,2.05,1.44,2024-04-03,38.36,16.4,67.03,55.52,4,1,1,9.6,78.19,0,Product/Management,Job,2023-11-01 00:00:00
S100184,2021-12-18,1.0,6.27,0,0,1,6.71,61.22,64.0,0,74.83,Average,36.24,69.91,51.85,43.15,69.67,151,54.19,83.47,3.28,2.14,18.42,2024-04-11 08:12:28,6.46,12.96,5.81,7.19,58.8,6.64,62.75,2,49.37,3.96,1.7,2024-03-07,73.34,43.43,62.92,14.81,1,2,3,1.09,54.23,3,Web Development,Job,2023-12-01 00:00:00
S100185,2023-02-04,1.6,5.71,1,1,1,7.93,86.97,64.7,1,74.78,Average,41.14,85.39,52.54,47.85,64.8,66,57.88,85.09,3.5,0.35,7.3,2024-03-07 00:00:00,3.7,8.69,0.41,4.75,33.41,5.33,55.19,1,45.63,2.48,3.88,2024-03-18,41.12,77.92,58.98,64.02,4,4,7,1.75,36.29,0,Cybersecurity,Job,2023-03-11 00:00:00
S100186,2023-03-15,10.4,9.52,1,0,1,7.62,67.24,35.22,1,67.04,At_Risk,40.71,81.9,51.83,13.47,68.04,17,43.13,62.42,2.11,2.97,19.66,2024-01-14 00:00:00,4.38,8.72,0.12,2.33,62.71,1.0,62.16,2,43.23,4.14,3.6,2024-03-17,71.46,69.14,35.34,46.25,1,1,3,8.69,28.93,1,Data Science,Job,2023-06-12 00:00:00
S100187,2022-11-19,15.2,7.78,0,0,0,6.91,61.27,55.95,0,70.39,Average,41.3,67.56,66.09,33.32,77.32,129,57.71,60.22,3.32,5.07,14.29,2024-04-19 00:00:00,7.32,3.29,1.81,1.45,21.53,5.71,38.37,2,79.36,0.99,9.46,2024-02-09,28.84,85.12,40.19,79.04,2,1,4,4.7,30.01,1,AI/ML,Job,2024-04-06 00:00:00
S100188,2021-10-25,3.1,6.49,1,0,1,5.9,56.98,61.78,2,82.72,At_Risk,28.12,46.99,73.37,53.14,73.71,0,13.1,64.18,3.16,0.06,22.45,2024-02-09 00:00:00,5.94,7.68,1.05,7.46,26.95,5.41,73.66,0,52.02,2.43,0.12,2024-03-18,76.1,59.67,43.8,58.59,2,0,3,4.53,81.63,0,Cybersecurity,Job,2023-11-18 00:00:00
S100189,2022-08-16,13.7,4.96,0,0,1,5.03,56.26,47.01,1,77.86,At_Risk,26.22,69.83,70.57,34.09,62.76,56,37.28,41.29,2.67,0.44,12.01,2024-02-25 00:00:00,7.89,11.03,0.13,7.39,7.37,3.66,28.57,2,68.19,4.13,2.04,2024-04-11,29.15,40.89,64.31,42.21,1,3,4,9.85,70.34,1,Cybersecurity,Job,2023-12-28 00:00:00
S100190,2022-07-30,2.6,3.5,0,0,0,6.42,57.64,84.68,0,53.31,Average,31.89,72.54,67.97,53.87,76.92,17,61.66,79.49,2.77,2.11,27.7,2024-03-06 00:00:00,6.68,5.88,0.75,3.73,36.39,10.0,75.12,0,63.78,2.12,0.0,2024-01-04,20.1,38.06,42.77,77.66,4,0,3,6.86,68.6,1,Cybersecurity,Higher Studies,2024-02-05 00:00:00
S100191,2022-10-31,2.2,9.37,1,0,1,8.11,76.0,57.9,0,78.72,Average,34.86,70.33,74.95,38.4,70.46,33,59.71,76.04,4.38,1.27,17.87,2024-05-18 00:00:00,5.25,10.94,0.25,3.35,37.47,3.3,46.92,5,62.59,2.5,3.71,2024-02-04,81.61,49.86,54.76,66.68,5,5,3,8.98,43.96,2,AI/ML,Higher Studies,2024-01-21 00:00:00
S100192,2022-02-01,2.0,7.07,1,0,0,7.28,73.45,61.95,2,67.08,Average,33.06,63.01,100.0,46.55,88.35,42,64.97,71.41,4.33,2.94,18.64,2024-03-04 00:00:00,7.82,8.5,2.74,4.9,68.08,8.78,31.75,3,53.17,1.96,1.51,2024-06-03,68.92,43.77,44.96,17.67,1,0,6,8.31,59.52,1,AI/ML,Job,2024-01-04 00:00:00
S100193,2022-02-20,1.0,8.64,0,1,1,5.38,51.04,91.19,2,89.94,At_Risk,19.99,81.17,67.17,84.05,74.14,66,33.22,75.33,2.46,2.27,10.15,2024-02-21 00:00:00,5.17,9.55,0.5,10.0,47.76,5.49,30.0,1,38.98,3.88,0.16,2024-03-28,38.97,65.38,51.14,54.99,3,1,8,6.91,17.17,2,Cybersecurity,Startup/Entrepreneurship,2024-03-21 00:00:00
S100194,2023-04-29,2.8,8.25,2,0,0,7.23,67.3,81.28,2,65.53,Average,48.77,75.23,81.34,61.02,92.66,35,53.91,81.82,2.49,1.16,16.77,2024-02-23 00:00:00,3.43,6.505,1.34,6.53,51.3,6.79,87.3,1,42.81,3.05,3.89,2024-03-05,86.91,32.09,41.3,49.81,1,3,3,8.05,36.4,3,Product/Management,Higher Studies,2023-11-17 00:00:00
S100195,2022-12-21,37.1,7.66,1,0,0,7.5,73.52,90.86,2,55.6,Good,32.81,66.45,80.43,66.62,83.45,83,78.68,66.05,3.01,1.82,11.16,2024-03-08 00:00:00,9.19,9.07,1.03,4.65,12.57,2.69,56.24,0,79.7,3.02,7.81,2024-05-02,40.15,67.9,65.66,61.17,3,1,4,3.42,41.53,0,Product/Management,Job,2024-03-24 00:00:00
S100196,2022-07-15,5.4,7.84,2,0,0,5.85,56.67,84.58,2,63.67,At_Risk,36.38,51.62,93.44,62.61,72.55,17,26.53,77.55,3.59,1.57,4.22,2024-03-07 00:00:00,3.62,2.2,3.11,4.42,35.31,6.4,69.54,0,51.17,0.61,7.64,2024-02-05,65.6,97.99,77.2,64.01,5,0,3,4.25,54.22,1,Data Science,Higher Studies,2024-08-03 00:00:00
S100197,2022-08-07,13.3,5.73,1,0,1,7.2,72.52,77.02,1,57.09,Average,44.96,86.02,73.97,48.42,77.55,125,65.6,88.53,0.0,2.68,13.63,2024-01-18 00:00:00,7.19,6.18,0.97,7.07,45.89,5.33,66.47,3,51.05,24.7,6.58,2024-03-17,60.37,43.41,47.34,44.49,3,0,3,9.93,54.33,1,Product/Management,Job,2024-03-04 00:00:00
S100198,2021-08-30,13.2,8.45,0,0,0,7.08,72.38,57.57,1,80.05,At_Risk,16.24,79.07,51.49,44.17,77.97,74,46.06,85.35,4.34,0.86,23.14,2024-01-16 00:00:00,7.61,5.4,0.16,7.92,64.25,7.87,68.09,2,38.77,1.24,2.31,2024-03-10,82.08,73.95,33.35,30.29,5,0,9,6.57,42.74,0,AI/ML,Job,2024-09-02 00:00:00
S100199,2022-03-29,1.7,7.33,0,0,0,5.51,53.61,48.85,2,87.05,At_Risk,30.91,73.83,69.88,42.31,82.49,35,44.32,73.86,5.76,0.36,14.55,2024-04-02 00:00:00,6.51,6.75,0.34,3.32,38.06,2.6,68.84,0,60.19,1.17,0.07,2024-02-01,63.99,68.2,48.58,76.64,2,0,3,3.48,33.69,0,AI/ML,Higher Studies,2024-03-14 00:00:00
S100200,2023-04-01,4.0,9.38,0,0,0,7.47,72.09,78.37,0,69.23,Average,31.9,30.15,69.02,55.98,85.42,61,66.86,61.0,0.96,1.63,12.94,2024-02-27 00:00:00,3.94,5.48,1.2,4.76,54.59,6.29,18.0,0,48.88,5.72,3.76,2024-02-11,65.7,61.61,71.8,55.43,2,1,2,7.17,13.81,0,Product/Management,Job,2023-12-20 00:00:00
S100201,2022-06-24,5.5,7.62,0,1,1,7.73,74.28,60.91,2,73.36,At_Risk,32.31,69.43,78.04,48.98,73.25,41,48.32,66.8,1.41,4.4,12.85,2024-05-04 00:00:00,7.72,3.46,0.59,5.86,62.52,1.9,72.55,2,53.48,2.46,10.11,2024-03-31,50.23,56.0,59.51,60.17,6,1,6,0.23,0.0,0,Core Engineering,Job,2024-02-14 00:00:00
S100202,2021-11-22,1.0,6.46,0,0,0,8.41,81.83,37.49,0,81.71,Good,33.61,66.38,51.03,27.01,76.42,166,74.05,83.46,2.75,1.64,30.69,2024-05-16 00:00:00,4.28,7.52,0.68,5.69,32.37,6.88,75.24,3,47.53,2.73,1.51,2024-10-03,58.26,49.86,33.49,50.42,9,1,5,7.11,43.09,1,Core Engineering,Job,2024-02-24 00:00:00
S100203,2023-03-18,7.4,9.14,0,1,1,8.37,79.74,73.68,4,67.33,Average,46.58,60.72,85.26,49.21,81.72,63,58.59,70.5,2.05,0.17,19.26,2024-11-01 00:00:00,4.42,7.29,0.17,6.05,36.79,4.13,76.54,1,49.98,3.55,0.06,2024-03-17,25.44,56.52,56.39,49.94,3,0,5,3.69,40.91,0,Cybersecurity,Job,2023-11-02 00:00:00
S100204,2023-02-21,5.0,5.68,0,1,0,5.21,49.48,71.01,0,71.5,At_Risk,40.39,81.31,65.08,50.0,35.64,124,30.59,80.21,3.54,2.78,3.87,2024-01-27 00:00:00,5.79,6.47,4.0,5.39,12.39,7.48,33.54,1,67.53,1.82,2.01,2024-03-28,41.6,68.17,77.16,54.04,5,0,3,2.16,41.19,0,Web Development,Higher Studies,2024-01-07 00:00:00
S100205,2023-03-27,8.1,5.35,3,0,1,5.78,59.7,51.08,3,64.76,At_Risk,42.66,80.72,78.43,20.42,88.29,127,31.68,63.24,3.43,0.19,11.2,2024-04-05 00:00:00,7.4,8.83,1.16,9.55,30.33,3.41,65.31,3,54.82,2.57,20.0,2024-02-26,42.99,94.1,65.21,64.7,1,0,3,8.36,58.33,3,AI/ML,Job,2024-01-12 00:00:00
S100206,2022-06-22,1.1,7.0,1,0,0,7.67,78.93,86.15,0,61.49,Average,35.38,76.55,69.95,57.99,65.69,106,69.0,67.17,1.27,3.2,12.19,2024-04-03 00:00:00,6.72,5.6,1.05,4.69,39.99,8.42,100.0,1,59.94,4.42,3.63,2024-03-15,100.0,58.3,54.29,38.03,2,1,1,5.33,29.27,1,Product/Management,Job,2024-02-14 09:26:08
S100207,2022-03-25,11.2,4.85,1,0,1,7.67,66.82,56.68,0,65.36,At_Risk,23.81,85.57,66.96,38.1,75.66,111,48.1,76.0,4.72,0.74,9.95,2024-10-04 00:00:00,7.44,8.81,0.53,7.95,44.08,3.98,51.92,4,55.83,1.87,5.3,2024-02-04,61.05,40.32,45.62,41.13,0,3,5,7.61,32.87,4,AI/ML,Job,2023-11-25 00:00:00
S100208,2022-01-20,2.9,7.02,0,0,1,7.67,72.9,96.96,5,83.57,At_Risk,18.36,54.67,68.74,82.68,69.84,20,46.78,60.22,3.92,1.08,15.45,2024-02-20 00:00:00,5.68,8.41,0.14,4.81,79.37,5.63,64.04,2,46.64,2.15,3.87,2024-02-13,71.74,68.34,78.72,31.93,4,0,7,4.06,75.95,0,AI/ML,Job,2024-03-17 00:00:00
S100209,2023-03-26,1.7,6.97,1,0,1,10.0,92.25,85.08,2,46.23,Good,22.76,63.2,75.75,50.77,91.23,164,74.43,74.88,3.37,0.67,10.98,2024-11-02 00:00:00,6.06,4.31,1.13,10.0,50.63,7.04,47.53,2,35.73,1.28,1.97,2024-04-02,57.36,35.36,59.18,70.88,1,0,5,5.45,69.46,1,Data Science,Job,2024-03-20 00:00:00
S100210,2023-03-23,14.6,5.42,1,0,1,7.74,72.31,81.14,1,69.73,Good,37.88,71.12,96.34,55.89,95.37,98,75.44,83.13,2.74,2.19,11.41,2024-03-23 00:34:46,4.71,8.54,0.54,5.04,57.82,2.89,40.92,3,50.45,3.12,1.56,2024-02-02,81.91,80.15,56.85,41.9,4,1,4,7.57,58.05,2,Cybersecurity,Job,2024-01-30 00:00:00
S100211,2022-01-10,1.0,6.14,0,1,0,8.48,82.13,60.11,2,54.29,At_Risk,35.25,60.67,32.72,25.42,78.32,4,48.3,72.0,5.15,1.25,16.07,2024-05-16 00:00:00,5.86,6.505,0.1,5.55,58.21,6.7,71.17,3,46.29,1.13,4.32,2024-04-13,37.98,72.52,63.65,46.95,3,2,5,2.83,32.66,0,Cybersecurity,Job,2023-12-10 00:00:00
S100212,2022-07-19,1.0,6.8,1,0,0,8.24,80.96,70.25,3,59.09,Average,33.32,80.91,73.64,47.81,78.51,83,60.17,66.3,4.94,4.42,4.21,2024-01-26 00:00:00,7.13,7.38,0.23,8.18,45.47,6.49,35.09,0,54.33,1.49,3.38,2024-09-02,17.08,48.49,84.96,50.69,2,0,5,5.33,65.12,1,Data Science,Higher Studies,2023-12-09 00:00:00
S100213,2021-11-08,1.0,6.48,0,2,1,7.85,74.1,71.49,2,83.33,At_Risk,32.05,62.17,65.7,59.46,79.42,53,35.45,89.35,3.7,0.29,0.0,2024-01-16 00:00:00,5.88,5.51,1.56,4.08,2.98,3.06,39.97,3,78.97,1.49,6.18,2024-04-15,85.31,70.14,63.11,56.39,5,1,8,4.49,59.5,3,Cybersecurity,Job,2024-04-13 00:00:00
S100214,2022-06-26,7.4,6.48,0,1,0,6.59,54.95,64.23,1,60.97,Average,50.0,89.48,62.17,39.06,79.76,12,59.55,69.32,2.23,0.35,23.7,2024-09-04 00:00:00,6.97,9.77,2.34,7.75,56.22,5.81,70.77,1,46.6,4.39,3.65,2024-04-07,96.16,94.29,66.97,70.18,1,1,6,7.58,34.28,1,Data Science,Startup/Entrepreneurship,2024-02-19 00:00:00
S100215,2022-03-02,2.1,3.67,0,1,1,7.99,72.01,68.21,0,50.15,Average,28.42,56.03,27.19,36.03,95.02,51,50.59,99.42,6.7,1.22,20.86,2024-03-25 00:00:00,5.5,7.69,0.43,5.49,53.55,4.42,33.86,2,47.54,1.15,1.2,2024-02-24,55.64,76.85,32.9,45.38,3,1,3,2.62,0.55,0,Data Science,Higher Studies,2023-12-06 00:00:00
S100216,2022-03-09,2.6,9.22,0,0,0,6.0,60.54,90.53,1,72.74,Good,42.42,100.0,74.28,66.46,100.0,204,72.91,74.26,2.39,0.12,17.58,2024-05-20 00:00:00,5.47,0.0,0.28,5.62,45.91,4.41,58.92,1,46.72,0.0,0.31,2024-04-26,50.07,74.92,53.56,51.15,4,1,5,1.25,52.26,3,Core Engineering,Job,2023-04-11 00:00:00
S100217,2021-11-10,3.8,6.29,0,0,0,6.69,52.61,58.92,1,72.14,At_Risk,35.02,100.0,63.0,39.93,77.42,167,40.69,80.8,2.99,0.18,17.13,2024-02-08 00:00:00,6.35,4.14,0.88,3.85,36.77,5.83,91.1,1,65.8,1.39,1.68,2024-03-23,41.66,45.19,24.76,35.31,3,0,1,5.97,77.62,0,Core Engineering,Startup/Entrepreneurship,2023-11-03 00:00:00
S100218,2022-02-12,6.9,4.76,0,0,0,6.37,65.26,73.94,2,87.26,At_Risk,34.51,68.58,51.65,62.31,88.53,7,37.43,61.21,6.79,0.48,13.68,2024-05-15 00:00:00,6.03,3.36,4.11,6.85,31.59,5.25,72.12,2,54.32,0.5,3.3,2024-03-17,46.41,69.72,83.32,72.81,4,1,4,6.6,22.58,0,Data Science,Job,2023-11-24 00:00:00
S100219,2022-04-02,1.0,7.67,0,0,0,7.11,69.6,60.66,3,63.42,Good,44.41,87.19,65.68,34.12,67.3,46,74.43,96.59,3.84,8.0,36.11,2024-04-20 00:00:00,7.13,5.81,3.26,4.53,55.8,1.0,72.68,2,61.18,1.51,0.49,2024-02-21,42.98,36.88,49.23,54.99,0,0,3,4.21,67.64,0,Product/Management,Job,2024-01-04 00:00:00
S100220,2022-12-26,25.5,5.85,1,0,0,10.0,100.0,47.54,1,77.34,Good,46.7,63.99,60.32,33.13,68.67,57,80.22,83.23,5.18,6.07,16.35,2024-04-22 00:00:00,6.55,8.2,1.29,6.06,46.76,10.0,86.59,3,56.28,1.58,5.25,2024-09-02,83.46,82.76,33.8,36.03,1,1,7,10.0,23.02,1,AI/ML,Higher Studies,2023-12-04 00:00:00
S100221,2022-04-01,3.1,5.41,0,0,1,4.57,42.6,81.8,4,74.05,At_Risk,33.08,85.2,37.12,63.75,64.7,94,43.67,91.05,0.0,1.88,33.26,2024-05-09 00:00:00,8.74,6.67,2.48,5.41,24.96,1.09,49.18,1,65.76,26.69,5.25,2024-04-26,45.63,64.32,64.44,59.34,4,1,3,4.64,51.7,0,Data Science,Higher Studies,2024-01-12 00:00:00
S100222,2023-04-03,1.0,5.48,0,0,0,7.89,66.73,73.25,1,54.24,Average,41.39,67.36,66.41,48.14,100.0,116,59.24,67.51,4.09,0.37,29.44,2024-08-05 00:00:00,5.99,2.19,0.07,6.29,12.68,5.74,52.66,2,65.73,0.53,0.82,2024-03-26,34.98,73.43,32.41,67.06,2,1,3,3.92,56.48,1,Core Engineering,Job,2023-12-27 00:00:00
S100223,2022-03-30,1.0,6.47,0,0,1,4.9,48.3,80.79,0,68.26,Average,37.91,50.72,74.28,61.19,90.55,141,61.59,78.28,1.43,0.49,18.23,2024-04-28 00:00:00,5.98,1.23,1.11,5.42,56.51,5.58,61.08,0,43.79,0.86,8.75,2024-02-28,64.18,34.41,71.28,58.8,1,0,3,9.0,47.05,0,Core Engineering,Job,2024-04-09 00:00:00
S100224,2021-10-17,17.6,7.9,0,0,1,6.39,66.0,55.55,1,66.64,At_Risk,35.06,17.01,56.21,33.65,74.23,73,34.61,50.36,1.39,3.06,13.53,2024-04-12 00:00:00,4.84,6.49,0.59,8.24,27.94,5.51,65.42,3,52.2,4.65,6.47,2024-02-17,83.14,67.95,54.77,53.82,4,0,4,3.13,56.7,1,Data Science,Higher Studies,2023-11-17 00:00:00
S100225,2021-09-06,5.8,6.25,1,0,0,8.42,83.65,59.92,1,82.33,Good,36.63,65.97,69.19,48.58,83.19,171,81.32,54.21,3.13,6.21,15.11,2024-05-05 00:00:00,6.33,5.77,1.81,3.25,30.01,4.35,34.44,0,64.68,1.85,4.31,2024-01-04,55.64,93.41,65.42,72.74,1,0,2,7.52,72.02,2,Product/Management,Higher Studies,2023-11-23 00:00:00
S100226,2022-04-15,14.9,6.04,1,0,0,7.08,64.64,73.13,2,54.75,At_Risk,29.5,74.19,66.73,43.54,91.47,65,38.55,81.44,4.95,1.65,12.19,2024-05-13 00:00:00,7.26,8.53,3.11,5.79,54.61,4.83,75.12,3,48.44,1.72,0.85,2024-02-16,100.0,94.99,49.03,46.4,3,1,5,6.49,96.91,4,Core Engineering,Job,2024-02-10 00:00:00
S100227,2023-01-13,1.2,6.42,1,0,1,5.6,53.54,78.05,1,82.4,Average,32.55,89.95,81.73,68.51,97.94,2,60.87,41.67,3.21,3.09,18.23,2024-04-19 00:00:00,5.26,7.88,0.62,8.17,17.78,1.54,69.71,1,55.96,2.46,1.86,2024-03-03,28.42,53.7,85.82,54.72,3,0,2,5.2,62.27,1,Cybersecurity,Startup/Entrepreneurship,2023-11-30 00:00:00
S100228,2022-09-12,1.0,6.96,0,0,0,6.07,55.53,83.51,1,83.6,Average,30.35,70.55,63.34,73.32,86.13,49,56.03,75.68,2.53,1.5,19.72,2024-03-05 00:00:00,6.23,7.11,0.09,7.38,14.18,5.57,63.86,3,53.04,2.81,1.7,2024-03-26,97.77,68.79,58.93,53.37,3,0,5,8.43,62.94,0,Data Science,Higher Studies,2024-03-20 03:44:31
S100229,2023-01-15,2.6,7.12,0,0,1,7.88,71.62,66.69,3,82.46,Average,42.21,85.04,77.82,59.93,81.38,14,53.47,72.71,1.03,5.08,6.43,2024-02-19 00:00:00,7.31,9.96,0.6,8.02,45.88,5.89,65.72,5,51.24,9.65,2.48,2024-04-17,75.82,64.55,77.77,18.6,3,1,4,4.78,12.8,3,Web Development,Higher Studies,2024-02-04 00:00:00
S100230,2023-07-26,23.7,7.13,2,0,0,6.05,61.3,74.55,1,70.36,Average,34.24,63.19,59.99,48.32,99.78,68,51.65,66.49,3.4,2.41,33.3,2024-01-26 00:00:00,6.12,7.36,1.94,3.73,25.53,8.54,31.47,0,64.7,2.17,5.19,2024-04-17,43.78,39.31,59.55,29.91,5,3,2,2.7,42.55,1,Web Development,Higher Studies,2024-03-05 00:00:00
S100231,2021-07-23,19.6,6.34,1,0,1,7.28,64.38,91.24,3,44.02,At_Risk,24.62,64.94,96.48,58.28,63.45,91,46.37,78.01,3.17,1.85,9.53,2024-03-24 00:00:00,5.57,8.27,3.03,8.86,68.42,5.07,77.21,1,33.19,2.61,1.19,2024-02-20,60.42,68.1,44.88,56.82,3,1,6,6.76,64.7,1,AI/ML,Higher Studies,2023-12-31 00:00:00
S100232,2022-01-28,4.5,5.78,3,0,0,7.06,63.49,63.02,2,87.53,At_Risk,29.21,85.81,58.01,55.91,51.17,91,27.49,68.88,4.27,2.04,0.0,2024-05-07 00:00:00,7.66,5.35,0.04,4.72,29.06,3.85,48.35,2,71.38,1.25,8.86,2024-04-05,46.34,42.84,65.54,74.35,3,0,4,0.64,45.92,1,Product/Management,Startup/Entrepreneurship,2023-12-05 00:00:00
S100233,2022-11-17,5.7,7.61,0,1,0,6.15,54.04,71.66,1,87.55,At_Risk,9.41,33.03,54.04,61.34,98.84,54,25.33,74.31,3.0,0.86,14.43,2024-05-03 00:00:00,6.44,7.49,2.09,5.88,22.62,4.24,65.28,0,59.21,2.5,1.69,2024-04-14,69.84,76.69,66.86,48.96,1,1,5,7.35,44.59,1,Core Engineering,Higher Studies,2024-01-18 00:00:00
S100234,2022-05-02,1.0,7.09,0,0,0,9.79,87.02,66.11,1,82.2,Good,31.04,70.19,63.39,49.92,73.26,101,81.47,70.6,4.53,8.0,6.96,2024-01-26 00:00:00,6.86,10.72,0.15,4.32,60.66,3.07,50.83,2,47.27,2.37,15.38,2024-03-17,55.75,49.6,59.38,73.62,4,1,2,3.98,79.98,5,Data Science,Job,2024-03-27 00:00:00
